Time,susceptible_lambda_C
0,0
0.25,0
0.5,1.44751
0.75,3.40122
1,6.40752
1.25,9.87095
1.5,10.2498
1.75,10.6622
2,7.49933
2.25,7.33811
2.5,8.36144
2.75,11.0309
3,11.4895
3.25,9.0218
3.5,9.61099
3.75,12.9349
4,10.8386
4.25,12.6802
4.5,13.2062
4.75,12.9637
5,13.8782
5.25,14.0923
5.5,19.7118
5.75,21.2955
6,21.7776
6.25,24.0884
6.5,24.9443
6.75,24.5081
7,20.5239
7.25,18.7223
7.5,18.9298
7.75,18.5122
8,17.9008
8.25,18.0949
8.5,18.3132
8.75,16.804
9,23.3062
9.25,19.5893
9.5,25.2387
9.75,33.2669
10,42.7213
10.25,50.3903
10.5,48.6315
10.75,49.403
11,44.8505
11.25,44.3777
11.5,49.7038
11.75,52.6519
12,53.7144
12.25,54.8662
12.5,53.6539
12.75,57.9822
13,59.3883
13.25,57.5956
13.5,64.2609
13.75,71.9079
14,81.3253
14.25,83.8418
14.5,88.3964
14.75,87.9364
15,99.1421
15.25,107.433
15.5,120.557
15.75,126.801
16,128.812
16.25,130.088
16.5,136.607
16.75,140.565
17,150.369
17.25,155.449
17.5,163.416
17.75,162.531
18,167.933
18.25,170.173
18.5,176.076
18.75,190.957
19,205.341
19.25,216.845
19.5,225.301
19.75,234.371
20,246.801
20.25,270.44
20.5,277.288
20.75,286.005
21,285.581
21.25,299.509
21.5,305.384
21.75,347.445
22,359.359
22.25,376.696
22.5,391.872
22.75,394.046
23,398.842
23.25,407.68
23.5,430.817
23.75,452.045
24,476.258
24.25,494.078
24.5,514.436
24.75,533.258
25,554.358
25.25,575.195
25.5,598.239
25.75,628.187
26,658.619
26.25,678.364
26.5,701.28
26.75,716.142
27,725.853
27.25,752.847
27.5,770.535
27.75,775.417
28,795.727
28.25,840.577
28.5,875.318
28.75,904.468
29,947.617
29.25,965.199
29.5,980.289
29.75,1005.45
30,1011.93
30.25,1063.89
30.5,1073.49
30.75,1099.51
31,1142.65
31.25,1160.52
31.5,1175.29
31.75,1193.07
32,1209.56
32.25,1232.44
32.5,1227.22
32.75,1263.95
33,1265.62
33.25,1274.74
33.5,1273.8
33.75,1286.88
34,1296.31
34.25,1320.91
34.5,1307.69
34.75,1328.24
35,1327.45
35.25,1350.16
35.5,1355.57
35.75,1364.03
36,1367.53
36.25,1371.57
36.5,1360.1
36.75,1356.83
37,1367.84
37.25,1372.47
37.5,1349.81
37.75,1340.66
38,1315.02
38.25,1294.92
38.5,1265.79
38.75,1234.51
39,1217.33
39.25,1190.54
39.5,1171.96
39.75,1156.75
40,1113.5
40.25,1081.5
40.5,1071.51
40.75,1024.24
41,996.645
41.25,967.339
41.5,949.45
41.75,927.541
42,897.468
42.25,875.659
42.5,848.839
42.75,834.539
43,797.388
43.25,777.73
43.5,753.688
43.75,737.123
44,722.003
44.25,703.176
44.5,688.579
44.75,664.696
45,643.098
45.25,620.109
45.5,599.984
45.75,579.043
46,559.918
46.25,540.172
46.5,515.469
46.75,496.866
47,479.977
47.25,461.313
47.5,446.727
47.75,430.946
48,410.373
48.25,390.803
48.5,370.023
48.75,361.484
49,347.983
49.25,336.551
49.5,327.924
49.75,314.299
50,304.528
50.25,297.8
50.5,285.709
50.75,274.713
51,265.638
51.25,256.872
51.5,244.061
51.75,233.478
52,225.736
52.25,220.485
52.5,210.724
52.75,203.147
53,197.085
53.25,191.475
53.5,183.379
53.75,174.96
54,168.428
54.25,164.19
54.5,157.607
54.75,150.458
55,142.942
55.25,139.022
55.5,135.656
55.75,129.54
56,126.117
56.25,121.525
56.5,117.409
56.75,114.186
57,111.169
57.25,108.337
57.5,104.073
57.75,99.968
58,97.7384
58.25,95.2022
58.5,91.1703
58.75,88.3462
59,84.0735
59.25,79.2162
59.5,75.5609
59.75,73.8739
60,69.9875
60.25,67.3966
60.5,66.1122
60.75,62.2668
61,59.7968
61.25,58.148
61.5,55.2155
61.75,53.2954
62,51.4422
62.25,49.1914
62.5,47.5241
62.75,45.5772
63,43.567
63.25,42.5225
63.5,40.89
63.75,38.669
64,36.6397
64.25,34.5608
64.5,33.8242
64.75,33.0045
65,30.3082
