Time,mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,0.333338
1,0.28576
1.25,0.254168
1.5,0.066788
1.75,0.0576725
2,0.0669109
2.25,0.000147124
2.5,0.300141
2.75,0.317779
3,0.0716727
3.25,0.189985
3.5,0.0842834
3.75,0.0742181
4,0.106932
4.25,0.112681
4.5,0.154197
4.75,0.21246
5,0.29558
5.25,0.148426
5.5,0.25767
5.75,0.288162
6,0.295372
6.25,0.383124
6.5,0.400752
6.75,0.224473
7,0.240493
7.25,0.26524
7.5,0.187159
7.75,0.184521
8,0.0607791
8.25,0.448458
8.5,0.214168
8.75,0.203078
9,0.295677
9.25,0.253894
9.5,0.154431
9.75,0.179783
10,0.107946
10.25,0.179381
10.5,0.223938
10.75,0.308375
11,0.293223
11.25,0.279739
11.5,0.301478
11.75,0.180405
12,0.282255
12.25,0.368845
12.5,0.270326
12.75,0.383324
13,0.235771
13.25,0.225426
13.5,0.312268
13.75,0.255696
14,0.18659
14.25,0.148814
14.5,0.220303
14.75,0.191744
15,0.187731
15.25,0.230061
15.5,0.26064
15.75,0.283651
16,0.213298
16.25,0.29883
16.5,0.237339
16.75,0.245794
17,0.303206
17.25,0.23142
17.5,0.2396
17.75,0.216869
18,0.222348
18.25,0.246254
18.5,0.168937
18.75,0.284782
19,0.246113
19.25,0.211823
19.5,0.204469
19.75,0.186296
20,0.24586
20.25,0.243729
20.5,0.213341
20.75,0.235842
21,0.267429
21.25,0.19143
21.5,0.266992
21.75,0.208236
22,0.261362
22.25,0.235315
22.5,0.280475
22.75,0.232058
23,0.24873
23.25,0.190554
23.5,0.208322
23.75,0.215449
24,0.244523
24.25,0.256334
24.5,0.239986
24.75,0.248685
25,0.254735
25.25,0.268673
25.5,0.235175
25.75,0.23504
26,0.265407
26.25,0.245776
26.5,0.241014
26.75,0.237956
27,0.255704
27.25,0.242749
27.5,0.245638
27.75,0.219222
28,0.231664
28.25,0.228111
28.5,0.23074
28.75,0.265507
29,0.258177
29.25,0.255411
29.5,0.262352
29.75,0.254282
30,0.243954
30.25,0.255907
30.5,0.25761
30.75,0.256322
31,0.262987
31.25,0.288882
31.5,0.258117
31.75,0.259473
32,0.271436
32.25,0.256685
32.5,0.238036
32.75,0.265602
33,0.243494
33.25,0.281749
33.5,0.276066
33.75,0.287694
34,0.262057
34.25,0.282245
34.5,0.277823
34.75,0.273425
35,0.275568
35.25,0.270897
35.5,0.27614
35.75,0.298986
36,0.275612
36.25,0.287893
36.5,0.292489
36.75,0.283242
37,0.298446
37.25,0.291323
37.5,0.289375
37.75,0.297784
38,0.297096
38.25,0.297357
38.5,0.298989
38.75,0.301945
39,0.306893
39.25,0.31353
39.5,0.319964
39.75,0.305118
40,0.316351
40.25,0.321463
40.5,0.333351
40.75,0.320747
41,0.327707
41.25,0.320423
41.5,0.328645
41.75,0.323456
42,0.321531
42.25,0.333437
42.5,0.321091
42.75,0.344624
43,0.381303
43.25,0.353028
43.5,0.377136
43.75,0.358484
44,0.361099
44.25,0.375529
44.5,0.367718
44.75,0.376293
45,0.415681
45.25,0.398999
45.5,0.421791
45.75,0.388521
46,0.398167
46.25,0.39225
46.5,0.367451
46.75,0.416812
47,0.401868
47.25,0.389264
47.5,0.427379
47.75,0.426431
48,0.421092
48.25,0.361762
48.5,0.494253
48.75,0.453429
49,0.432355
49.25,0.438793
49.5,0.433369
49.75,0.386978
50,0.396204
50.25,0.413922
50.5,0.389863
50.75,0.437903
51,0.419025
51.25,0.521748
51.5,0.481454
51.75,0.486983
52,0.413201
52.25,0.481442
52.5,0.456529
52.75,0.48186
53,0.523569
53.25,0.550922
53.5,0.502196
53.75,0.436977
54,0.475827
54.25,0.435708
54.5,0.434304
54.75,0.457687
55,0.494142
55.25,0.51042
55.5,0.585009
55.75,0.491787
56,0.558404
56.25,0.483686
56.5,0.483133
56.75,0.486871
57,0.499413
57.25,0.539362
57.5,0.376838
57.75,0.592238
58,0.603434
58.25,0.465317
58.5,0.469277
58.75,0.629035
59,0.46229
59.25,0.553799
59.5,0.465134
59.75,0.606612
60,0.400051
60.25,0.533881
60.5,0.552017
60.75,0.661321
61,0.500092
