Time,cumulative_mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,0.333338
1,0.300033
1.25,0.275016
1.5,0.190599
1.75,0.145499
2,0.128896
2.25,0.114412
2.5,0.135048
2.75,0.16263
3,0.152019
3.25,0.155207
3.5,0.149255
3.75,0.142564
4,0.14043
4.25,0.13773
4.5,0.138811
4.75,0.145568
5,0.15642
5.25,0.155971
5.5,0.160646
5.75,0.167138
6,0.17335
6.25,0.187561
6.5,0.205221
6.75,0.206195
7,0.208529
7.25,0.211484
7.5,0.209957
7.75,0.208719
8,0.202751
8.25,0.214191
8.5,0.21419
8.75,0.213759
9,0.217238
9.25,0.218732
9.5,0.21662
9.75,0.215224
10,0.209603
10.25,0.207616
10.5,0.208723
10.75,0.214361
11,0.218147
11.25,0.221165
11.5,0.224916
11.75,0.222419
12,0.225598
12.25,0.233069
12.5,0.234457
12.75,0.239319
13,0.239218
13.25,0.238617
13.5,0.241534
13.75,0.242286
14,0.239266
14.25,0.233274
14.5,0.232576
14.75,0.230039
15,0.227858
15.25,0.227981
15.5,0.229933
15.75,0.233186
16,0.232152
16.25,0.235722
16.5,0.235791
16.75,0.236258
17,0.239137
17.25,0.238787
17.5,0.23883
17.75,0.237683
18,0.236922
18.25,0.237358
18.5,0.234168
18.75,0.236646
19,0.237114
19.25,0.235842
19.5,0.234087
19.75,0.231714
20,0.232304
20.25,0.232839
20.5,0.231844
20.75,0.232042
21,0.233642
21.25,0.231709
21.5,0.233034
21.75,0.232048
22,0.233519
22.25,0.233593
22.5,0.235591
22.75,0.235449
23,0.236099
23.25,0.234162
23.5,0.233057
23.75,0.232288
24,0.232813
24.25,0.233781
24.5,0.234063
24.75,0.234689
25,0.235626
25.25,0.237026
25.5,0.236951
25.75,0.236871
26,0.237946
26.25,0.238279
26.5,0.238389
26.75,0.238372
27,0.239064
27.25,0.239209
27.5,0.239462
27.75,0.23871
28,0.238459
28.25,0.238087
28.5,0.237813
28.75,0.238795
29,0.239528
29.25,0.240112
29.5,0.240889
29.75,0.241347
30,0.241433
30.25,0.241919
30.5,0.242426
30.75,0.242886
31,0.243521
31.25,0.245024
31.5,0.245449
31.75,0.245886
32,0.246641
32.25,0.246935
32.5,0.246681
32.75,0.2472
33,0.247097
33.25,0.248084
33.5,0.248778
33.75,0.249753
34,0.250062
34.25,0.25082
34.5,0.251479
34.75,0.252011
35,0.252561
35.25,0.252979
35.5,0.253482
35.75,0.254433
36,0.254867
36.25,0.255499
36.5,0.256209
36.75,0.256773
37,0.257561
37.25,0.258176
37.5,0.258758
37.75,0.259417
38,0.260067
38.25,0.260683
38.5,0.261286
38.75,0.261899
39,0.262551
39.25,0.263279
39.5,0.264014
39.75,0.264545
40,0.265157
40.25,0.265792
40.5,0.266533
40.75,0.267133
41,0.267753
41.25,0.268289
41.5,0.268828
41.75,0.269304
42,0.269764
42.25,0.270296
42.5,0.27071
42.75,0.271264
43,0.272036
43.25,0.272572
43.5,0.273242
43.75,0.273752
44,0.274289
44.25,0.274863
44.5,0.275361
44.75,0.275921
45,0.276612
45.25,0.277205
45.5,0.277854
45.75,0.278336
46,0.278833
46.25,0.279286
46.5,0.279637
46.75,0.280143
47,0.280575
47.25,0.280901
47.5,0.281364
47.75,0.281793
48,0.282226
48.25,0.28242
48.5,0.282914
48.75,0.283325
49,0.283676
49.25,0.284025
49.5,0.284316
49.75,0.284518
50,0.284747
50.25,0.284986
50.5,0.285184
50.75,0.285487
51,0.285726
51.25,0.286116
51.5,0.286381
51.75,0.286644
52,0.286832
52.25,0.287057
52.5,0.287313
52.75,0.287578
53,0.287811
53.25,0.288133
53.5,0.28836
53.75,0.288495
54,0.288702
54.25,0.288807
54.5,0.288929
54.75,0.289075
55,0.289239
55.25,0.289412
55.5,0.289603
55.75,0.28974
56,0.289905
56.25,0.290028
56.5,0.290181
56.75,0.290335
57,0.290402
57.25,0.29052
57.5,0.290567
57.75,0.29076
58,0.290891
58.25,0.290979
58.5,0.291047
58.75,0.291206
59,0.291279
59.25,0.29138
59.5,0.291447
59.75,0.291564
60,0.291616
60.25,0.291712
60.5,0.291803
60.75,0.291906
61,0.291992
