Time,mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0.0793928
1.5,0.29697
1.75,0.416477
2,0.40591
2.25,0.555481
2.5,0.499921
2.75,0.244844
3,0.428449
3.25,0.537302
3.5,0.58244
3.75,0.644037
4,0.593098
4.25,0.557244
4.5,0.318088
4.75,0.587034
5,0.527965
5.25,0.637305
5.5,0.504619
5.75,0.426596
6,0.2768
6.25,0.289808
6.5,0.314786
6.75,0.44935
7,0.398916
7.25,0.449165
7.5,0.55398
7.75,0.452243
8,0.623855
8.25,0.508067
8.5,0.55518
8.75,0.416529
9,0.453002
9.25,0.413126
9.5,0.595853
9.75,0.320957
10,0.467483
10.25,0.419445
10.5,0.334665
10.75,0.242338
11,0.294691
11.25,0.402703
11.5,0.468738
11.75,0.519913
12,0.438588
12.25,0.474968
12.5,0.407092
12.75,0.360409
13,0.42538
13.25,0.383711
13.5,0.386806
13.75,0.387961
14,0.458836
14.25,0.556593
14.5,0.529831
14.75,0.578209
15,0.509981
15.25,0.485993
15.5,0.455804
15.75,0.458547
16,0.516873
16.25,0.468804
16.5,0.464742
16.75,0.431662
17,0.434425
17.25,0.451837
17.5,0.428269
17.75,0.490698
18,0.49435
18.25,0.424974
18.5,0.50998
18.75,0.466331
19,0.448498
19.25,0.515923
19.5,0.461476
19.75,0.500428
20,0.465917
20.25,0.468334
20.5,0.514528
20.75,0.462568
21,0.458523
21.25,0.452321
21.5,0.457988
21.75,0.485073
22,0.446725
22.25,0.458348
22.5,0.429954
22.75,0.492416
23,0.41563
23.25,0.490271
23.5,0.462007
23.75,0.467132
24,0.450539
24.25,0.445677
24.5,0.456212
24.75,0.423871
25,0.434869
25.25,0.417121
25.5,0.460421
25.75,0.435817
26,0.437309
26.25,0.44778
26.5,0.43824
26.75,0.483934
27,0.430399
27.25,0.456644
27.5,0.446845
27.75,0.463827
28,0.444961
28.25,0.460972
28.5,0.428954
28.75,0.406884
29,0.41258
29.25,0.429722
29.5,0.440907
29.75,0.444792
30,0.433521
30.25,0.433763
30.5,0.404246
30.75,0.420983
31,0.409473
31.25,0.430265
31.5,0.42293
31.75,0.415349
32,0.419628
32.25,0.431956
32.5,0.448948
32.75,0.4291
33,0.397473
33.25,0.403707
33.5,0.414427
33.75,0.403631
34,0.398595
34.25,0.397291
34.5,0.398858
34.75,0.389132
35,0.378557
35.25,0.388676
35.5,0.392591
35.75,0.392584
36,0.389279
36.25,0.407115
36.5,0.39158
36.75,0.390231
37,0.389076
37.25,0.378754
37.5,0.376542
37.75,0.361715
38,0.360078
38.25,0.366126
38.5,0.371007
38.75,0.371439
39,0.349137
39.25,0.359372
39.5,0.34326
39.75,0.352017
40,0.350253
40.25,0.347164
40.5,0.327468
40.75,0.318527
41,0.337789
41.25,0.309372
41.5,0.310448
41.75,0.312283
42,0.322117
42.25,0.308199
42.5,0.26671
42.75,0.280626
43,0.225234
43.25,0.250008
43.5,0.258579
43.75,0.224805
44,0.227888
44.25,0.251753
44.5,0.219609
44.75,0.232472
45,0.234953
45.25,0.205878
45.5,0.191361
45.75,0.208282
46,0.249488
46.25,0.215714
46.5,0.231017
46.75,0.195128
47,0.206095
47.25,0.182438
47.5,0.173753
47.75,0.152294
48,0.156379
48.25,0.217403
48.5,0.158366
48.75,0.164079
49,0.169311
49.25,0.186569
49.5,0.155468
49.75,0.143514
50,0.178762
50.25,0.125547
50.5,0.206309
50.75,0.145278
51,0.155321
51.25,0.102418
51.5,0.117897
51.75,0.140213
52,0.148925
52.25,0.099675
52.5,0.128301
52.75,0.121221
53,0.086991
53.25,0.0901987
53.5,0.100878
53.75,0.16709
54,0.153725
54.25,0.157719
54.5,0.112543
54.75,0.122222
55,0.16527
55.25,0.0812745
55.5,0.0625368
55.75,0.136027
56,0.0862682
56.25,0.105216
56.5,0.087424
56.75,0.100148
57,0.131632
57.25,0.110453
57.5,0.088084
57.75,0.0864906
58,0
58.25,0.11121
58.5,0.0963614
58.75,0.0839115
59,0.0609032
59.25,0.108654
59.5,0.0507243
59.75,0.0603318
60,0.0547562
60.25,0.0704685
60.5,0.0676511
60.75,0.0398839
61,0.116037
