Time,total_detected_cases
0,0
0.25,0
0.5,0
0.75,0
1,1
1.25,1
1.5,1
1.75,2
2,4
2.25,6
2.5,9
2.75,12
3,12
3.25,14
3.5,14
3.75,16
4,18
4.25,19
4.5,20
4.75,22
5,23
5.25,25
5.5,26
5.75,26
6,28
6.25,30
6.5,35
6.75,41
7,44
7.25,47
7.5,51
7.75,55
8,61
8.25,63
8.5,64
8.75,68
9,73
9.25,83
9.5,84
9.75,88
10,93
10.25,96
10.5,106
10.75,112
11,121
11.25,127
11.5,134
11.75,139
12,147
12.25,155
12.5,163
12.75,169
13,181
13.25,188
13.5,192
13.75,202
14,206
14.25,217
14.5,225
14.75,235
15,240
15.25,248
15.5,259
15.75,270
16,284
16.25,298
16.5,313
16.75,332
17,347
17.25,358
17.5,369
17.75,382
18,405
18.25,431
18.5,449
18.75,469
19,487
19.25,517
19.5,535
19.75,574
20,604
20.25,634
20.5,672
20.75,707
21,740
21.25,785
21.5,830
21.75,862
22,909
22.25,968
22.5,1008
22.75,1063
23,1117
23.25,1167
23.5,1216
23.75,1286
24,1350
24.25,1421
24.5,1494
24.75,1557
25,1629
25.25,1704
25.5,1785
25.75,1845
26,1948
26.25,2049
26.5,2150
26.75,2267
27,2399
27.25,2531
27.5,2652
27.75,2778
28,2902
28.25,3022
28.5,3144
28.75,3295
29,3437
29.25,3588
29.5,3754
29.75,3905
30,4077
30.25,4251
30.5,4456
30.75,4652
31,4852
31.25,5079
31.5,5298
31.75,5522
32,5762
32.25,6002
32.5,6234
32.75,6476
33,6752
33.25,7047
33.5,7339
33.75,7640
34,7923
34.25,8208
34.5,8502
34.75,8850
35,9198
35.25,9549
35.5,9889
35.75,10239
36,10618
36.25,11009
36.5,11416
36.75,11820
37,12219
37.25,12614
37.5,13042
37.75,13469
38,13903
38.25,14347
38.5,14767
38.75,15252
39,15707
39.25,16229
39.5,16732
39.75,17231
40,17742
40.25,18211
40.5,18701
40.75,19233
41,19736
41.25,20194
41.5,20708
41.75,21217
42,21747
42.25,22275
42.5,22787
42.75,23295
43,23813
43.25,24288
43.5,24815
43.75,25371
44,25907
44.25,26409
44.5,26940
44.75,27469
45,27958
45.25,28449
45.5,28921
45.75,29398
46,29865
46.25,30374
46.5,30838
46.75,31306
47,31804
47.25,32279
47.5,32732
47.75,33179
48,33646
48.25,34088
48.5,34578
48.75,34962
49,35390
49.25,35814
49.5,36217
49.75,36619
50,37009
50.25,37391
50.5,37782
50.75,38123
51,38472
51.25,38855
51.5,39210
51.75,39549
52,39879
52.25,40183
52.5,40514
52.75,40810
53,41122
53.25,41438
53.5,41757
53.75,42066
54,42373
54.25,42645
54.5,42921
54.75,43195
55,43440
55.25,43665
55.5,43890
55.75,44127
56,44330
56.25,44559
56.5,44764
56.75,44957
57,45148
57.25,45334
57.5,45506
57.75,45702
58,45903
58.25,46073
58.5,46244
58.75,46406
59,46574
59.25,46729
59.5,46880
59.75,47021
60,47159
60.25,47300
60.5,47427
60.75,47556
61,47677
61.25,47805
61.5,47907
61.75,48020
62,48140
62.25,48233
62.5,48345
62.75,48439
63,48539
63.25,48631
63.5,48719
63.75,48803
64,48883
64.25,48977
64.5,49056
64.75,49127
65,49213
65.25,49279
65.5,49339
65.75,49401
66,49460
66.25,49526
66.5,49587
66.75,49631
67,49685
67.25,49729
67.5,49778
67.75,49825
68,49873
68.25,49913
68.5,49969
68.75,50015
69,50053
69.25,50082
69.5,50127
69.75,50161
70,50187
70.25,50219
70.5,50258
70.75,50290
71,50321
71.25,50340
71.5,50375
71.75,50403
72,50429
72.25,50458
72.5,50488
72.75,50510
73,50539
73.25,50558
73.5,50579
73.75,50595
74,50618
74.25,50639
74.5,50651
74.75,50666
75,50689
75.25,50708
75.5,50723
75.75,50744
76,50756
76.25,50764
76.5,50778
76.75,50794
77,50809
77.25,50820
77.5,50831
77.75,50838
78,50849
78.25,50854
78.5,50861
78.75,50874
79,50881
79.25,50889
79.5,50903
79.75,50910
80,50916
80.25,50926
80.5,50934
80.75,50943
81,50953
81.25,50960
81.5,50963
81.75,50968
82,50975
82.25,50978
82.5,50985
82.75,50989
83,50993
83.25,50994
83.5,50998
