Time,cumulative_new_exposed
0,0
0.25,0
0.5,0
0.75,0
1,3
1.25,3
1.5,3
1.75,3
2,56
2.25,56
2.5,56
2.75,56
3,106
3.25,106
3.5,106
3.75,106
4,157
4.25,157
4.5,157
4.75,157
5,218
5.25,218
5.5,218
5.75,218
6,275
6.25,275
6.5,275
6.75,275
7,356
7.25,356
7.5,356
7.75,356
8,452
8.25,452
8.5,452
8.75,452
9,541
9.25,541
9.5,541
9.75,541
10,633
10.25,633
10.5,633
10.75,633
11,813
11.25,813
11.5,813
11.75,813
12,998
12.25,998
12.5,998
12.75,998
13,1194
13.25,1194
13.5,1194
13.75,1194
14,1413
14.25,1413
14.5,1413
14.75,1413
15,1803
15.25,1803
15.5,1803
15.75,1803
16,2279
16.25,2279
16.5,2279
16.75,2279
17,2782
17.25,2782
17.5,2782
17.75,2782
18,3390
18.25,3390
18.5,3390
18.75,3390
19,4127
19.25,4127
19.5,4127
19.75,4127
20,5096
20.25,5096
20.5,5096
20.75,5096
21,6185
21.25,6185
21.5,6185
21.75,6185
22,7346
22.25,7346
22.5,7346
22.75,7346
23,8780
23.25,8780
23.5,8780
23.75,8780
24,10533
24.25,10533
24.5,10533
24.75,10533
25,12563
25.25,12563
25.5,12563
25.75,12563
26,14970
26.25,14970
26.5,14970
26.75,14970
27,17595
27.25,17595
27.5,17595
27.75,17595
28,20624
28.25,20624
28.5,20624
28.75,20624
29,23891
29.25,23891
29.5,23891
29.75,23891
30,27657
30.25,27657
30.5,27657
30.75,27657
31,31634
31.25,31634
31.5,31634
31.75,31634
32,36043
32.25,36043
32.5,36043
32.75,36043
33,40497
33.25,40497
33.5,40497
33.75,40497
34,45093
34.25,45093
34.5,45093
34.75,45093
35,49760
35.25,49760
35.5,49760
35.75,49760
36,54433
36.25,54433
36.5,54433
36.75,54433
37,58997
37.25,58997
37.5,58997
37.75,58997
38,63485
38.25,63485
38.5,63485
38.75,63485
39,67758
39.25,67758
39.5,67758
39.75,67758
40,71590
40.25,71590
40.5,71590
40.75,71590
41,74914
41.25,74914
41.5,74914
41.75,74914
42,77835
42.25,77835
42.5,77835
42.75,77835
43,80442
43.25,80442
43.5,80442
43.75,80442
44,82570
44.25,82570
44.5,82570
44.75,82570
45,84473
45.25,84473
45.5,84473
45.75,84473
46,86066
46.25,86066
46.5,86066
46.75,86066
47,87440
47.25,87440
47.5,87440
47.75,87440
48,88557
48.25,88557
48.5,88557
48.75,88557
49,89474
49.25,89474
49.5,89474
49.75,89474
50,90240
50.25,90240
50.5,90240
50.75,90240
51,90945
51.25,90945
51.5,90945
51.75,90945
52,91503
52.25,91503
52.5,91503
52.75,91503
53,92009
53.25,92009
53.5,92009
53.75,92009
54,92395
54.25,92395
54.5,92395
54.75,92395
55,92721
55.25,92721
55.5,92721
55.75,92721
56,92991
56.25,92991
56.5,92991
56.75,92991
57,93254
57.25,93254
57.5,93254
57.75,93254
58,93439
58.25,93439
58.5,93439
58.75,93439
59,93605
59.25,93605
59.5,93605
59.75,93605
60,93752
60.25,93752
60.5,93752
60.75,93752
61,93893
61.25,93893
61.5,93893
61.75,93893
62,94009
62.25,94009
62.5,94009
62.75,94009
63,94097
63.25,94097
63.5,94097
63.75,94097
64,94150
64.25,94150
64.5,94150
64.75,94150
65,94211
65.25,94211
65.5,94211
65.75,94211
66,94269
66.25,94269
66.5,94269
66.75,94269
67,94311
67.25,94311
67.5,94311
67.75,94311
68,94359
68.25,94359
68.5,94359
68.75,94359
69,94400
69.25,94400
69.5,94400
69.75,94400
70,94431
70.25,94431
70.5,94431
70.75,94431
71,94455
71.25,94455
71.5,94455
71.75,94455
72,94482
72.25,94482
72.5,94482
72.75,94482
73,94493
73.25,94493
73.5,94493
73.75,94493
74,94507
74.25,94507
74.5,94507
74.75,94507
75,94516
75.25,94516
75.5,94516
75.75,94516
76,94530
76.25,94530
76.5,94530
76.75,94530
77,94540
77.25,94540
77.5,94540
77.75,94540
78,94543
78.25,94543
78.5,94543
78.75,94543
79,94547
79.25,94547
79.5,94547
79.75,94547
80,94553
80.25,94553
80.5,94553
80.75,94553
81,94559
81.25,94559
81.5,94559
81.75,94559
82,94562
