Time,susceptible_lambda
96.75,0.083513
97,0.0712252
97.25,0.0712252
97.5,0.0712252
97.75,0.0711992
98,0.0510093
98.25,0.0510093
98.5,0.0479519
98.75,0.0479519
99,0.0479519
99.25,0.0428669
99.5,0.0428669
99.75,0.00139853
100,0.00139853
100.25,0.00139853
100.5,0.00139853
100.75,0.00139853
101,0.00139853
101.25,0.00139853
101.5,0.00139852
101.75,0.00139852
102,0.00139852
102.25,0.00139852
102.5,0.00139852
102.75,0.00139852
103,0.00139852
103.25,0.00139852
103.5,0.00139852
103.75,0.00139852
104,0.00139852
104.25,0.00139852
104.5,0.00139852
104.75,0.00139852
105,0.00139852
105.25,0.00139852
105.5,0.00139852
105.75,0.00139852
106,0.0289727
106.25,0.0289727
106.5,0.00139852
106.75,0.00139852
107,0.00139852
107.25,0.00139852
107.5,0.00139852
107.75,0.00139852
108,0.00139852
108.25,0.00139852
108.5,0.00139852
108.75,0.00139852
109,0.00139852
109.25,0.00139852
109.5,0.00139852
109.75,0.00139852
110,0.00139852
110.25,0.00139852
110.5,0.00139852
110.75,0.00139852
111,0.00139852
111.25,0.00139852
111.5,0.00139852
111.75,0.00139852
112,0.00139852
112.25,0.00139852
112.5,0.00139852
112.75,0.00139852
113,0.00139852
113.25,0.00139852
113.5,0.00139852
113.75,0.00139852
114,0.00139852
114.25,0.00139852
114.5,0.00139852
114.75,0.00139852
115,0.00139852
115.25,0.00139852
115.5,0.00139852
115.75,0.00139852
116,0.00139852
116.25,0.00139852
116.5,0.00139852
116.75,0.00139852
117,0.00139852
117.25,0.00139852
117.5,0.00139852
117.75,0.00139852
118,0.00139852
118.25,0.00139852
118.5,0.00139852
118.75,0.00139852
119,0.00139852
119.25,0.00139852
119.5,0.00139852
119.75,0
