Time,susceptible_lambda_W
0,0
0.25,0
0.5,0.189425
0.75,0.351686
1,5.58217
1.25,31.1233
1.5,30.1182
1.75,29.781
2,25.1306
2.25,23.7945
2.5,29.1977
2.75,31.5566
3,34.8837
3.25,29.3764
3.5,30.3655
3.75,28.9863
4,29.4713
4.25,29.1527
4.5,27.9192
4.75,25.9088
5,33.1315
5.25,31.0343
5.5,31.8535
5.75,33.8474
6,37.7346
6.25,40.8425
6.5,38.7551
6.75,38.0209
7,41.3491
7.25,38.9874
7.5,38.5223
7.75,40.8489
8,37.7193
8.25,36.705
8.5,44.7372
8.75,37.6097
9,36.9059
9.25,36.3326
9.5,49.903
9.75,70.8068
10,80.4898
10.25,88.8965
10.5,77.1588
10.75,78.0077
11,80.884
11.25,84.7953
11.5,91.6369
11.75,86.8464
12,96.5311
12.25,77.698
12.5,80.6407
12.75,83.6543
13,89.6601
13.25,105.312
13.5,130.881
13.75,154.878
14,189.573
14.25,199.816
14.5,204.463
14.75,205.208
15,227.109
15.25,229.299
15.5,242.841
15.75,246.025
16,254.66
16.25,264.372
16.5,258.082
16.75,252.018
17,273.019
17.25,302.762
17.5,347.589
17.75,321.918
18,337.034
18.25,364.499
18.5,369.101
18.75,396.833
19,457.895
19.25,502.969
19.5,485.684
19.75,507.528
20,528.385
20.25,541.578
20.5,547.069
20.75,554.836
21,555.917
21.25,571.966
21.5,606.128
21.75,660.488
22,640.252
22.25,629.403
22.5,696.601
22.75,727.319
23,741.809
23.25,780.754
23.5,811.713
23.75,875.593
24,927.158
24.25,970.426
24.5,1011.81
24.75,1036.07
25,1030.1
25.25,1074.94
25.5,1126.73
25.75,1180.66
26,1241.55
26.25,1246.36
26.5,1295.51
26.75,1337.66
27,1313
27.25,1394.85
27.5,1438.47
27.75,1474.7
28,1451.12
28.25,1509.64
28.5,1529.05
28.75,1638.27
29,1668.76
29.25,1666.67
29.5,1669.8
29.75,1700.96
30,1741.42
30.25,1795.72
30.5,1802.18
30.75,1845.66
31,1925.37
31.25,1928.6
31.5,1905.79
31.75,1997.6
32,1970.15
32.25,1971.25
32.5,1916.94
32.75,1912.85
33,1921.97
33.25,1925.48
33.5,1945.97
33.75,1978.23
34,1956.33
34.25,2004.77
34.5,1951.95
34.75,1988.64
35,1915.27
35.25,1897.72
35.5,1864.3
35.75,1896.47
36,1901.41
36.25,1899.37
36.5,1857.09
36.75,1854.5
37,1804.64
37.25,1778.62
37.5,1715.07
37.75,1694.7
38,1616.42
38.25,1595.45
38.5,1548.89
38.75,1458.39
39,1440.12
39.25,1386.94
39.5,1339.77
39.75,1271.47
40,1208.64
40.25,1141.79
40.5,1105.25
40.75,1049.99
41,1009.39
41.25,947.357
41.5,899.648
41.75,858.607
42,788.711
42.25,732.176
42.5,677.717
42.75,628.778
43,583.554
43.25,558.504
43.5,538.797
43.75,518.446
44,511.059
44.25,469.803
44.5,440.347
44.75,405.329
45,384.802
45.25,361.157
45.5,355.962
45.75,336.226
46,321.531
46.25,303.402
46.5,281.229
46.75,260.723
47,238.43
47.25,217.611
47.5,204.196
47.75,197.453
48,190.419
48.25,174.595
48.5,160.311
48.75,156.39
49,149.115
49.25,132.44
49.5,121.274
49.75,111.364
50,106.428
50.25,111.011
50.5,95.3137
50.75,90.7193
51,88.559
51.25,88.51
51.5,76.0791
51.75,73.0525
52,66.6718
52.25,66.2159
52.5,58.7337
52.75,52.4573
53,50.6504
53.25,45.6909
53.5,47.1811
53.75,43.7134
54,39.6735
54.25,39.5032
54.5,35.9379
54.75,33.5463
55,32.0842
55.25,29.0529
55.5,26.6005
55.75,25.2422
56,26.8422
56.25,26.7395
56.5,22.1056
56.75,21.4474
57,19.2848
57.25,20.2592
57.5,17.0634
57.75,15.0414
58,14.5627
58.25,16.7603
58.5,13.8764
58.75,14.0102
59,12.1737
59.25,11.3347
59.5,10.4868
59.75,9.6551
60,9.34009
60.25,8.45745
60.5,8.20923
60.75,7.75746
61,7.05335
61.25,6.56022
61.5,6.72953
61.75,6.16704
62,5.45504
62.25,4.80018
62.5,4.49004
62.75,3.99044
63,4.09412
63.25,3.90725
63.5,3.94177
63.75,3.57647
64,2.75112
