Time,normal_interactions,curtailed_interactions
0,223999,223999
0.25,223980,223980
0.5,223966,223966
0.75,223951,223951
1,223940,223940
1.25,223943,223943
1.5,223941,223941
1.75,223928,223928
2,223930,223930
2.25,223919,223919
2.5,223923,223923
2.75,223925,223925
3,223919,223919
3.25,223908,223908
3.5,223915,223915
3.75,223900,223900
4,223891,223891
4.25,223881,223881
4.5,223875,223875
4.75,223864,223864
5,223837,223837
5.25,223838,223838
5.5,223829,223829
5.75,223812,223812
6,223796,223796
6.25,223768,223768
6.5,223768,223768
6.75,223770,223770
7,223745,223745
7.25,223748,223748
7.5,223735,223735
7.75,223723,223723
8,223720,223720
8.25,223698,223698
8.5,223697,223697
8.75,223679,223679
9,223669,223669
9.25,223662,223662
9.5,223647,223647
9.75,223604,223604
10,223586,223586
10.25,223555,223555
10.5,223565,223565
10.75,223549,223549
11,223555,223555
11.25,223526,223526
11.5,223503,223503
11.75,223462,223462
12,223442,223442
12.25,223448,223448
12.5,223429,223429
12.75,223391,223391
13,223361,223361
13.25,223330,223330
13.5,223292,223292
13.75,223264,223264
14,223240,223240
14.25,223213,223213
14.5,223168,223168
14.75,223122,223122
15,223070,223070
15.25,223004,223004
15.5,222960,222960
15.75,222938,222938
16,222875,222875
16.25,222837,222837
16.5,222809,222809
16.75,222757,222757
17,222702,222702
17.25,222550,222550
17.5,222499,222499
17.75,222428,222428
18,222369,222369
18.25,222290,222290
18.5,222222,222222
18.75,222086,222086
19,221972,221972
19.25,221892,221892
19.5,221778,221778
19.75,221618,221618
20,221479,221479
20.25,221344,221344
20.5,221217,221217
20.75,221090,221090
21,220993,220993
21.25,220855,220855
21.5,220728,220728
21.75,220535,220535
22,220278,220278
22.25,220143,220143
22.5,219951,219951
22.75,219756,219756
23,219578,219578
23.25,219401,219401
23.5,219168,219168
23.75,218912,218912
24,218680,218680
24.25,218420,218420
24.5,218044,218044
24.75,217774,217774
25,217551,217551
25.25,217277,217277
25.5,216942,216942
25.75,216549,216549
26,216204,216204
26.25,215952,215952
26.5,215588,215588
26.75,215352,215352
27,214954,214954
27.25,214540,214540
27.5,214118,214118
27.75,213845,213845
28,213521,213521
28.25,213024,213024
28.5,212561,212561
28.75,212068,212068
29,211690,211690
29.25,211194,211194
29.5,210735,210735
29.75,210067,210067
30,209545,209545
30.25,208948,208948
30.5,208539,208539
30.75,208001,208001
31,207368,207368
31.25,206935,206935
31.5,206422,206422
31.75,205833,205833
32,205352,205352
32.25,204840,204840
32.5,204195,204195
32.75,203472,203472
33,203009,203009
33.25,202336,202336
33.5,201793,201793
33.75,201189,201189
34,200580,200580
34.25,199891,199891
34.5,199170,199170
34.75,198663,198663
35,198059,198059
35.25,197416,197416
35.5,196799,196799
35.75,196205,196205
36,195511,195511
36.25,195044,195044
36.5,194609,194609
36.75,194106,194106
37,193598,193598
37.25,193036,193036
37.5,192576,192576
37.75,192092,192092
38,191754,191754
38.25,191245,191245
38.5,190598,190598
38.75,190267,190267
39,189968,189968
39.25,189687,189687
39.5,189491,189491
39.75,189456,189456
40,189207,189207
40.25,188843,188843
40.5,188842,188842
40.75,188502,188502
41,188346,188346
41.25,188031,188031
41.5,188020,188020
41.75,187974,187974
42,187963,187963
42.25,187870,187870
42.5,187820,187820
42.75,188072,188072
43,188118,188118
43.25,188049,188049
43.5,188150,188150
43.75,188368,188368
44,188614,188614
44.25,188846,188846
44.5,189059,189059
44.75,189338,189338
45,189485,189485
