Time,infections_by_new_infectives
0,0
0.25,231.062
0.5,192.252
0.75,322.665
1,132.495
1.25,27.9993
1.5,53.1315
1.75,50.2743
2,108.677
2.25,58.0678
2.5,107.846
2.75,48.3174
3,123.047
3.25,124.179
3.5,19.3334
3.75,158.118
4,90.5518
4.25,146.858
4.5,107.954
4.75,144.218
5,172.351
5.25,120.053
5.5,47.5409
5.75,177.679
6,126.081
6.25,220.606
6.5,59.2953
6.75,142.83
7,180.665
7.25,158.644
7.5,125.075
7.75,155.079
8,105.42
8.25,117.278
8.5,160.277
8.75,315.854
9,225.125
9.25,176.74
9.5,341.804
9.75,594.435
10,554.337
10.25,288.097
10.5,270.205
10.75,319.94
11,236.413
11.25,436.004
11.5,201.644
11.75,749.992
12,589.445
12.25,238.024
12.5,452.149
12.75,623.515
13,748.204
13.25,430.539
13.5,918.585
13.75,877.034
14,356.169
14.25,484.441
14.5,739.977
14.75,844.82
15,781.755
15.25,782.047
15.5,799.244
15.75,914.967
16,641.933
16.25,698.921
16.5,1153.71
16.75,1320.9
17,807.7
17.25,1307.36
17.5,949.62
17.75,1180.24
18,1097.44
18.25,1365.56
18.5,1232.42
18.75,2045.67
19,1382.76
19.25,1670.97
19.5,1684.21
19.75,1717.42
20,1745.05
20.25,1782.47
20.5,1869.64
20.75,1855.92
21,1838.77
21.25,2427.04
21.5,2294.36
21.75,2207.48
22,3087.63
22.25,2831.15
22.5,2703.1
22.75,3123.77
23,2661.95
23.25,2549.79
23.5,3117.75
23.75,2953.87
24,2865.82
24.25,3086.01
24.5,3671.16
24.75,3514.27
25,3109.91
25.25,3365.01
25.5,3949.64
25.75,3665.86
26,3959.21
26.25,4078.76
26.5,3884.39
26.75,3762.61
27,4356.2
27.25,4950.94
27.5,4342.57
27.75,4105.13
28,4546.11
28.25,4640.11
28.5,5115.88
28.75,5486.71
29,4274.1
29.25,5228.53
29.5,4864.24
29.75,5514.19
30,4720.3
30.25,5264.16
30.5,4901.81
30.75,4991.36
31,5513.44
31.25,5465.92
31.5,5343.73
31.75,5409.15
32,5026.07
32.25,5098.4
32.5,4923.65
32.75,5552.52
33,5099.33
33.25,5264.72
33.5,5076.89
33.75,5301.64
34,4802.54
34.25,4629.34
34.5,4898.06
34.75,4826.34
35,4972.04
35.25,4776.69
35.5,4982.19
35.75,4404.83
36,4657.88
36.25,4439.4
36.5,4259.99
36.75,4062.17
37,4012.95
37.25,3985.35
37.5,3751.56
37.75,3877.22
38,3597.39
38.25,3485.16
38.5,3461.31
38.75,3316.53
39,3013.82
39.25,2959.93
39.5,2767.98
39.75,2577.63
40,2602.57
40.25,2538.1
40.5,2458.54
40.75,2419.16
41,2218.22
41.25,2252.9
41.5,2102.81
41.75,1991.75
42,2018.95
42.25,1750.94
42.5,1770
42.75,1526.5
43,1628.45
43.25,1433.69
43.5,1429.6
43.75,1366.63
44,1276.09
44.25,1154.88
44.5,1194.69
44.75,1152.73
45,1021.85
45.25,967.342
45.5,983.77
45.75,911.203
46,849.862
46.25,822.367
46.5,740.537
46.75,687.002
47,661.694
47.25,643.029
47.5,581.14
47.75,527.751
48,565.244
48.25,447.577
48.5,528.273
48.75,576.19
49,404.336
49.25,393.907
49.5,380.8
49.75,374.282
50,374.268
50.25,337.795
50.5,334.832
50.75,301.325
51,277.828
51.25,284.988
51.5,225.185
51.75,254.636
52,247.693
52.25,217.828
52.5,190.241
52.75,203.729
53,187.27
53.25,173.733
53.5,164.523
53.75,128.919
54,167.383
54.25,145.063
54.5,111.183
54.75,129.994
55,116.794
55.25,118.848
55.5,116.727
55.75,116.762
56,98.3784
56.25,92.1704
56.5,96.9498
56.75,86.7131
57,66.37
57.25,70.3088
57.5,71.8928
57.75,70.1554
58,64.1793
58.25,51.496
58.5,69.7307
58.75,58.5726
59,51.5166
59.25,40.15
59.5,51.277
59.75,34.1173
60,37.6065
60.25,37.9549
60.5,32.3796
60.75,46.274
61,31.4714
61.25,36.0948
61.5,24.8862
61.75,32.8784
62,34.479
62.25,31.7438
62.5,20.8877
62.75,26.6348
63,24.7946
63.25,20.0239
63.5,32.9401
63.75,20.6912
64,29.9037
64.25,18.125
64.5,13.1509
64.75,23.0988
65,18.2311
65.25,14.1118
65.5,25.3143
65.75,15.9311
66,18.731
66.25,13.4112
66.5,15.0653
66.75,14.0202
67,16.0576
67.25,18.1814
67.5,8.01494
67.75,9.48788
68,9.90351
68.25,7.98978
68.5,6.3866
68.75,8.38884
69,13.3147
69.25,5.24297
69.5,3.17871
69.75,7.59192
70,8.56227
70.25,6.57996
70.5,7.17699
70.75,2.20648
71,7.00558
71.25,6.0097
71.5,3.91845
71.75,4.41423
72,7.11845
72.25,6.20796
72.5,3.96095
72.75,5.52826
73,4.50727
73.25,6.99251
73.5,6.50566
73.75,2.79575
74,4.10932
74.25,5.91
74.5,1.58784
74.75,9.01415
75,2.07806
75.25,1.67135
75.5,1.24011
75.75,3.14229
76,0.854989
76.25,2.5929
76.5,0.489798
76.75,3.05355
77,2.14151
77.25,2.31181
77.5,0.980546
77.75,1.61571
78,3.25887
78.25,0.445488
78.5,1.51815
78.75,2.25977
79,1.38708
79.25,0.516447
79.5,1.84268
79.75,0.509515
80,0.0713152
80.25,0.968496
80.5,2.14468
80.75,0.784837
81,3.80791
81.25,0.972505
81.5,0
81.75,0
82,0
82.25,2.87356
82.5,0.161208
82.75,0
83,0
83.25,0.317781
83.5,0.381508
83.75,0.396884
84,0.0869266
84.25,0.74398
84.5,0.0545529
84.75,1.05305
85,0.479493
85.25,0.355832
85.5,0.0877611
85.75,0.0876511
86,0.0564289
86.25,0
86.5,0
86.75,0
87,0
87.25,0.0578261
87.5,0
87.75,0
88,0
88.25,0
88.5,0.0793871
88.75,0.113023
89,0.298962
89.25,0.546543
89.5,0.0162009
89.75,0
90,0
90.25,0
90.5,0
90.75,0
91,0
91.25,0.0961041
91.5,0.141002
91.75,0
92,0
92.25,0
92.5,0
92.75,0
93,0
93.25,0
93.5,0.20365
93.75,0
94,0
94.25,0
94.5,0
94.75,0
95,0
95.25,0
95.5,0
95.75,0
96,0
96.25,0
96.5,0
96.75,0
97,0
97.25,0
97.5,0
97.75,0
98,0
98.25,0.0459081
98.5,0
98.75,0
99,0
99.25,0
99.5,0.00714448
99.75,0
100,0
100.25,0
100.5,0
100.75,0
