Time,total_fraction_lambda_C
0,-nan
0.25,-nan
0.5,-nan
0.75,1.07525e-05
1,4.08869e-05
1.25,5.03286e-05
1.5,3.3804e-05
1.75,0.00010237
2,0.000137326
2.25,8.78008e-05
2.5,0.000330315
2.75,0.000156762
3,7.54452e-05
3.25,0.000133005
3.5,0.000131178
3.75,0.000296733
4,0.000128464
4.25,0.000274737
4.5,0.000133812
4.75,0.000343221
5,0.000266601
5.25,0.000184662
5.5,0.000233046
5.75,0.000636147
6,0.000506429
6.25,0.000283408
6.5,0.000518612
6.75,0.000404989
7,0.000216592
7.25,0.000668172
7.5,0.000970067
7.75,0.000718536
8,0.000802057
8.25,0.00305549
8.5,0.0011557
8.75,0.000711538
9,0.000464759
9.25,0.000600388
9.5,0.000886648
9.75,0.000494506
10,0.000349041
10.25,0.000545335
10.5,0.000625964
10.75,0.000879797
11,0.000764107
11.25,0.00149282
11.5,0.00162469
11.75,0.00114459
12,0.000780146
12.25,0.00150468
12.5,0.00253057
12.75,0.00209351
13,0.00141373
13.25,0.00101092
13.5,0.00133249
13.75,0.00121267
14,0.000855981
14.25,0.0018741
14.5,0.00244973
14.75,0.00460025
15,0.00201093
15.25,0.00276157
15.5,0.00243094
15.75,0.00312104
16,0.00317552
16.25,0.00374511
16.5,0.00284031
16.75,0.00292917
17,0.00536628
17.25,0.00280563
17.5,0.00317102
17.75,0.00281052
18,0.00431353
18.25,0.00301488
18.5,0.00321739
18.75,0.00465963
19,0.00318984
19.25,0.00370366
19.5,0.00372797
19.75,0.00413576
20,0.00673236
20.25,0.00531391
20.5,0.00641039
20.75,0.00429847
21,0.00436654
21.25,0.0059055
21.5,0.00656058
21.75,0.00628983
22,0.00627783
22.25,0.00739081
22.5,0.00890407
22.75,0.0106836
23,0.00661796
23.25,0.00814597
23.5,0.00647161
23.75,0.00821561
24,0.00894932
24.25,0.00961506
24.5,0.00983271
24.75,0.00972557
25,0.010452
25.25,0.0130736
25.5,0.0112369
25.75,0.0117469
26,0.0125747
26.25,0.0130641
26.5,0.0153965
26.75,0.016205
27,0.0164789
27.25,0.0154359
27.5,0.0151528
27.75,0.0163367
28,0.0168167
28.25,0.0163134
28.5,0.0160242
28.75,0.0184851
29,0.0183597
29.25,0.0172115
29.5,0.0240995
29.75,0.0240583
30,0.022363
30.25,0.0245738
30.5,0.0217948
30.75,0.0256077
31,0.0252407
31.25,0.0322873
31.5,0.0280399
31.75,0.0293626
32,0.0280659
32.25,0.0313232
32.5,0.0277628
32.75,0.0339428
33,0.0285368
33.25,0.0321297
33.5,0.0337845
33.75,0.0363206
34,0.0351291
34.25,0.0379301
34.5,0.0345009
34.75,0.0357801
35,0.0331489
35.25,0.0399568
35.5,0.0446082
35.75,0.0474094
36,0.0381119
36.25,0.0483284
36.5,0.0494673
36.75,0.0437379
37,0.0473284
37.25,0.0493166
37.5,0.0508116
37.75,0.0508038
38,0.0489629
38.25,0.049165
38.5,0.0516251
38.75,0.0596978
39,0.0517008
39.25,0.0566094
39.5,0.0601997
39.75,0.0523474
40,0.0552855
40.25,0.0584436
40.5,0.0550891
40.75,0.0535661
41,0.0625565
41.25,0.0507152
41.5,0.0583315
41.75,0.0540922
42,0.0600068
42.25,0.0543918
42.5,0.0453577
42.75,0.0601717
43,0.0612827
43.25,0.0602697
43.5,0.0657099
43.75,0.0640811
44,0.053799
44.25,0.0479409
44.5,0.0530081
44.75,0.0539736
45,0.0703143
45.25,0.0640481
45.5,0.0645716
45.75,0.0540242
46,0.0624722
46.25,0.0576129
46.5,0.0577392
46.75,0.0733917
47,0.0603214
47.25,0.0572583
47.5,0.0596302
47.75,0.0544901
48,0.0515805
48.25,0.0524001
48.5,0.0657717
48.75,0.0698323
49,0.0545679
49.25,0.0436989
49.5,0.0586245
49.75,0.0466046
50,0.0527874
50.25,0.0327492
50.5,0.0363631
50.75,0.0439634
51,0.0381359
51.25,0.0509195
51.5,0.0552525
51.75,0.0488524
52,0.051225
52.25,0.0503169
52.5,0.0279021
52.75,0.0353367
53,0.0418149
53.25,0.0448485
53.5,0.0400673
53.75,0.0395562
54,0.0473097
54.25,0.0407643
54.5,0.0373163
54.75,0.0299824
55,0.0539771
55.25,0.0353614
55.5,0.0435597
55.75,0.0591421
56,0.0602989
56.25,0.0148384
56.5,0.0290519
56.75,0.0302156
57,0.0408329
57.25,0.0276375
57.5,0.0179693
57.75,0.044608
58,0.0299416
58.25,0.0339794
58.5,0.0189156
58.75,0.0533387
59,0.0167143
59.25,0.0553455
59.5,0.0171926
59.75,0.0220511
60,0.0143737
60.25,0.0537529
60.5,0.0232216
60.75,0.0138423
61,0.0322374
61.25,0.0337693
61.5,0.0304985
61.75,0.0273457
62,0.0471831
62.25,0.0934778
62.5,0.0221326
62.75,0.016899
63,0.0518786
63.25,0.0124037
63.5,0.0225926
63.75,0.0315567
64,0.0383801
64.25,0.0121204
64.5,0.0180898
64.75,0.043997
65,0.0159677
65.25,0.0106248
65.5,0.0103847
65.75,0.0134609
66,0.0109744
66.25,0.00859614
66.5,0.0104014
66.75,0.0317716
67,0.00739199
67.25,0.0119853
67.5,0.00859115
67.75,0.00615995
68,0.00330818
68.25,0.00553567
68.5,0.00497519
68.75,0.0230151
69,0.0027842
69.25,0.0832242
69.5,0.00835047
69.75,1
70,1
70.25,1
70.5,0.00559673
70.75,0.0152277
71,0.0680099
71.25,0.00270566
71.5,0.00434054
71.75,0.0081442
72,0.000485538
72.25,0.0034323
72.5,0.00494046
72.75,1
73,1
73.25,-nan
73.5,0.013014
73.75,0.000949314
74,-nan
74.25,0.00151345
74.5,1
74.75,0.000182898
75,0.000918804
75.25,0.0265258
75.5,1
75.75,0.0018039
76,-nan
76.25,0.000876682
76.5,0.00253068
76.75,0.000472333
77,0.000673415
77.25,1
77.5,-nan
77.75,0.000135528
78,0.00102181
78.25,-nan
78.5,1
78.75,3.18251e-05
79,1
79.25,-nan
