Time,num_cumulative_hospitalizations
0,0
0.25,0
0.5,0
0.75,0
1,1
1.25,1
1.5,1
1.75,1
2,1
2.25,1
2.5,1
2.75,1
3,1
3.25,1
3.5,1
3.75,1
4,1
4.25,1
4.5,1
4.75,1
5,1
5.25,1
5.5,1
5.75,1
6,1
6.25,1
6.5,2
6.75,3
7,3
7.25,4
7.5,5
7.75,5
8,5
8.25,5
8.5,5
8.75,5
9,5
9.25,5
9.5,5
9.75,5
10,5
10.25,5
10.5,5
10.75,5
11,5
11.25,5
11.5,5
11.75,5
12,5
12.25,5
12.5,6
12.75,6
13,6
13.25,6
13.5,6
13.75,6
14,6
14.25,7
14.5,7
14.75,8
15,8
15.25,9
15.5,9
15.75,9
16,9
16.25,10
16.5,10
16.75,10
17,10
17.25,10
17.5,11
17.75,11
18,12
18.25,13
18.5,13
18.75,13
19,14
19.25,15
19.5,15
19.75,17
20,20
20.25,23
20.5,26
20.75,27
21,29
21.25,31
21.5,33
21.75,37
22,40
22.25,42
22.5,46
22.75,50
23,52
23.25,55
23.5,58
23.75,60
24,67
24.25,71
24.5,74
24.75,79
25,85
25.25,88
25.5,90
25.75,91
26,102
26.25,104
26.5,111
26.75,119
27,122
27.25,130
27.5,136
27.75,137
28,143
28.25,152
28.5,159
28.75,163
29,166
29.25,171
29.5,179
29.75,189
30,198
30.25,204
30.5,218
30.75,226
31,238
31.25,249
31.5,259
31.75,273
32,284
32.25,296
32.5,316
32.75,326
33,338
33.25,349
33.5,365
33.75,384
34,391
34.25,406
34.5,421
34.75,435
35,448
35.25,459
35.5,474
35.75,485
36,502
36.25,512
36.5,528
36.75,545
37,560
37.25,578
37.5,601
37.75,623
38,643
38.25,672
38.5,687
38.75,715
39,732
39.25,756
39.5,777
39.75,800
40,821
40.25,848
40.5,872
40.75,901
41,926
41.25,956
41.5,978
41.75,1009
42,1036
42.25,1054
42.5,1087
42.75,1116
43,1148
43.25,1173
43.5,1193
43.75,1221
44,1257
44.25,1282
44.5,1315
44.75,1339
45,1370
45.25,1397
45.5,1414
45.75,1438
46,1472
46.25,1492
46.5,1509
46.75,1545
47,1567
47.25,1591
47.5,1615
47.75,1638
48,1663
48.25,1695
48.5,1714
48.75,1733
49,1749
49.25,1774
49.5,1799
49.75,1827
50,1846
50.25,1865
50.5,1885
50.75,1903
51,1917
51.25,1937
51.5,1953
51.75,1972
52,1988
52.25,2001
52.5,2025
52.75,2037
53,2059
53.25,2077
53.5,2092
53.75,2108
54,2128
54.25,2145
54.5,2163
54.75,2177
55,2195
55.25,2214
55.5,2229
55.75,2244
56,2257
56.25,2266
56.5,2276
56.75,2285
57,2293
57.25,2313
57.5,2322
57.75,2334
58,2344
58.25,2352
58.5,2361
58.75,2370
59,2381
59.25,2394
59.5,2404
59.75,2409
60,2415
60.25,2429
60.5,2436
60.75,2443
61,2448
61.25,2455
61.5,2459
61.75,2469
62,2474
62.25,2479
62.5,2485
62.75,2494
63,2500
63.25,2507
63.5,2513
63.75,2519
64,2524
64.25,2529
64.5,2536
64.75,2540
65,2543
65.25,2545
65.5,2546
65.75,2549
66,2555
66.25,2557
66.5,2564
66.75,2567
67,2571
67.25,2573
67.5,2576
67.75,2580
68,2585
68.25,2586
68.5,2592
68.75,2597
69,2602
69.25,2603
69.5,2605
69.75,2606
70,2608
70.25,2609
70.5,2610
70.75,2612
71,2613
71.25,2615
71.5,2616
71.75,2618
72,2620
72.25,2623
72.5,2623
72.75,2624
73,2624
73.25,2625
73.5,2626
73.75,2627
74,2630
74.25,2631
74.5,2633
74.75,2634
75,2635
75.25,2636
75.5,2638
75.75,2638
76,2639
76.25,2639
76.5,2640
76.75,2641
77,2641
77.25,2641
77.5,2642
77.75,2644
78,2644
78.25,2645
78.5,2645
78.75,2645
79,2645
79.25,2646
79.5,2646
79.75,2648
80,2650
80.25,2650
80.5,2650
80.75,2651
81,2652
81.25,2653
81.5,2654
81.75,2655
82,2655
82.25,2656
82.5,2656
82.75,2656
83,2656
83.25,2656
83.5,2656
83.75,2657
84,2657
84.25,2657
84.5,2657
84.75,2657
85,2657
85.25,2657
85.5,2658
85.75,2658
86,2658
86.25,2658
