Time,num_infected
0,0
0.25,9
0.5,16
0.75,24
1,28
1.25,27
1.5,28
1.75,32
2,31
2.25,36
2.5,35
2.75,34
3,36
3.25,39
3.5,38
3.75,43
4,46
4.25,51
4.5,54
4.75,57
5,68
5.25,68
5.5,71
5.75,76
6,82
6.25,94
6.5,93
6.75,94
7,102
7.25,101
7.5,107
7.75,112
8,114
8.25,123
8.5,124
8.75,131
9,136
9.25,138
9.5,144
9.75,163
10,173
10.25,184
10.5,181
10.75,185
11,184
11.25,196
11.5,206
11.75,222
12,227
12.25,228
12.5,235
12.75,250
13,263
13.25,275
13.5,291
13.75,305
14,315
14.25,326
14.5,341
14.75,362
15,386
15.25,411
15.5,432
15.75,444
16,471
16.25,483
16.5,498
16.75,522
17,543
17.25,603
17.5,624
17.75,654
18,677
18.25,709
18.5,733
18.75,789
19,836
19.25,874
19.5,923
19.75,982
20,1037
20.25,1090
20.5,1140
20.75,1193
21,1238
21.25,1294
21.5,1350
21.75,1436
22,1542
22.25,1597
22.5,1678
22.75,1758
23,1825
23.25,1889
23.5,1992
23.75,2087
24,2185
24.25,2295
24.5,2444
24.75,2552
25,2645
25.25,2763
25.5,2892
25.75,3049
26,3186
26.25,3301
26.5,3451
26.75,3556
27,3709
27.25,3876
27.5,4044
27.75,4172
28,4317
28.25,4515
28.5,4715
28.75,4913
29,5078
29.25,5281
29.5,5466
29.75,5748
30,5970
30.25,6210
30.5,6384
30.75,6613
31,6865
31.25,7040
31.5,7272
31.75,7522
32,7732
32.25,7949
32.5,8227
32.75,8549
33,8757
33.25,9047
33.5,9281
33.75,9518
34,9772
34.25,10056
34.5,10368
34.75,10567
35,10837
35.25,11097
35.5,11361
35.75,11622
36,11924
36.25,12133
36.5,12333
36.75,12546
37,12781
37.25,13026
37.5,13248
37.75,13466
38,13639
38.25,13872
38.5,14154
38.75,14288
39,14431
39.25,14569
39.5,14681
39.75,14722
40,14837
40.25,14999
40.5,15037
40.75,15185
41,15245
41.25,15415
41.5,15463
41.75,15502
42,15539
42.25,15596
42.5,15651
42.75,15590
43,15597
43.25,15652
43.5,15649
43.75,15589
44,15511
44.25,15423
44.5,15363
44.75,15258
45,15220
45.25,15063
45.5,15005
45.75,14889
46,14790
46.25,14607
46.5,14447
46.75,14289
47,14070
47.25,13891
47.5,13709
47.75,13507
48,13291
48.25,13057
48.5,12821
48.75,12705
49,12483
49.25,12257
49.5,12047
49.75,11821
50,11614
50.25,11432
50.5,11220
50.75,11048
51,10798
51.25,10614
51.5,10340
51.75,10141
52,9928
52.25,9744
52.5,9519
52.75,9298
53,9115
53.25,8862
53.5,8646
53.75,8408
54,8166
54.25,7983
54.5,7745
54.75,7525
55,7335
55.25,7171
55.5,7000
55.75,6818
56,6664
56.25,6465
56.5,6305
56.75,6157
57,5993
57.25,5812
57.5,5675
57.75,5508
58,5338
58.25,5190
58.5,5026
58.75,4886
59,4713
59.25,4559
59.5,4423
59.75,4273
60,4146
60.25,4024
60.5,3880
60.75,3763
61,3639
61.25,3507
61.5,3397
61.75,3313
62,3176
62.25,3086
62.5,2971
62.75,2881
63,2782
63.25,2700
63.5,2625
63.75,2537
64,2476
64.25,2370
64.5,2294
64.75,2223
65,2128
65.25,2051
65.5,1987
65.75,1923
66,1870
66.25,1796
66.5,1749
66.75,1695
67,1647
67.25,1590
67.5,1535
67.75,1482
68,1431
68.25,1377
68.5,1329
68.75,1278
69,1244
69.25,1210
69.5,1152
69.75,1111
70,1084
70.25,1044
70.5,1014
70.75,971
71,936
71.25,906
71.5,876
71.75,841
72,815
72.25,782
72.5,746
72.75,718
73,688
73.25,668
73.5,650
73.75,626
74,598
74.25,583
74.5,560
74.75,548
75,519
75.25,500
75.5,481
75.75,464
76,449
76.25,439
76.5,417
76.75,398
77,379
77.25,371
77.5,353
77.75,344
78,333
78.25,323
78.5,310
78.75,293
79,284
79.25,273
79.5,257
79.75,249
80,242
80.25,232
80.5,221
80.75,213
81,207
81.25,202
81.5,198
81.75,190
82,178
82.25,179
82.5,166
82.75,159
83,154
83.25,153
83.5,146
83.75,141
84,130
84.25,130
84.5,125
84.75,118
85,113
85.25,107
85.5,103
85.75,101
86,99
86.25,93
86.5,88
86.75,83
87,79
87.25,77
87.5,74
87.75,69
88,68
88.25,63
88.5,62
88.75,60
89,59
89.25,60
89.5,58
89.75,56
90,55
90.25,51
90.5,50
90.75,48
91,46
91.25,45
91.5,44
91.75,44
92,44
92.25,42
92.5,40
92.75,38
93,38
93.25,36
93.5,35
93.75,32
94,31
94.25,31
94.5,30
94.75,27
95,27
95.25,27
95.5,26
95.75,22
96,20
96.25,19
96.5,18
96.75,16
97,14
97.25,14
97.5,13
97.75,12
98,10
98.25,11
98.5,9
98.75,9
99,9
99.25,7
99.5,8
99.75,4
100,4
100.25,4
100.5,4
100.75,4
101,4
101.25,4
101.5,3
101.75,3
102,3
102.25,3
102.5,3
102.75,3
103,3
103.25,3
103.5,2
103.75,1
104,1
104.25,1
104.5,1
104.75,1
105,1
105.25,1
105.5,1
105.75,2
106,2
106.25,2
106.5,1
106.75,1
107,1
107.25,1
107.5,1
107.75,1
108,1
108.25,1
108.5,1
108.75,1
109,1
109.25,1
109.5,1
109.75,1
110,1
110.25,1
110.5,1
110.75,1
111,1
111.25,1
111.5,1
111.75,1
112,1
112.25,1
112.5,1
112.75,1
113,1
113.25,1
113.5,1
113.75,1
114,1
114.25,1
114.5,1
114.75,1
115,1
115.25,1
115.5,1
115.75,1
116,1
116.25,1
116.5,1
116.75,1
117,1
117.25,1
117.5,1
117.75,1
118,1
118.25,1
118.5,1
118.75,1
119,1
119.25,1
119.5,1
119.75,0
