Time,cumulative_new_critical
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,0
17.5,0
17.75,0
18,0
18.25,0
18.5,0
18.75,0
19,0
19.25,0
19.5,0
19.75,0
20,0
20.25,0
20.5,0
20.75,0
21,1
21.25,1
21.5,1
21.75,1
22,1
22.25,1
22.5,1
22.75,1
23,1
23.25,1
23.5,1
23.75,1
24,1
24.25,1
24.5,1
24.75,1
25,1
25.25,1
25.5,1
25.75,1
26,1
26.25,1
26.5,1
26.75,1
27,1
27.25,1
27.5,1
27.75,1
28,1
28.25,1
28.5,1
28.75,1
29,3
29.25,3
29.5,3
29.75,3
30,5
30.25,5
30.5,5
30.75,5
31,8
31.25,8
31.5,8
31.75,8
32,10
32.25,10
32.5,10
32.75,10
33,17
33.25,17
33.5,17
33.75,17
34,17
34.25,17
34.5,17
34.75,17
35,21
35.25,21
35.5,21
35.75,21
36,25
36.25,25
36.5,25
36.75,25
37,32
37.25,32
37.5,32
37.75,32
38,34
38.25,34
38.5,34
38.75,34
39,40
39.25,40
39.5,40
39.75,40
40,46
40.25,46
40.5,46
40.75,46
41,51
41.25,51
41.5,51
41.75,51
42,59
42.25,59
42.5,59
42.75,59
43,68
43.25,68
43.5,68
43.75,68
44,81
44.25,81
44.5,81
44.75,81
45,93
45.25,93
45.5,93
45.75,93
46,106
46.25,106
46.5,106
46.75,106
47,124
47.25,124
47.5,124
47.75,124
48,141
48.25,141
48.5,141
48.75,141
49,159
49.25,159
49.5,159
49.75,159
50,179
50.25,179
50.5,179
50.75,179
51,206
51.25,206
51.5,206
51.75,206
52,227
52.25,227
52.5,227
52.75,227
53,253
53.25,253
53.5,253
53.75,253
54,270
54.25,270
54.5,270
54.75,270
55,297
55.25,297
55.5,297
55.75,297
56,315
56.25,315
56.5,315
56.75,315
57,338
57.25,338
57.5,338
57.75,338
58,354
58.25,354
58.5,354
58.75,354
59,371
59.25,371
59.5,371
59.75,371
60,384
60.25,384
60.5,384
60.75,384
61,395
61.25,395
61.5,395
61.75,395
62,404
62.25,404
62.5,404
62.75,404
63,423
63.25,423
63.5,423
63.75,423
64,442
64.25,442
64.5,442
64.75,442
65,450
65.25,450
65.5,450
65.75,450
66,464
66.25,464
66.5,464
66.75,464
67,475
67.25,475
67.5,475
67.75,475
68,479
68.25,479
68.5,479
68.75,479
69,486
69.25,486
69.5,486
69.75,486
70,489
70.25,489
70.5,489
70.75,489
71,499
71.25,499
71.5,499
71.75,499
72,506
72.25,506
72.5,506
72.75,506
73,509
73.25,509
73.5,509
73.75,509
74,511
74.25,511
74.5,511
74.75,511
75,515
75.25,515
75.5,515
75.75,515
76,517
76.25,517
76.5,517
76.75,517
77,520
77.25,520
77.5,520
77.75,520
78,520
78.25,520
78.5,520
78.75,520
79,522
79.25,522
79.5,522
79.75,522
80,524
80.25,524
80.5,524
80.75,524
81,525
81.25,525
81.5,525
81.75,525
82,526
82.25,526
82.5,526
82.75,526
83,528
83.25,528
83.5,528
83.75,528
84,530
84.25,530
84.5,530
84.75,530
85,530
85.25,530
85.5,530
85.75,530
86,530
86.25,530
86.5,530
86.75,530
87,530
87.25,530
87.5,530
87.75,530
88,532
88.25,532
88.5,532
88.75,532
89,534
89.25,534
89.5,534
89.75,534
90,535
90.25,535
90.5,535
90.75,535
91,535
91.25,535
91.5,535
91.75,535
92,536
92.25,536
92.5,536
92.75,536
93,536
93.25,536
93.5,536
93.75,536
94,536
94.25,536
94.5,536
94.75,536
95,536
95.25,536
95.5,536
95.75,536
96,536
96.25,536
96.5,536
96.75,536
97,536
97.25,536
97.5,536
97.75,536
98,536
98.25,536
98.5,536
98.75,536
99,536
99.25,536
99.5,536
99.75,536
100,536
100.25,536
100.5,536
100.75,536
101,536
101.25,536
101.5,536
101.75,536
102,536
102.25,536
102.5,536
102.75,536
103,536
103.25,536
103.5,536
103.75,536
104,536
104.25,536
104.5,536
104.75,536
105,536
105.25,536
105.5,536
105.75,536
106,536
106.25,536
106.5,536
106.75,536
107,536
107.25,536
107.5,536
107.75,536
108,536
108.25,536
108.5,536
108.75,536
109,536
109.25,536
109.5,536
109.75,536
110,536
110.25,536
110.5,536
110.75,536
111,536
111.25,536
111.5,536
111.75,536
112,536
112.25,536
112.5,536
112.75,536
113,536
113.25,536
113.5,536
113.75,536
114,536
114.25,536
114.5,536
114.75,536
115,536
115.25,536
115.5,536
115.75,536
116,536
116.25,536
116.5,536
116.75,536
117,536
117.25,536
117.5,536
117.75,536
118,536
118.25,536
118.5,536
118.75,536
119,536
119.25,536
119.5,536
119.75,536
