Time,daily_new_recovered
0,0
0.25,0
0.5,3
0.75,4
1,2
1.25,6
1.5,7
1.75,8
2,5
2.25,8
2.5,15
2.75,20
3,3
3.25,8
3.5,11
3.75,13
4,3
4.25,6
4.5,9
4.75,13
5,1
5.25,9
5.5,13
5.75,15
6,2
6.25,6
6.5,15
6.75,23
7,7
7.25,15
7.5,19
7.75,27
8,9
8.25,13
8.5,24
8.75,32
9,9
9.25,24
9.5,33
9.75,41
10,12
10.25,23
10.5,41
10.75,53
11,16
11.25,30
11.5,44
11.75,58
12,18
12.25,35
12.5,51
12.75,67
13,22
13.25,40
13.5,60
13.75,84
14,16
14.25,35
14.5,53
14.75,73
15,16
15.25,41
15.5,63
15.75,93
16,36
16.25,77
16.5,123
16.75,164
17,39
17.25,70
17.5,107
17.75,150
18,55
18.25,113
18.5,166
18.75,219
19,55
19.25,120
19.5,178
19.75,249
20,74
20.25,144
20.5,221
20.75,303
21,93
21.25,188
21.5,296
21.75,382
22,108
22.25,251
22.5,363
22.75,493
23,123
23.25,257
23.5,374
23.75,522
24,145
24.25,300
24.5,465
24.75,650
25,186
25.25,361
25.5,557
25.75,737
26,228
26.25,470
26.5,700
26.75,957
27,276
27.25,550
27.5,822
27.75,1131
28,323
28.25,606
28.5,901
28.75,1245
29,334
29.25,697
29.5,1085
29.75,1428
30,389
30.25,801
30.5,1236
30.75,1690
31,449
31.25,962
31.5,1470
31.75,1950
32,522
32.25,1028
32.5,1538
32.75,2080
33,608
33.25,1209
33.5,1855
33.75,2508
34,627
34.25,1228
34.5,1881
34.75,2621
35,726
35.25,1483
35.5,2228
35.75,2979
36,783
36.25,1609
36.5,2437
36.75,3263
37,838
37.25,1663
37.5,2501
37.75,3355
38,887
38.25,1741
38.5,2570
38.75,3531
39,924
39.25,1887
39.5,2840
39.75,3821
40,982
40.25,1932
40.5,2930
40.75,3921
41,999
41.25,1920
41.5,2914
41.75,3900
42,979
42.25,1928
42.5,2886
42.75,3866
43,943
43.25,1802
43.5,2749
43.75,3754
44,970
44.25,1877
44.5,2813
44.75,3743
45,859
45.25,1756
45.5,2599
45.75,3454
46,828
46.25,1741
46.5,2574
46.75,3368
47,833
47.25,1639
47.5,2394
47.75,3171
48,771
48.25,1483
48.5,2273
48.75,2950
49,695
49.25,1392
49.5,2046
49.75,2727
50,641
50.25,1240
50.5,1859
50.75,2421
51,580
51.25,1151
51.5,1732
51.75,2270
52,542
52.25,1044
52.5,1535
52.75,2011
53,485
53.25,990
53.5,1452
53.75,1931
54,473
54.25,866
54.5,1282
54.75,1708
55,382
55.25,740
55.5,1095
55.75,1455
56,317
56.25,668
56.5,980
56.75,1277
57,302
57.25,609
57.5,865
57.75,1165
58,293
58.25,545
58.5,814
58.75,1064
59,261
59.25,503
59.5,728
59.75,947
60,199
60.25,404
60.5,615
60.75,817
61,188
61.25,389
61.5,554
61.75,712
62,189
62.25,340
62.5,501
62.75,638
63,151
63.25,280
63.5,408
63.75,538
64,117
64.25,261
64.5,369
64.75,480
65,136
65.25,241
65.5,338
65.75,431
66,83
66.25,179
66.5,260
66.75,338
67,78
67.25,161
67.5,234
67.75,305
68,69
68.25,137
68.5,207
68.75,272
69,57
69.25,111
69.5,177
69.75,235
70,41
70.25,88
70.5,141
70.75,191
71,46
71.25,88
71.5,135
71.75,179
72,40
72.25,84
72.5,131
72.75,168
73,39
73.25,71
73.5,103
73.75,132
74,37
74.25,67
74.5,92
74.75,116
75,35
75.25,61
75.5,85
75.75,112
76,19
76.25,32
76.5,56
76.75,83
77,27
77.25,42
77.5,63
77.75,75
78,18
78.25,29
78.5,42
78.75,60
79,12
79.25,25
79.5,44
79.75,54
80,7
80.25,21
80.5,35
80.75,45
81,14
81.25,24
81.5,28
81.75,36
82,12
82.25,16
82.5,30
82.75,36
83,5
83.25,9
83.5,18
83.75,25
84,12
84.25,18
84.5,24
84.75,34
85,7
85.25,15
85.5,21
85.75,25
86,2
86.25,8
86.5,13
86.75,17
87,4
87.25,7
87.5,10
87.75,14
88,1
88.25,6
88.5,9
88.75,11
89,2
89.25,3
89.5,5
89.75,7
90,1
90.25,5
90.5,5
90.75,7
91,1
91.25,3
91.5,4
91.75,4
92,0
92.25,2
92.5,4
92.75,6
93,0
93.25,2
93.5,4
93.75,7
94,1
94.25,1
94.5,2
94.75,5
95,0
95.25,0
95.5,1
95.75,3
96,1
96.25,2
96.5,3
96.75,5
97,2
97.25,2
97.5,3
97.75,4
98,2
98.25,2
98.5,4
98.75,4
99,0
99.25,2
99.5,2
99.75,6
100,0
100.25,0
100.5,0
100.75,0
101,0
101.25,0
101.5,1
101.75,1
102,0
102.25,0
102.5,0
102.75,0
103,0
103.25,0
103.5,1
103.75,2
104,0
104.25,0
104.5,0
104.75,0
105,0
105.25,0
105.5,0
105.75,0
106,0
106.25,0
106.5,1
106.75,1
107,0
107.25,0
107.5,0
107.75,0
108,0
108.25,0
108.5,0
108.75,0
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,1
