Time,cumulative_mean_fraction_lambda_W
82,0.372153
82.25,0.372153
82.5,0.372145
82.75,0.372145
83,0.372145
83.25,0.372145
83.5,0.372145
83.75,0.372137
84,0.372133
84.25,0.372133
84.5,0.372133
84.75,0.372133
85,0.372139
85.25,0.372139
85.5,0.372139
85.75,0.372136
86,0.372132
86.25,0.372128
86.5,0.372128
86.75,0.372128
87,0.372128
87.25,0.372128
87.5,0.372128
87.75,0.372124
88,0.372124
88.25,0.37212
88.5,0.372116
88.75,0.372116
89,0.372116
89.25,0.372116
89.5,0.372116
89.75,0.372116
90,0.372116
90.25,0.372116
90.5,0.372116
90.75,0.372116
91,0.372116
91.25,0.372116
91.5,0.372116
91.75,0.372116
92,0.372116
92.25,0.372116
92.5,0.372116
92.75,0.372116
93,0.372116
93.25,0.372116
93.5,0.372116
93.75,0.372116
94,0.372116
94.25,0.372112
94.5,0.372112
94.75,0.372112
95,0.372112
95.25,0.372112
95.5,0.372112
95.75,0.372112
96,0.372112
96.25,0.372112
96.5,0.372112
96.75,0.372112
97,0.372112
97.25,0.372112
97.5,0.372112
97.75,0.372112
98,0.372112
98.25,0.372112
98.5,0.372112
98.75,0.372112
99,0.372112
99.25,0.372112
99.5,0.372112
99.75,0.372112
100,0.372112
100.25,0.372112
100.5,0.372112
100.75,0.372112
101,0.372112
101.25,0.372112
101.5,0.372112
101.75,0.372112
102,0.372112
102.25,0.372112
102.5,0.372112
102.75,0.372112
103,0.372112
103.25,0.372112
103.5,0.372112
103.75,0.372112
104,0.372112
104.25,0.372112
104.5,0.372112
104.75,0.372112
105,0.372112
105.25,0.372112
105.5,0.372112
105.75,0.372112
106,0.372112
106.25,0.372112
106.5,0.372112
106.75,0.372112
107,0.372112
107.25,0.372112
107.5,0.372112
107.75,0.372112
108,0.372112
108.25,0.372112
108.5,0.372112
108.75,0.372112
109,0.372112
109.25,0.372112
109.5,0.372112
109.75,0.372112
110,0.372112
110.25,0.372112
110.5,0.372112
110.75,0.372112
111,0.372112
111.25,0.372112
111.5,0.372112
111.75,0.372112
112,0.372112
112.25,0.372112
112.5,0.372112
112.75,0.372112
113,0.372112
113.25,0.372112
113.5,0.372112
113.75,0.372112
114,0.372112
114.25,0.372112
114.5,0.372112
114.75,0.372112
115,0.372112
115.25,0.372112
115.5,0.372112
115.75,0.372112
116,0.372112
116.25,0.372112
116.5,0.372112
116.75,0.372112
117,0.372112
117.25,0.372112
117.5,0.372112
117.75,0.372112
118,0.372112
118.25,0.372112
118.5,0.372112
118.75,0.372112
119,0.372112
119.25,0.372112
119.5,0.372112
119.75,0.372112
