Time,cumulative_new_recovered
0,0
0.25,0
0.5,0
0.75,0
1,4
1.25,4
1.5,4
1.75,4
2,12
2.25,12
2.5,12
2.75,12
3,32
3.25,32
3.5,32
3.75,32
4,45
4.25,45
4.5,45
4.75,45
5,58
5.25,58
5.5,58
5.75,58
6,73
6.25,73
6.5,73
6.75,73
7,96
7.25,96
7.5,96
7.75,96
8,123
8.25,123
8.5,123
8.75,123
9,155
9.25,155
9.5,155
9.75,155
10,196
10.25,196
10.5,196
10.75,196
11,249
11.25,249
11.5,249
11.75,249
12,307
12.25,307
12.5,307
12.75,307
13,374
13.25,374
13.5,374
13.75,374
14,458
14.25,458
14.5,458
14.75,458
15,531
15.25,531
15.5,531
15.75,531
16,624
16.25,624
16.5,624
16.75,624
17,788
17.25,788
17.5,788
17.75,788
18,938
18.25,938
18.5,938
18.75,938
19,1157
19.25,1157
19.5,1157
19.75,1157
20,1406
20.25,1406
20.5,1406
20.75,1406
21,1709
21.25,1709
21.5,1709
21.75,1709
22,2091
22.25,2091
22.5,2091
22.75,2091
23,2584
23.25,2584
23.5,2584
23.75,2584
24,3106
24.25,3106
24.5,3106
24.75,3106
25,3756
25.25,3756
25.5,3756
25.75,3756
26,4493
26.25,4493
26.5,4493
26.75,4493
27,5450
27.25,5450
27.5,5450
27.75,5450
28,6581
28.25,6581
28.5,6581
28.75,6581
29,7826
29.25,7826
29.5,7826
29.75,7826
30,9254
30.25,9254
30.5,9254
30.75,9254
31,10944
31.25,10944
31.5,10944
31.75,10944
32,12894
32.25,12894
32.5,12894
32.75,12894
33,14974
33.25,14974
33.5,14974
33.75,14974
34,17482
34.25,17482
34.5,17482
34.75,17482
35,20103
35.25,20103
35.5,20103
35.75,20103
36,23082
36.25,23082
36.5,23082
36.75,23082
37,26345
37.25,26345
37.5,26345
37.75,26345
38,29700
38.25,29700
38.5,29700
38.75,29700
39,33231
39.25,33231
39.5,33231
39.75,33231
40,37052
40.25,37052
40.5,37052
40.75,37052
41,40973
41.25,40973
41.5,40973
41.75,40973
42,44873
42.25,44873
42.5,44873
42.75,44873
43,48739
43.25,48739
43.5,48739
43.75,48739
44,52493
44.25,52493
44.5,52493
44.75,52493
45,56236
45.25,56236
45.5,56236
45.75,56236
46,59690
46.25,59690
46.5,59690
46.75,59690
47,63058
47.25,63058
47.5,63058
47.75,63058
48,66229
48.25,66229
48.5,66229
48.75,66229
49,69179
49.25,69179
49.5,69179
49.75,69179
50,71906
50.25,71906
50.5,71906
50.75,71906
51,74327
51.25,74327
51.5,74327
51.75,74327
52,76597
52.25,76597
52.5,76597
52.75,76597
53,78608
53.25,78608
53.5,78608
53.75,78608
54,80539
54.25,80539
54.5,80539
54.75,80539
55,82247
55.25,82247
55.5,82247
55.75,82247
56,83702
56.25,83702
56.5,83702
56.75,83702
57,84979
57.25,84979
57.5,84979
57.75,84979
58,86144
58.25,86144
58.5,86144
58.75,86144
59,87208
59.25,87208
59.5,87208
59.75,87208
60,88155
60.25,88155
60.5,88155
60.75,88155
61,88972
61.25,88972
61.5,88972
61.75,88972
62,89684
62.25,89684
62.5,89684
62.75,89684
63,90322
63.25,90322
63.5,90322
63.75,90322
64,90860
64.25,90860
64.5,90860
64.75,90860
65,91340
65.25,91340
65.5,91340
65.75,91340
66,91771
66.25,91771
66.5,91771
66.75,91771
67,92109
67.25,92109
67.5,92109
67.75,92109
68,92414
68.25,92414
68.5,92414
68.75,92414
69,92686
69.25,92686
69.5,92686
69.75,92686
70,92921
70.25,92921
70.5,92921
70.75,92921
71,93112
71.25,93112
71.5,93112
71.75,93112
72,93291
72.25,93291
72.5,93291
72.75,93291
73,93459
73.25,93459
73.5,93459
73.75,93459
74,93591
74.25,93591
74.5,93591
74.75,93591
75,93707
75.25,93707
75.5,93707
75.75,93707
76,93819
76.25,93819
76.5,93819
76.75,93819
77,93902
77.25,93902
77.5,93902
77.75,93902
78,93977
78.25,93977
78.5,93977
78.75,93977
79,94037
79.25,94037
79.5,94037
79.75,94037
80,94091
80.25,94091
80.5,94091
80.75,94091
81,94136
81.25,94136
81.5,94136
81.75,94136
82,94172
82.25,94172
82.5,94172
82.75,94172
