Time,cumulative_new_detected
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,2
2.25,2
2.5,2
2.75,2
3,12
3.25,12
3.5,12
3.75,12
4,16
4.25,16
4.5,16
4.75,16
5,22
5.25,22
5.5,22
5.75,22
6,26
6.25,26
6.5,26
6.75,26
7,41
7.25,41
7.5,41
7.75,41
8,55
8.25,55
8.5,55
8.75,55
9,68
9.25,68
9.5,68
9.75,68
10,88
10.25,88
10.5,88
10.75,88
11,112
11.25,112
11.5,112
11.75,112
12,139
12.25,139
12.5,139
12.75,139
13,169
13.25,169
13.5,169
13.75,169
14,202
14.25,202
14.5,202
14.75,202
15,235
15.25,235
15.5,235
15.75,235
16,270
16.25,270
16.5,270
16.75,270
17,332
17.25,332
17.5,332
17.75,332
18,382
18.25,382
18.5,382
18.75,382
19,469
19.25,469
19.5,469
19.75,469
20,574
20.25,574
20.5,574
20.75,574
21,707
21.25,707
21.5,707
21.75,707
22,862
22.25,862
22.5,862
22.75,862
23,1063
23.25,1063
23.5,1063
23.75,1063
24,1286
24.25,1286
24.5,1286
24.75,1286
25,1557
25.25,1557
25.5,1557
25.75,1557
26,1845
26.25,1845
26.5,1845
26.75,1845
27,2267
27.25,2267
27.5,2267
27.75,2267
28,2778
28.25,2778
28.5,2778
28.75,2778
29,3295
29.25,3295
29.5,3295
29.75,3295
30,3905
30.25,3905
30.5,3905
30.75,3905
31,4652
31.25,4652
31.5,4652
31.75,4652
32,5522
32.25,5522
32.5,5522
32.75,5522
33,6476
33.25,6476
33.5,6476
33.75,6476
34,7640
34.25,7640
34.5,7640
34.75,7640
35,8850
35.25,8850
35.5,8850
35.75,8850
36,10239
36.25,10239
36.5,10239
36.75,10239
37,11820
37.25,11820
37.5,11820
37.75,11820
38,13469
38.25,13469
38.5,13469
38.75,13469
39,15252
39.25,15252
39.5,15252
39.75,15252
40,17231
40.25,17231
40.5,17231
40.75,17231
41,19233
41.25,19233
41.5,19233
41.75,19233
42,21217
42.25,21217
42.5,21217
42.75,21217
43,23295
43.25,23295
43.5,23295
43.75,23295
44,25371
44.25,25371
44.5,25371
44.75,25371
45,27469
45.25,27469
45.5,27469
45.75,27469
46,29398
46.25,29398
46.5,29398
46.75,29398
47,31306
47.25,31306
47.5,31306
47.75,31306
48,33179
48.25,33179
48.5,33179
48.75,33179
49,34962
49.25,34962
49.5,34962
49.75,34962
50,36619
50.25,36619
50.5,36619
50.75,36619
51,38123
51.25,38123
51.5,38123
51.75,38123
52,39549
52.25,39549
52.5,39549
52.75,39549
53,40810
53.25,40810
53.5,40810
53.75,40810
54,42066
54.25,42066
54.5,42066
54.75,42066
55,43195
55.25,43195
55.5,43195
55.75,43195
56,44127
56.25,44127
56.5,44127
56.75,44127
57,44957
57.25,44957
57.5,44957
57.75,44957
58,45702
58.25,45702
58.5,45702
58.75,45702
59,46406
59.25,46406
59.5,46406
59.75,46406
60,47021
60.25,47021
60.5,47021
60.75,47021
61,47556
61.25,47556
61.5,47556
61.75,47556
62,48020
62.25,48020
62.5,48020
62.75,48020
63,48439
63.25,48439
63.5,48439
63.75,48439
64,48803
64.25,48803
64.5,48803
64.75,48803
65,49127
65.25,49127
65.5,49127
65.75,49127
66,49401
66.25,49401
66.5,49401
66.75,49401
67,49631
67.25,49631
67.5,49631
67.75,49631
68,49825
68.25,49825
68.5,49825
68.75,49825
69,50015
69.25,50015
69.5,50015
69.75,50015
70,50161
70.25,50161
70.5,50161
70.75,50161
71,50290
71.25,50290
71.5,50290
71.75,50290
72,50403
72.25,50403
72.5,50403
72.75,50403
73,50510
73.25,50510
73.5,50510
73.75,50510
74,50595
74.25,50595
74.5,50595
74.75,50595
75,50666
75.25,50666
75.5,50666
75.75,50666
76,50744
76.25,50744
76.5,50744
76.75,50744
77,50794
77.25,50794
77.5,50794
77.75,50794
78,50838
78.25,50838
78.5,50838
78.75,50838
79,50874
79.25,50874
79.5,50874
79.75,50874
80,50910
80.25,50910
80.5,50910
80.75,50910
81,50943
81.25,50943
81.5,50943
81.75,50943
82,50968
82.25,50968
82.5,50968
82.75,50968
83,50989
83.25,50989
83.5,50989
