Time,cumulative_mean_fraction_lambda_H
0,0
0.25,0
0.5,0
0.75,0.666662
1,0.699967
1.25,0.681679
1.5,0.663259
1.75,0.616638
2,0.597738
2.25,0.580485
2.5,0.538202
2.75,0.522983
3,0.520287
3.25,0.499499
3.5,0.48555
3.75,0.467376
4,0.457352
4.25,0.444968
4.5,0.450401
4.75,0.427475
5,0.409316
5.25,0.39835
5.5,0.390964
5.75,0.385582
6,0.387628
6.25,0.383526
6.5,0.375319
6.75,0.372835
7,0.372001
7.25,0.367499
7.5,0.360677
7.75,0.360802
8,0.358969
8.25,0.34428
8.5,0.338599
8.75,0.340221
9,0.336445
9.25,0.336303
9.5,0.33346
9.75,0.339746
10,0.34419
10.25,0.347936
10.5,0.354273
10.75,0.359649
11,0.362166
11.25,0.35998
11.5,0.353899
11.75,0.350857
12,0.347047
12.25,0.337092
12.5,0.336552
12.75,0.33393
13,0.33407
13.25,0.336545
13.5,0.335134
13.75,0.33626
14,0.337253
14.25,0.334426
14.5,0.329876
14.75,0.323675
15,0.322572
15.25,0.320423
15.5,0.318219
15.75,0.31456
16,0.312235
16.25,0.307958
16.5,0.307534
16.75,0.308236
17,0.306263
17.25,0.306738
17.5,0.308066
17.75,0.30725
18,0.306061
18.25,0.307124
18.5,0.307774
18.75,0.304892
19,0.304917
19.25,0.303274
19.5,0.304996
19.75,0.305407
20,0.30469
20.25,0.303906
20.5,0.302285
20.75,0.30225
21,0.300975
21.25,0.303507
21.5,0.302437
21.75,0.302606
22,0.302069
22.25,0.302246
22.5,0.301706
22.75,0.300653
23,0.302366
23.25,0.303081
23.5,0.304219
23.75,0.304795
24,0.304801
24.25,0.304521
24.5,0.304489
24.75,0.305472
25,0.305702
25.25,0.306062
25.5,0.305995
25.75,0.306968
26,0.306603
26.25,0.306596
26.5,0.307161
26.75,0.306051
27,0.306364
27.25,0.306138
27.5,0.306192
27.75,0.306592
28,0.307191
28.25,0.307325
28.5,0.308555
28.75,0.309231
29,0.309988
29.25,0.310167
29.5,0.309698
29.75,0.309399
30,0.309833
30.25,0.30985
30.5,0.310765
30.75,0.31116
31,0.311678
31.25,0.310657
31.5,0.310926
31.75,0.311371
32,0.311299
32.25,0.3113
32.5,0.31135
32.75,0.311184
33,0.312509
33.25,0.312567
33.5,0.312491
33.75,0.312396
34,0.313072
34.25,0.313246
34.5,0.313492
34.75,0.314072
35,0.314815
35.25,0.315399
35.5,0.315744
35.75,0.315591
36,0.315991
36.25,0.31578
36.5,0.315783
36.75,0.316008
37,0.315941
37.25,0.316195
37.5,0.316529
37.75,0.316934
38,0.317381
38.25,0.317697
38.5,0.317891
38.75,0.318022
39,0.318398
39.25,0.318522
39.5,0.318759
39.75,0.31907
40,0.319239
40.25,0.319376
40.5,0.319593
40.75,0.320048
41,0.320196
41.25,0.320706
41.5,0.321065
41.75,0.321441
42,0.321748
42.25,0.322054
42.5,0.322789
42.75,0.323179
43,0.323671
43.25,0.324157
43.5,0.324414
43.75,0.324966
44,0.325494
44.25,0.325762
44.5,0.326229
44.75,0.326589
45,0.326702
45.25,0.327033
45.5,0.327302
45.75,0.327632
46,0.327735
46.25,0.327992
46.5,0.328285
46.75,0.328505
47,0.328731
47.25,0.329029
47.5,0.32925
47.75,0.329522
48,0.329811
48.25,0.330033
48.5,0.330074
48.75,0.3302
49,0.33036
49.25,0.33046
49.5,0.330618
49.75,0.33089
50,0.331084
50.25,0.331322
50.5,0.33146
50.75,0.331629
51,0.331797
51.25,0.33187
51.5,0.331963
51.75,0.332017
52,0.332174
52.25,0.332274
52.5,0.332399
52.75,0.332487
53,0.332543
53.25,0.332576
53.5,0.332644
53.75,0.332701
54,0.332743
54.25,0.332796
54.5,0.332897
54.75,0.332972
55,0.332978
55.25,0.333038
55.5,0.33305
55.75,0.333077
56,0.33309
56.25,0.33314
56.5,0.333216
56.75,0.333279
57,0.33329
57.25,0.333298
57.5,0.333408
57.75,0.3334
58,0.333427
58.25,0.333472
58.5,0.333511
58.75,0.333489
59,0.33355
59.25,0.333552
59.5,0.33361
59.75,0.333609
60,0.333711
60.25,0.333735
60.5,0.333752
60.75,0.333742
61,0.333763
