Time,total_fraction_lambda_W
0,-nan
0.25,-nan
0.5,-nan
0.75,0
1,0
1.25,0.000284321
1.5,0.0596972
1.75,0.0712125
2,0.130123
2.25,0.177681
2.5,0.588551
2.75,0.0793936
3,0.0662068
3.25,0.0851468
3.5,0.163279
3.75,0.570308
4,0.220859
4.25,0.269453
4.5,0.0888356
4.75,0.215172
5,0.196889
5.25,0.265656
5.5,0.309584
5.75,0.319961
6,0.094616
6.25,0.0807658
6.5,0.105878
6.75,0.178397
7,0.0353538
7.25,0.198131
7.5,0.55282
7.75,0.103662
8,0.181758
8.25,0.525885
8.5,0.28456
8.75,0.113569
9,0.223479
9.25,0.103206
9.5,0.139769
9.75,0.102368
10,0.0444236
10.25,0.0419934
10.5,0.0727081
10.75,0.0590583
11,0.0377825
11.25,0.0974495
11.5,0.123899
11.75,0.113489
12,0.0536266
12.25,0.230362
12.5,0.102939
12.75,0.134789
13,0.112474
13.25,0.0409117
13.5,0.0417089
13.75,0.0612975
14,0.0688416
14.25,0.18167
14.5,0.198359
14.75,0.328051
15,0.102164
15.25,0.145337
15.5,0.105025
15.75,0.128189
16,0.153254
16.25,0.252771
16.5,0.129945
16.75,0.165657
17,0.201457
17.25,0.205851
17.5,0.109245
17.75,0.153041
18,0.163438
18.25,0.114738
18.5,0.100165
18.75,0.171992
19,0.0895666
19.25,0.138354
19.5,0.100806
19.75,0.126777
20,0.193486
20.25,0.146468
20.5,0.19795
20.75,0.115425
21,0.103065
21.25,0.172485
21.5,0.108516
21.75,0.10063
22,0.110353
22.25,0.130198
22.5,0.113785
22.75,0.166002
23,0.111189
23.25,0.151991
23.5,0.117579
23.75,0.144763
24,0.151003
24.25,0.141573
24.5,0.151754
24.75,0.136974
25,0.148501
25.25,0.141283
25.5,0.147719
25.75,0.123926
26,0.136947
26.25,0.146389
26.5,0.158279
26.75,0.184219
27,0.150124
27.25,0.141133
27.5,0.149254
27.75,0.170013
28,0.155127
28.25,0.170064
28.5,0.151166
28.75,0.149296
29,0.151914
29.25,0.14338
29.5,0.188173
29.75,0.174643
30,0.153129
30.25,0.181956
30.5,0.141855
30.75,0.164659
31,0.154096
31.25,0.200775
31.5,0.164705
31.75,0.146266
32,0.187412
32.25,0.172985
32.5,0.161053
32.75,0.182055
33,0.148772
33.25,0.16033
33.5,0.171724
33.75,0.174038
34,0.170918
34.25,0.165626
34.5,0.16655
34.75,0.167117
35,0.140201
35.25,0.187885
35.5,0.188111
35.75,0.19762
36,0.165793
36.25,0.235876
36.5,0.199029
36.75,0.166574
37,0.206041
37.25,0.19337
37.5,0.181973
37.75,0.177261
38,0.167746
38.25,0.174412
38.5,0.177789
38.75,0.238157
39,0.181703
39.25,0.20106
39.5,0.203708
39.75,0.194025
40,0.19517
40.25,0.202073
40.5,0.168453
40.75,0.152215
41,0.198708
41.25,0.157165
41.5,0.184848
41.75,0.156092
42,0.179782
42.25,0.167299
42.5,0.119092
42.75,0.157888
43,0.135375
43.25,0.135851
43.5,0.155688
43.75,0.129747
44,0.112758
44.25,0.132392
44.5,0.115876
44.75,0.128876
45,0.170771
45.25,0.134156
45.5,0.104717
45.75,0.111804
46,0.141846
46.25,0.130483
46.5,0.135781
46.75,0.135742
47,0.119533
47.25,0.109379
47.5,0.089893
47.75,0.0687512
48,0.0597677
48.25,0.120206
48.5,0.0967898
48.75,0.105686
49,0.0818681
49.25,0.131499
49.5,0.104221
49.75,0.0881986
50,0.0765423
50.25,0.0565491
50.5,0.110031
50.75,0.0692646
51,0.0571345
51.25,0.0897167
51.5,0.104332
51.75,0.0796766
52,0.116165
52.25,0.061821
52.5,0.0548029
52.75,0.0869819
53,0.0343651
53.25,0.0730242
53.5,0.0272753
53.75,0.0645163
54,0.120295
54.25,0.0744771
54.5,0.0604644
54.75,0.036273
55,0.130367
55.25,0.0484403
55.5,0.0856999
55.75,0.0691621
56,0.0371372
56.25,0.0438173
56.5,0.113945
56.75,0.0488356
57,0.120162
57.25,0.0299746
57.5,0.0323277
57.75,0.0342674
58,0
58.25,0.0446707
58.5,0.0941739
58.75,0.0227463
59,0.0087681
59.25,0.095767
59.5,0.0156863
59.75,0.0178477
60,0.00842583
60.25,0.0642522
60.5,0.0361785
60.75,0.0403043
61,0.0768454
61.25,0.00149228
61.5,0
61.75,0.0083028
62,0.118905
62.25,0.302695
62.5,0.0144484
62.75,0
63,0.0307917
63.25,0
63.5,0
63.75,0.09829
64,0.107864
64.25,0.00556597
64.5,0.0107354
64.75,0.0330601
65,0
65.25,0
65.5,0.436951
65.75,0.07072
66,0.0073015
66.25,0
66.5,0.0145009
66.75,0.0751651
67,0.0268294
67.25,0.494649
67.5,0
67.75,0.0286399
68,0
68.25,0.000277336
68.5,0.216441
68.75,0.045862
69,0.158817
69.25,0.109151
69.5,0.00466363
69.75,0
70,0
70.25,0
70.5,0
70.75,0
71,0
71.25,0
71.5,0
71.75,0.0866396
72,0
72.25,0
72.5,0
72.75,0
73,0
73.25,-nan
73.5,0
73.75,0.00324356
74,-nan
74.25,0.00805019
74.5,0
74.75,0
75,0.0823619
75.25,0.973474
75.5,0
75.75,0
76,-nan
76.25,0.103964
76.5,0
76.75,0
77,0.999327
77.25,0
77.5,-nan
77.75,0
78,0
78.25,-nan
78.5,0
78.75,0
79,0
79.25,-nan
79.5,0
79.75,0
80,0
80.25,-nan
80.5,0
80.75,0
81,0
81.25,0
81.5,-nan
81.75,-nan
82,0.998271
82.25,-nan
82.5,0
82.75,-nan
83,-nan
83.25,-nan
83.5,-nan
83.75,0
84,0
84.25,-nan
84.5,-nan
84.75,-nan
85,0.998769
85.25,-nan
85.5,-nan
85.75,0
86,0
86.25,0
86.5,-nan
86.75,-nan
87,-nan
87.25,-nan
87.5,-nan
87.75,0
88,-nan
88.25,0
88.5,0
88.75,-nan
89,-nan
89.25,-nan
89.5,-nan
89.75,-nan
90,-nan
90.25,-nan
90.5,-nan
