Time,total_fraction_lambda_H
0,-nan
0.25,-nan
0.5,-nan
0.75,0.999989
1,0.999959
1.25,0.999665
1.5,0.940269
1.75,0.928685
2,0.869739
2.25,0.822231
2.5,0.411119
2.75,0.92045
3,0.933718
3.25,0.91472
3.5,0.83659
3.75,0.429395
4,0.779013
4.25,0.730272
4.5,0.911031
4.75,0.784485
5,0.802844
5.25,0.734159
5.5,0.690183
5.75,0.679403
6,0.904878
6.25,0.918951
6.5,0.893604
6.75,0.821198
7,0.96443
7.25,0.801201
7.5,0.44621
7.75,0.895619
8,0.81744
8.25,0.471059
8.5,0.714284
8.75,0.885719
9,0.776056
9.25,0.896194
9.5,0.859344
9.75,0.897137
10,0.955227
10.25,0.957461
10.5,0.926666
10.75,0.940062
11,0.961453
11.25,0.901058
11.5,0.874476
11.75,0.885367
12,0.945593
12.25,0.768133
12.5,0.894531
12.75,0.863118
13,0.886112
13.25,0.958077
13.5,0.956959
13.75,0.93749
14,0.930302
14.25,0.816456
14.5,0.799192
14.75,0.667349
15,0.895825
15.25,0.851901
15.5,0.892544
15.75,0.86869
16,0.84357
16.25,0.743484
16.5,0.867215
16.75,0.831414
17,0.793177
17.25,0.791343
17.5,0.887584
17.75,0.844148
18,0.832248
18.25,0.882247
18.5,0.896618
18.75,0.823348
19,0.907244
19.25,0.857942
19.5,0.895466
19.75,0.869087
20,0.799782
20.25,0.848218
20.5,0.79564
20.75,0.880276
21,0.892569
21.25,0.82161
21.5,0.884923
21.75,0.89308
22,0.883369
22.25,0.862411
22.5,0.877311
22.75,0.823314
23,0.882193
23.25,0.839863
23.5,0.87595
23.75,0.847021
24,0.840048
24.25,0.848812
24.5,0.838413
24.75,0.853301
25,0.841047
25.25,0.845643
25.5,0.841044
25.75,0.864327
26,0.850478
26.25,0.840547
26.5,0.826325
26.75,0.799576
27,0.833397
27.25,0.843431
27.5,0.835593
27.75,0.81365
28,0.828056
28.25,0.813623
28.5,0.83281
28.75,0.832218
29,0.829726
29.25,0.839409
29.5,0.787728
29.75,0.801298
30,0.824508
30.25,0.79347
30.5,0.83635
30.75,0.809733
31,0.820663
31.25,0.766938
31.5,0.807255
31.75,0.824372
32,0.784522
32.25,0.795692
32.5,0.811184
32.75,0.784002
33,0.822691
33.25,0.807541
33.5,0.794492
33.75,0.789642
34,0.793953
34.25,0.796444
34.5,0.798949
34.75,0.797103
35,0.826651
35.25,0.772158
35.5,0.76728
35.75,0.754971
36,0.796095
36.25,0.715796
36.5,0.751504
36.75,0.789688
37,0.746631
37.25,0.757314
37.5,0.767216
37.75,0.771935
38,0.783291
38.25,0.776423
38.5,0.770586
38.75,0.702146
39,0.766597
39.25,0.74233
39.5,0.736093
39.75,0.753628
40,0.749545
40.25,0.739483
40.5,0.776458
40.75,0.794219
41,0.738735
41.25,0.79212
41.5,0.75682
41.75,0.789816
42,0.760211
42.25,0.77831
42.5,0.835551
42.75,0.78194
43,0.803342
43.25,0.80388
43.5,0.778602
43.75,0.806171
44,0.833444
44.25,0.819667
44.5,0.831116
44.75,0.81715
45,0.758914
45.25,0.801796
45.5,0.830712
45.75,0.834172
46,0.795681
46.25,0.811905
46.5,0.80648
46.75,0.790866
47,0.820146
47.25,0.833363
47.5,0.850477
47.75,0.876759
48,0.888652
48.25,0.827394
48.5,0.837438
48.75,0.824482
49,0.863564
49.25,0.824802
49.5,0.837154
49.75,0.865197
50,0.87067
50.25,0.910702
50.5,0.853606
50.75,0.886772
51,0.90473
51.25,0.859364
51.5,0.840415
51.75,0.871471
52,0.832609
52.25,0.887862
52.5,0.917295
52.75,0.877681
53,0.92382
53.25,0.882127
53.5,0.932657
53.75,0.895928
54,0.832395
54.25,0.884759
54.5,0.902219
54.75,0.933745
55,0.815656
55.25,0.916198
55.5,0.87074
55.75,0.871696
56,0.902564
56.25,0.941344
56.5,0.857003
56.75,0.920949
57,0.839005
57.25,0.942388
57.5,0.949703
57.75,0.921125
58,0.970058
58.25,0.92135
58.5,0.886911
58.75,0.923915
59,0.974518
59.25,0.848887
59.5,0.967121
59.75,0.960101
60,0.977201
60.25,0.881995
60.5,0.9406
60.75,0.945853
61,0.890917
61.25,0.964738
61.5,0.969501
61.75,0.964351
62,0.833911
62.25,0.603827
62.5,0.963419
62.75,0.983101
63,0.91733
63.25,0.987596
63.5,0.977407
63.75,0.870153
64,0.853756
64.25,0.982314
64.5,0.971175
64.75,0.922943
65,0.984032
65.25,0.989375
65.5,0.552665
65.75,0.915819
66,0.981724
66.25,0.991404
66.5,0.975098
66.75,0.893063
67,0.965779
67.25,0.493366
67.5,0.991409
67.75,0.9652
68,0.996692
68.25,0.994187
68.5,0.778584
68.75,0.931123
69,0.838399
69.25,0.807625
69.5,0.986986
69.75,0
70,0
70.25,0
70.5,0.994403
70.75,0.984772
71,0.93199
71.25,0.997294
71.5,0.995659
71.75,0.905216
72,0.999514
72.25,0.996568
72.5,0.99506
72.75,0
73,0
73.25,-nan
73.5,0.986986
73.75,0.995807
74,-nan
74.25,0.990436
74.5,0
74.75,0.999817
75,0.916719
75.25,0
75.5,0
75.75,0.998196
76,-nan
76.25,0.895159
76.5,0.997469
76.75,0.999528
77,0
77.25,0
77.5,-nan
77.75,0.999864
78,0.998978
78.25,-nan
78.5,0
78.75,0.999968
79,0
79.25,-nan
79.5,0.999871
79.75,0.998259
80,0
80.25,-nan
80.5,0.999134
80.75,0.998953
81,0.998807
81.25,0.998577
81.5,-nan
81.75,-nan
82,0
82.25,-nan
82.5,0.999679
82.75,-nan
83,-nan
83.25,-nan
83.5,-nan
83.75,0.998651
84,0.999805
84.25,-nan
84.5,-nan
84.75,-nan
85,0
85.25,-nan
85.5,-nan
85.75,0
86,0
86.25,0.998402
86.5,-nan
86.75,-nan
87,-nan
87.25,-nan
87.5,-nan
87.75,0
88,-nan
88.25,0
88.5,0.998517
88.75,-nan
89,-nan
89.25,-nan
89.5,-nan
89.75,-nan
