wardIndex,wardNo,wardName,Employed,Unemployed,hd_flag
228,229,KRISHNA  NAGAR,10632.0,19119.0,0
229,230,GEETA COLONY,10687.0,21931.0,0
230,231,GHONDLI,22799.0,47160.0,0
231,232,ANARKALI,19549.0,39951.0,0
232,233,DHARAMPURA,6490.0,15214.0,0
233,234,GANDHI NAGAR,6831.0,13758.0,0
234,235,AZAD NAGAR,19966.0,42410.0,0
235,236,RAGHUBAR PURA,8152.0,16994.0,0
236,237,SHAHDARA,18049.0,36044.0,0
237,238,JHILMIL,9688.0,19457.0,0
238,239,VIVEK VIHAR,8357.0,15852.0,0
239,240,DILSHAD COLONY,8985.0,18537.0,0
240,241,DILSHAD GARDEN,8944.0,16334.0,0
241,242,NEW SEEMA PURI,9505.0,21359.0,0
242,243,NAND NAGRI,7955.0,19256.0,0
243,244,SUNDER NAGARI,10269.0,24050.0,0
244,245,DURGA PURI,9232.0,21134.0,0
245,246,ASHOK NAGAR,18613.0,42384.0,0
246,247,RAM NAGAR,9587.0,20137.0,0
247,248,WELCOME COLONY,18813.0,40989.0,0
248,249,CHAUHAN BANGER,16501.0,39883.0,0
249,250,JAFFRABAD,8908.0,20123.0,0
250,251,NEW USMANPUR,17786.0,40223.0,0
251,252,MAUJPUR,19489.0,45923.0,0
252,253,BHAJANPURA,16155.0,38521.0,0
253,254,BRAHAM PURI,19352.0,45452.0,0
254,255,GHONDA,17278.0,42403.0,0
255,256,YAMUNA VIHAR,18644.0,41295.0,0
256,257,SUBHASH MOHALLA,16170.0,40605.0,0
257,258,KARDAM PURI,21249.0,51107.0,0
258,259,JANTA COLONY,9698.0,21397.0,0
259,260,BABAR PUR,14548.0,34009.0,0
260,261,JIWANPUR,22557.0,57004.0,0
261,262,GOKALPUR,9390.0,23435.0,0
262,263,SABOLI,19853.0,51166.0,0
263,264,HARSH VIHAR,23850.0,54848.0,0
264,265,SHIV VIHAR,23251.0,58622.0,0
265,266,KARAWAL NAGAR EAST,17690.0,47874.0,0
266,267,NEHRU VIHAR,21485.0,59483.0,0
267,268,MUSTAFABAD,21008.0,59411.0,0
268,269,KHAJOORI KHAS,21122.0,55518.0,0
269,270,TUKHMIR PUR,12632.0,32713.0,0
270,271,KARAWAL NAGAR WEST,24320.0,61080.0,0
271,272,SADAT PUR GUJRAN,27869.0,69772.0,0
272,273,DELHI CANTT CHARGE 1,1531.0,3285.0,0
273,274,DELHI CANTT CHARGE 2,1050.0,2168.0,0
274,275,DELHI CANTT CHARGE 4,15496.0,18782.0,0
275,276,DELHI CANTT CHARGE 5,656.0,977.0,0
276,277,DELHI CANTT CHARGE 6,1568.0,3446.0,0
277,278,DELHI CANTT CHARGE 7,2385.0,4282.0,0
278,279,DELHI CANTT CHARGE 8,2644.0,4959.0,0
279,280,DELHI CANTT CHARGE 3,1766.0,2147.0,0
280,281,NDMC CHARGE 1,6422.0,7795.0,0
281,282,NDMC CHARGE 2,9513.0,15314.0,0
282,283,NDMC CHARGE 3,10205.0,16710.0,0
283,284,NDMC CHARGE 4,6404.0,7857.0,0
284,285,NDMC CHARGE 5,10798.0,12923.0,0
285,286,NDMC CHARGE 6,7732.0,11061.0,0
286,287,NDMC CHARGE 7,7790.0,11473.0,0
287,288,NDMC CHARGE 8,5790.0,7567.0,0
288,289,NDMC CHARGE 9,14463.0,20450.0,0
289,290,QADI PUR_HD Area,8259.5,19626.0,1
290,291,MALKAGANJ_HD Area,10941.5,19324.0,1
291,292,TIMAR PUR_HD Area,11795.0,23443.0,1
292,293,MUKHERJEE NAGAR_HD Area,9230.5,17177.0,1
293,294,G.T.B. NAGAR_HD Area,7548.5,13430.0,1
294,295,ADARASH  NAGAR_HD Area,8731.0,16629.5,1
295,296,SARAI PIPAL THALA_HD Area,7739.5,14054.5,1
296,297,JAHANGIRPURI-I_HD Area,7605.0,15896.0,1
297,298,SAMAYPUR BADLI_HD Area,9123.5,18750.0,1
298,299,BHALSWA JAHANGIR PUR – I_HD Area,14817.0,33446.0,1
299,300,BHALSWA JAHANGIR PUR – II_HD Area,10208.0,21402.0,1
300,301,POOTH KALAN_HD Area,15135.0,32866.0,1
301,302,SAHIBABAD DAULAT PUR_HD Area,13041.0,28826.0,1
302,303,NILOTHI_HD Area,13127.5,28205.5,1
303,304,NITHARI_HD Area,8822.0,22431.5,1
304,305,KIRARI SULEMAN NAGAR – I_HD Area,12915.0,32456.5,1
305,306,SULTANPURI  EAST_HD Area,9218.5,20730.5,1
306,307,MANGOL PURI  NORTH_HD Area,8633.0,19992.5,1
307,308,SULTANPUR MAJRA_HD Area,7827.0,18399.5,1
308,309,SULTANPURI  SOUTH_HD Area,6819.0,16071.0,1
309,310,PERAGHARHI_HD Area,7648.0,14427.0,1
310,311,NANGLOI EAST_HD Area,11022.0,25909.0,1
311,312,ROHINI SOUTH_HD Area,10819.0,20579.0,1
312,313,MANGOLPURI  EAST_HD Area,9685.5,20755.5,1
313,314,MANGOLPURI_HD Area,8322.0,19266.5,1
314,315,MANGOLPURI  WEST_HD Area,7973.5,18552.5,1
315,316,ROHINI NORTH_HD Area,13023.0,23767.0,1
316,317,PITAMPUR NORTH_HD Area,9700.0,18374.5,1
317,318,SHALIMAR BAGH NORTH_HD Area,10733.0,18958.5,1
318,319,SHALIMAR BAGH SOUTH_HD Area,8574.5,15010.5,1
319,320,PASCHIM VIHAR SOUTH_HD Area,10371.0,17265.5,1
320,321,PASCHIM VIHAR NORTH_HD Area,7927.0,13284.5,1
321,322,RANI BAGH_HD Area,11105.5,17065.0,1
322,323,SARASWATI VIHAR_HD Area,8134.0,13675.0,1
323,324,TRI NAGAR_HD Area,8332.5,17659.5,1
324,325,RAMPURA_HD Area,9877.5,17766.0,1
325,326,KOHAT ENCLAVE_HD Area,8913.0,16639.5,1
326,327,SHAKUR PUR_HD Area,8008.0,16495.0,1
327,328,NIMRI COLONY_HD Area,9718.0,18502.5,1
328,329,SAWAN PARK_HD Area,8320.5,15354.5,1
329,330,WAJIRPUR_HD Area,9095.0,16063.0,1
330,331,ASHOK VIHAR_HD Area,10550.5,16555.5,1
331,332,KAMLA NAGAR_HD Area,8208.5,14235.5,1
332,333,RANA PRATAP BAGH_HD Area,8282.5,15648.5,1
333,334,SANGAM PARK_HD Area,8668.5,16055.0,1
