Time,susceptible_lambda
0,0
0.25,0
0.5,219.197
0.75,467.966
1,562.239
1.25,519.386
1.5,605.233
1.75,626.931
2,728.808
2.25,710.011
2.5,682.418
2.75,763.931
3,768.593
3.25,733.331
3.5,674.077
3.75,829.9
4,802.313
4.25,869.033
4.5,955.636
4.75,1085.25
5,1072.5
5.25,1095.05
5.5,1346.97
5.75,1399.62
6,1402.93
6.25,1411.89
6.5,1438.89
6.75,1550.96
7,1716.19
7.25,1839.14
7.5,1923.75
7.75,2123.84
8,2140.38
8.25,2311.73
8.5,2333.9
8.75,2422.58
9,2684.16
9.25,2847.91
9.5,2945.42
9.75,3067.13
10,3191.49
10.25,3380.78
10.5,3515.71
10.75,3566.74
11,3824.89
11.25,4057.87
11.5,4661.47
11.75,4973.18
12,5258.67
12.25,5866.16
12.5,6206.8
12.75,6287.73
13,6635.15
13.25,6825.95
13.5,7228.74
13.75,7493.44
14,7868.96
14.25,8453.66
14.5,8694.73
14.75,8843.99
15,9610.16
15.25,10271.9
15.5,10500.5
15.75,11082.7
16,11834.3
16.25,12568.4
16.5,13115.9
16.75,13861.6
17,14765.5
17.25,15471.7
17.5,15483.1
17.75,16575
18,17043.7
18.25,18045.2
18.5,18526.9
18.75,19506.9
19,20750.7
19.25,21691.1
19.5,22415.4
19.75,23666.7
20,24178.4
20.25,26170.2
20.5,27670.7
20.75,28646.3
21,29418.2
21.25,29954.1
21.5,31053.4
21.75,32398.1
22,33266.8
22.25,34229.3
22.5,35493.5
22.75,37456.4
23,38786.6
23.25,39725.1
23.5,41024.1
23.75,42369.8
24,44795.9
24.25,45337.8
24.5,46273.9
24.75,47137.4
25,49202.8
25.25,50332.9
25.5,51198.7
25.75,52665.2
26,53526.2
26.25,54203.7
26.5,55143.7
26.75,56495.5
27,57059.6
27.25,57559.5
27.5,57963
27.75,58979.2
28,59157.6
28.25,59272.6
28.5,59513.8
28.75,59889.4
29,60184.8
29.25,59901.3
29.5,59354.2
29.75,58753.4
30,58373.9
30.25,57951.7
30.5,57461.1
30.75,56513.9
31,56119.3
31.25,55134.9
31.5,54229.5
31.75,53108.1
32,52106.6
32.25,50814.2
32.5,49921.8
32.75,48585.8
33,47004.7
33.25,46016.2
33.5,44737.5
33.75,43496.1
34,42265.4
34.25,40372.2
34.5,38506.7
34.75,37758.8
35,35949.9
35.25,34882.1
35.5,33141.8
35.75,32204.8
36,30764.5
36.25,29068.6
36.5,27351.9
36.75,26439.3
37,25436
37.25,24394.9
37.5,23506
37.75,22385.9
38,21170.6
38.25,20169
38.5,19258.2
38.75,18488.3
39,17446.2
39.25,16727.2
39.5,15767.3
39.75,15018.4
40,14416.2
40.25,13561.6
40.5,12922.9
40.75,12513.4
41,11796
41.25,11234.1
41.5,10780.8
41.75,10210
42,9735.61
42.25,9245.35
42.5,8651.2
42.75,8381.66
43,7883.69
43.25,7737.95
43.5,7340.85
43.75,7076.51
44,6484.85
44.25,6209.23
44.5,5935.47
44.75,5741.32
45,5593.24
45.25,5230.44
45.5,5121.35
45.75,4813.28
46,4527.52
46.25,4413.97
46.5,4176.78
46.75,3973.42
47,3777.75
47.25,3610.1
47.5,3390.76
47.75,3399.51
48,3179.42
48.25,3050.52
48.5,2826.18
48.75,2827.8
49,2706.03
49.25,2542.73
49.5,2406.01
49.75,2292.12
50,2183.72
50.25,2139.74
50.5,2078.95
50.75,1961.13
51,1855.42
51.25,1762.84
51.5,1756.49
51.75,1741.93
52,1644.57
52.25,1546.58
52.5,1442.65
52.75,1447.27
53,1356.12
53.25,1368.63
53.5,1313.14
53.75,1214.81
54,1122.85
54.25,1098.2
54.5,1034.18
54.75,1013.35
55,975.31
55.25,968.061
55.5,883.086
55.75,917.553
56,839.998
56.25,836.411
56.5,790.222
56.75,749.854
57,721.237
57.25,668.022
57.5,653.542
57.75,615.204
58,594.643
58.25,578.125
58.5,580.56
58.75,525.98
59,508.116
59.25,477.647
59.5,437.493
59.75,435.321
60,413.133
60.25,412.45
60.5,430.364
60.75,389.836
61,386.525
61.25,373.677
61.5,368.226
61.75,370.473
62,321.375
62.25,316.802
62.5,305.753
62.75,296.111
63,259.098
63.25,266.13
