Time,susceptible_lambda_C
85.25,4.26729
85.5,3.94366
85.75,3.7916
86,3.72385
86.25,3.85237
86.5,3.75578
86.75,3.72554
87,3.57292
87.25,3.32044
87.5,3.44045
87.75,3.25909
88,3.14107
88.25,3.06485
88.5,2.9928
88.75,2.94603
89,2.66612
89.25,2.42696
89.5,2.40934
89.75,2.18189
90,2.22045
90.25,2.06321
90.5,2.08466
90.75,2.0846
91,2.04119
91.25,1.91051
91.5,1.90778
91.75,1.84815
92,1.58747
92.25,1.43592
92.5,1.44276
92.75,1.37073
93,1.31027
93.25,1.2949
93.5,1.252
93.75,1.19356
94,1.18701
94.25,1.16335
94.5,1.15362
94.75,1.10928
95,0.957769
95.25,0.900123
95.5,0.878741
95.75,0.814884
96,0.767732
96.25,0.766359
96.5,0.762723
96.75,0.762134
97,0.748621
97.25,0.73483
97.5,0.734468
97.75,0.734468
98,0.687073
98.25,0.673143
98.5,0.761589
98.75,0.760838
99,0.692493
99.25,0.635346
99.5,0.635346
99.75,0.627863
100,0.366615
100.25,0.369937
100.5,0.370502
100.75,0.32944
101,0.321479
101.25,0.283109
101.5,0.283109
101.75,0.282992
102,0.276291
102.25,0.276291
102.5,0.302673
102.75,0.354548
103,0.390952
103.25,0.390951
103.5,0.415749
103.75,0.419872
104,0.372806
104.25,0.367314
104.5,0.367314
104.75,0.421894
105,0.421864
105.25,0.390809
105.5,0.391031
105.75,0.390805
106,0.383842
106.25,0.383858
106.5,0.449431
106.75,0.478986
107,0.478281
107.25,0.478255
107.5,0.478255
107.75,0.444457
108,0.444458
108.25,0.444622
108.5,0.438887
108.75,0.438479
109,0.435692
109.25,0.435692
109.5,0.457474
109.75,0.457474
110,0.435802
110.25,0.435802
110.5,0.435864
110.75,0.435678
111,0.435678
111.25,0.42232
111.5,0.340466
111.75,0.340466
112,0.340466
112.25,0.340466
112.5,0.333984
112.75,0.333984
113,0.333975
113.25,0.258905
113.5,0.258906
113.75,0.258906
114,0.258906
114.25,0.258906
114.5,0.126541
114.75,0.126541
115,0.126048
115.25,0.0277007
115.5,0.0276986
115.75,0.0276986
116,0.0276986
116.25,0.0276986
116.5,0.0277346
116.75,0.0276986
117,0.0276986
117.25,0.0276986
117.5,0.0353601
117.75,0.0353601
118,0.0353601
118.25,0.0353601
118.5,0.0353601
118.75,0.0353601
119,0.0353601
119.25,0.0276986
119.5,0.0276986
119.75,0.0276986
