Time,infections_by_new_infectives
96.5,0.0343248
96.75,0
97,0
97.25,0
97.5,0
97.75,0.450726
98,0
98.25,3.28763
98.5,0
98.75,2.3564
99,0
99.25,0
99.5,2.12023
99.75,0.569823
100,1.91068
100.25,0.0298078
100.5,0
100.75,1.42402
101,0
101.25,0
101.5,0
101.75,0.551977
102,0
102.25,2.13687
102.5,2.56438
102.75,0
103,0
103.25,4.45867
103.5,1.26592
103.75,0
104,0
104.25,0
104.5,1.64338
104.75,0
105,0
105.25,0.119302
105.5,0
105.75,0.127641
106,0.169439
106.25,1.46099
106.5,0
106.75,0.345828
107,0
107.25,0
107.5,1.24966
107.75,0.192436
108,0
108.25,0
108.5,0
108.75,0
109,0
109.25,0.348236
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,0.354827
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0.021956
116.5,0
116.75,0
117,0
117.25,0.0917399
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
