Time,cumulative_mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0.210613
1,0.268663
1.25,0.300416
1.5,0.324485
1.75,0.352298
2,0.354077
2.25,0.360584
2.5,0.384097
2.75,0.399159
3,0.40546
3.25,0.419602
3.5,0.41926
3.75,0.422684
4,0.429529
4.25,0.433907
4.5,0.445359
4.75,0.450985
5,0.454349
5.25,0.45967
5.5,0.463107
5.75,0.470329
6,0.476047
6.25,0.483549
6.5,0.486709
6.75,0.494886
7,0.50081
7.25,0.504783
7.5,0.509899
7.75,0.510455
8,0.512716
8.25,0.514629
8.5,0.516684
8.75,0.519058
9,0.521144
9.25,0.521755
9.5,0.522058
9.75,0.522127
10,0.52301
10.25,0.524099
10.5,0.524403
10.75,0.523562
11,0.524579
11.25,0.525027
11.5,0.524848
11.75,0.52356
12,0.524223
12.25,0.52577
12.5,0.526033
12.75,0.52791
13,0.528825
13.25,0.529917
13.5,0.530544
13.75,0.530075
14,0.529747
14.25,0.530277
14.5,0.5304
14.75,0.529938
15,0.529607
15.25,0.528816
15.5,0.528592
15.75,0.528273
16,0.526561
16.25,0.526121
16.5,0.525013
16.75,0.52433
17,0.524042
17.25,0.522582
17.5,0.521385
17.75,0.520307
18,0.519555
18.25,0.518556
18.5,0.517174
18.75,0.516807
19,0.516039
19.25,0.515576
19.5,0.514908
19.75,0.513871
20,0.512544
20.25,0.511657
20.5,0.510225
20.75,0.509191
21,0.508679
21.25,0.507571
21.5,0.507063
21.75,0.506624
22,0.505334
22.25,0.504457
22.5,0.503919
22.75,0.502929
23,0.502044
23.25,0.50101
23.5,0.500113
23.75,0.499114
24,0.498246
24.25,0.496965
24.5,0.495938
24.75,0.494843
25,0.494017
25.25,0.493241
25.5,0.492299
25.75,0.491341
26,0.490435
26.25,0.489652
26.5,0.489135
26.75,0.488347
27,0.487182
27.25,0.486217
27.5,0.485278
27.75,0.484123
28,0.482844
28.25,0.481657
28.5,0.480547
28.75,0.479351
29,0.47814
29.25,0.476933
29.5,0.475613
29.75,0.474595
30,0.473407
30.25,0.472118
30.5,0.470898
30.75,0.469567
31,0.468222
31.25,0.466964
31.5,0.465637
31.75,0.46424
32,0.462811
32.25,0.461399
32.5,0.45997
32.75,0.458407
33,0.456931
33.25,0.455383
33.5,0.4539
33.75,0.452484
34,0.450927
34.25,0.449546
34.5,0.448094
34.75,0.446593
35,0.44514
35.25,0.443761
35.5,0.442316
35.75,0.440896
36,0.439468
36.25,0.438147
36.5,0.436789
36.75,0.435543
37,0.434273
37.25,0.433004
37.5,0.431791
37.75,0.430615
38,0.42939
38.25,0.428235
38.5,0.427136
38.75,0.426111
39,0.425054
39.25,0.424022
39.5,0.42299
39.75,0.422049
40,0.421156
40.25,0.420192
40.5,0.419345
40.75,0.418501
41,0.417683
41.25,0.416902
41.5,0.41615
41.75,0.415415
42,0.414723
42.25,0.414054
42.5,0.413424
42.75,0.412801
43,0.412189
43.25,0.411649
43.5,0.411103
43.75,0.410608
44,0.410105
44.25,0.409601
44.5,0.409121
44.75,0.408677
45,0.408265
45.25,0.407848
45.5,0.407441
45.75,0.407046
46,0.406669
46.25,0.406325
46.5,0.405967
46.75,0.405654
47,0.405312
47.25,0.405038
47.5,0.404758
47.75,0.404488
48,0.404219
48.25,0.403958
48.5,0.403704
48.75,0.403476
49,0.403246
49.25,0.403039
49.5,0.402822
49.75,0.402634
50,0.402437
50.25,0.402256
50.5,0.402087
50.75,0.401914
51,0.401752
51.25,0.401609
51.5,0.401474
51.75,0.401346
52,0.401208
52.25,0.401069
52.5,0.400946
52.75,0.400826
53,0.400707
53.25,0.40059
53.5,0.40048
53.75,0.400368
54,0.400263
54.25,0.400163
54.5,0.400075
54.75,0.39999
55,0.399902
55.25,0.399822
55.5,0.399741
55.75,0.399661
56,0.39958
56.25,0.399516
56.5,0.399446
56.75,0.399375
57,0.399311
57.25,0.399258
57.5,0.399198
57.75,0.39914
58,0.399085
58.25,0.399038
58.5,0.398986
58.75,0.398935
59,0.398889
59.25,0.398845
59.5,0.39881
59.75,0.398764
60,0.398719
60.25,0.398692
60.5,0.398665
60.75,0.398627
61,0.398592
