Time,num_critical
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,1
9.5,1
9.75,1
10,1
10.25,1
10.5,1
10.75,1
11,1
11.25,1
11.5,1
11.75,2
12,2
12.25,2
12.5,2
12.75,2
13,3
13.25,3
13.5,4
13.75,4
14,5
14.25,5
14.5,6
14.75,6
15,7
15.25,7
15.5,7
15.75,7
16,8
16.25,8
16.5,8
16.75,8
17,8
17.25,7
17.5,7
17.75,8
18,9
18.25,9
18.5,11
18.75,12
19,12
19.25,13
19.5,13
19.75,13
20,14
20.25,15
20.5,16
20.75,16
21,16
21.25,19
21.5,19
21.75,21
22,22
22.25,22
22.5,22
22.75,24
23,23
23.25,25
23.5,28
23.75,31
24,31
24.25,33
24.5,34
24.75,36
25,36
25.25,42
25.5,43
25.75,47
26,47
26.25,48
26.5,51
26.75,54
27,62
27.25,63
27.5,71
27.75,73
28,74
28.25,79
28.5,79
28.75,83
29,89
29.25,89
29.5,94
29.75,99
30,105
30.25,112
30.5,120
30.75,125
31,128
31.25,136
31.5,144
31.75,146
32,151
32.25,164
32.5,171
32.75,178
33,191
33.25,196
33.5,206
33.75,212
34,225
34.25,246
34.5,255
34.75,268
35,274
35.25,295
35.5,304
35.75,319
36,347
36.25,368
36.5,391
36.75,398
37,403
37.25,433
37.5,451
37.75,466
38,487
38.25,510
38.5,534
38.75,562
39,594
39.25,617
39.5,632
39.75,659
40,691
40.25,704
40.5,731
40.75,764
41,788
41.25,817
41.5,847
41.75,876
42,893
42.25,918
42.5,940
42.75,967
43,998
43.25,1015
43.5,1055
43.75,1089
44,1119
44.25,1134
44.5,1151
44.75,1187
45,1226
45.25,1243
45.5,1265
45.75,1286
46,1311
46.25,1333
46.5,1356
46.75,1381
47,1392
47.25,1423
47.5,1445
47.75,1466
48,1488
48.25,1512
48.5,1526
48.75,1536
49,1548
49.25,1555
49.5,1577
49.75,1584
50,1602
50.25,1608
50.5,1614
50.75,1624
51,1630
51.25,1638
51.5,1637
51.75,1640
52,1627
52.25,1633
52.5,1648
52.75,1645
53,1631
53.25,1639
53.5,1647
53.75,1661
54,1643
54.25,1630
54.5,1623
54.75,1615
55,1610
55.25,1586
55.5,1575
55.75,1565
56,1538
56.25,1521
56.5,1507
56.75,1493
57,1477
57.25,1464
57.5,1428
57.75,1412
58,1392
58.25,1366
58.5,1360
58.75,1341
59,1326
59.25,1300
59.5,1269
59.75,1240
60,1221
60.25,1191
60.5,1154
60.75,1132
61,1109
61.25,1074
61.5,1045
61.75,1016
62,1001
62.25,979
62.5,959
62.75,930
63,907
63.25,885
63.5,863
63.75,838
64,820
64.25,794
64.5,776
64.75,757
65,740
65.25,718
65.5,707
65.75,688
66,668
66.25,647
66.5,618
66.75,592
67,565
67.25,550
67.5,540
67.75,524
68,503
68.25,499
68.5,490
68.75,477
69,468
69.25,449
69.5,436
69.75,415
70,403
70.25,393
70.5,365
70.75,349
71,338
71.25,325
71.5,317
71.75,302
72,292
72.25,289
72.5,274
72.75,259
73,250
73.25,247
73.5,235
73.75,228
74,222
74.25,217
74.5,215
74.75,213
75,211
75.25,210
75.5,199
75.75,194
76,188
76.25,176
76.5,167
76.75,166
77,162
77.25,161
77.5,152
77.75,148
78,141
78.25,136
78.5,138
78.75,132
79,126
79.25,122
79.5,117
79.75,119
80,118
80.25,114
80.5,114
80.75,111
81,105
81.25,97
81.5,93
81.75,90
82,87
82.25,88
82.5,84
82.75,78
83,71
83.25,65
83.5,62
83.75,58
84,59
84.25,57
84.5,57
84.75,50
85,50
85.25,47
85.5,44
85.75,41
86,40
86.25,38
86.5,36
86.75,37
87,36
87.25,37
87.5,36
87.75,32
88,30
88.25,28
88.5,26
88.75,26
89,27
89.25,26
89.5,26
89.75,24
90,24
90.25,23
90.5,22
90.75,22
91,23
91.25,24
91.5,23
91.75,22
92,20
92.25,20
92.5,20
92.75,19
93,18
93.25,19
93.5,21
93.75,22
94,21
94.25,21
94.5,20
94.75,18
95,18
95.25,16
95.5,15
95.75,14
96,12
96.25,12
96.5,12
96.75,11
97,9
97.25,9
97.5,9
97.75,9
98,9
98.25,8
98.5,8
98.75,7
99,8
99.25,7
99.5,7
99.75,7
100,8
100.25,8
100.5,7
100.75,7
101,7
101.25,7
101.5,5
101.75,4
102,4
102.25,4
102.5,4
102.75,4
103,4
103.25,4
103.5,4
103.75,4
104,4
104.25,4
104.5,4
104.75,4
105,4
105.25,4
105.5,4
105.75,4
106,4
106.25,4
106.5,4
106.75,4
107,3
107.25,3
107.5,3
107.75,3
108,2
108.25,2
108.5,2
108.75,2
109,2
109.25,2
109.5,2
109.75,2
110,2
110.25,2
110.5,2
110.75,2
111,2
111.25,2
111.5,2
111.75,2
112,2
112.25,2
112.5,2
112.75,2
113,2
113.25,2
113.5,2
113.75,2
114,2
114.25,2
114.5,2
114.75,2
115,1
115.25,1
115.5,1
115.75,1
116,1
116.25,1
116.5,1
116.75,1
117,1
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
