Time,daily_new_hospitalised
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,2
1.5,4
1.75,4
2,1
2.25,2
2.5,2
2.75,3
3,1
3.25,3
3.5,5
3.75,8
4,0
4.25,0
4.5,0
4.75,1
5,1
5.25,2
5.5,3
5.75,4
6,1
6.25,3
6.5,4
6.75,4
7,3
7.25,4
7.5,5
7.75,5
8,3
8.25,4
8.5,7
8.75,10
9,2
9.25,4
9.5,5
9.75,8
10,1
10.25,5
10.5,12
10.75,17
11,6
11.25,7
11.5,9
11.75,18
12,4
12.25,6
12.5,12
12.75,17
13,1
13.25,12
13.5,20
13.75,27
14,5
14.25,10
14.5,27
14.75,31
15,8
15.25,12
15.5,21
15.75,37
16,6
16.25,14
16.5,25
16.75,40
17,5
17.25,27
17.5,43
17.75,58
18,14
18.25,30
18.5,54
18.75,71
19,22
19.25,46
19.5,73
19.75,89
20,22
20.25,52
20.5,73
20.75,110
21,38
21.25,69
21.5,108
21.75,139
22,41
22.25,80
22.5,127
22.75,166
23,48
23.25,116
23.5,166
23.75,224
24,56
24.25,122
24.5,201
24.75,263
25,67
25.25,142
25.5,214
25.75,273
26,71
26.25,162
26.5,272
26.75,367
27,82
27.25,182
27.5,302
27.75,410
28,134
28.25,271
28.5,404
28.75,535
29,139
29.25,280
29.5,446
29.75,585
30,169
30.25,329
30.5,504
30.75,677
31,173
31.25,344
31.5,533
31.75,739
32,185
32.25,386
32.5,627
32.75,837
33,192
33.25,411
33.5,654
33.75,897
34,238
34.25,481
34.5,715
34.75,955
35,238
35.25,488
35.5,771
35.75,1028
36,291
36.25,530
36.5,815
36.75,1092
37,284
37.25,540
37.5,801
37.75,1079
38,270
38.25,555
38.5,844
38.75,1106
39,284
39.25,559
39.5,819
39.75,1087
40,283
40.25,546
40.5,796
40.75,1099
41,263
41.25,536
41.5,807
41.75,1083
42,267
42.25,509
42.5,755
42.75,1040
43,261
43.25,473
43.5,714
43.75,942
44,224
44.25,440
44.5,677
44.75,891
45,190
45.25,420
45.5,635
45.75,847
46,210
46.25,408
46.5,595
46.75,783
47,199
47.25,370
47.5,551
47.75,726
48,177
48.25,328
48.5,476
48.75,639
49,171
49.25,313
49.5,450
49.75,604
50,115
50.25,231
50.5,384
50.75,521
51,124
51.25,220
51.5,335
51.75,446
52,99
52.25,201
52.5,296
52.75,404
53,89
53.25,173
53.5,287
53.75,382
54,92
54.25,187
54.5,280
54.75,379
55,92
55.25,168
55.5,236
55.75,305
56,63
56.25,121
56.5,183
56.75,247
57,68
57.25,122
57.5,191
57.75,243
58,52
58.25,100
58.5,164
58.75,203
59,45
59.25,80
59.5,134
59.75,176
60,31
60.25,74
60.5,117
60.75,149
61,45
61.25,66
61.5,99
61.75,129
62,40
62.25,69
62.5,92
62.75,114
63,28
63.25,47
63.5,69
63.75,91
64,28
64.25,49
64.5,63
64.75,79
65,18
65.25,45
65.5,62
65.75,82
66,13
66.25,25
66.5,41
66.75,57
67,20
67.25,40
67.5,49
67.75,67
68,7
68.25,15
68.5,30
68.75,47
69,7
69.25,21
69.5,35
69.75,42
70,10
70.25,20
70.5,29
70.75,39
71,10
71.25,19
71.5,27
71.75,37
72,11
72.25,18
72.5,23
72.75,29
73,6
73.25,12
73.5,16
73.75,24
74,1
74.25,4
74.5,9
74.75,14
75,6
75.25,9
75.5,14
75.75,20
76,4
76.25,6
76.5,7
76.75,10
77,3
77.25,6
77.5,9
77.75,11
78,2
78.25,4
78.5,5
78.75,10
79,1
79.25,5
79.5,6
79.75,10
80,5
80.25,5
80.5,8
80.75,9
81,4
81.25,7
81.5,7
81.75,8
82,2
82.25,4
82.5,5
82.75,8
83,1
83.25,2
83.5,2
83.75,5
84,2
84.25,3
84.5,5
84.75,8
85,2
85.25,3
85.5,5
85.75,7
86,1
86.25,2
86.5,2
86.75,2
87,1
87.25,2
87.5,2
87.75,4
88,0
88.25,0
88.5,2
88.75,2
89,0
89.25,0
89.5,1
89.75,2
90,0
90.25,1
90.5,1
90.75,1
91,2
91.25,2
91.5,2
91.75,2
92,1
92.25,1
92.5,1
92.75,1
93,0
93.25,1
93.5,1
93.75,2
94,1
94.25,2
94.5,2
94.75,2
95,1
95.25,2
95.5,2
95.75,2
96,0
96.25,0
96.5,1
96.75,1
97,1
97.25,1
97.5,1
97.75,1
98,0
98.25,0
98.5,0
98.75,1
99,1
99.25,1
99.5,1
99.75,1
100,0
100.25,0
100.5,0
100.75,0
101,0
101.25,1
101.5,1
101.75,1
102,0
102.25,0
102.5,0
102.75,0
103,0
103.25,0
103.5,0
103.75,0
104,0
104.25,0
104.5,0
104.75,0
105,0
105.25,0
105.5,0
105.75,0
106,0
106.25,0
106.5,0
106.75,0
107,0
107.25,0
107.5,0
107.75,0
108,0
108.25,0
108.5,0
108.75,0
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,1
112.75,1
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
