Time,cumulative_mean_fraction_lambda_H
93.75,0.326201
94,0.326201
94.25,0.326201
94.5,0.326201
94.75,0.3262
95,0.3262
95.25,0.3262
95.5,0.3262
95.75,0.3262
96,0.3262
96.25,0.3262
96.5,0.3262
96.75,0.3262
97,0.3262
97.25,0.3262
97.5,0.3262
97.75,0.3262
98,0.326199
98.25,0.326199
98.5,0.326199
98.75,0.326199
99,0.326198
99.25,0.326198
99.5,0.326198
99.75,0.326197
100,0.326197
100.25,0.326197
100.5,0.326197
100.75,0.326197
101,0.326197
101.25,0.326197
101.5,0.326197
101.75,0.326197
102,0.326197
102.25,0.326197
102.5,0.326197
102.75,0.326197
103,0.326197
103.25,0.326197
103.5,0.326198
103.75,0.326198
104,0.326198
104.25,0.326198
104.5,0.326198
104.75,0.326198
105,0.3262
105.25,0.3262
105.5,0.3262
105.75,0.326201
106,0.326201
106.25,0.326201
106.5,0.326201
106.75,0.3262
107,0.3262
107.25,0.3262
107.5,0.3262
107.75,0.3262
108,0.3262
108.25,0.3262
108.5,0.3262
108.75,0.326201
109,0.326201
109.25,0.326201
109.5,0.326201
109.75,0.326201
110,0.3262
110.25,0.3262
110.5,0.3262
110.75,0.3262
111,0.3262
111.25,0.3262
111.5,0.3262
111.75,0.3262
112,0.3262
112.25,0.3262
112.5,0.3262
112.75,0.3262
113,0.3262
113.25,0.3262
113.5,0.3262
113.75,0.3262
114,0.3262
114.25,0.3262
114.5,0.3262
114.75,0.3262
115,0.3262
115.25,0.3262
115.5,0.3262
115.75,0.3262
116,0.3262
116.25,0.3262
116.5,0.3262
116.75,0.3262
117,0.3262
117.25,0.3262
117.5,0.3262
117.75,0.3262
118,0.3262
118.25,0.3262
118.5,0.3262
118.75,0.3262
119,0.3262
119.25,0.3262
119.5,0.3262
119.75,0.3262
