Time,cumulative_mean_fraction_lambda_C
82,0.276
82.25,0.276
82.5,0.276001
82.75,0.276003
83,0.276004
83.25,0.276004
83.5,0.276004
83.75,0.276006
84,0.276008
84.25,0.276008
84.5,0.276008
84.75,0.276008
85,0.276008
85.25,0.276009
85.5,0.27601
85.75,0.27601
86,0.276011
86.25,0.276011
86.5,0.276011
86.75,0.276013
87,0.276013
87.25,0.276013
87.5,0.276013
87.75,0.276014
88,0.276014
88.25,0.276014
88.5,0.276014
88.75,0.276014
89,0.276015
89.25,0.276016
89.5,0.276016
89.75,0.276016
90,0.276017
90.25,0.276017
90.5,0.276017
90.75,0.276017
91,0.276016
91.25,0.276017
91.5,0.276018
91.75,0.276018
92,0.276018
92.25,0.276019
92.5,0.27602
92.75,0.276019
93,0.276019
93.25,0.27602
93.5,0.27602
93.75,0.27602
94,0.276021
94.25,0.276021
94.5,0.276021
94.75,0.276022
95,0.276024
95.25,0.276024
95.5,0.276024
95.75,0.276024
96,0.276024
96.25,0.276024
96.5,0.276024
96.75,0.276024
97,0.276024
97.25,0.276024
97.5,0.276024
97.75,0.276024
98,0.276025
98.25,0.276026
98.5,0.276026
98.75,0.276026
99,0.276027
99.25,0.276028
99.5,0.276028
99.75,0.27603
100,0.27603
100.25,0.27603
100.5,0.27603
100.75,0.27603
101,0.27603
101.25,0.27603
101.5,0.27603
101.75,0.27603
102,0.27603
102.25,0.27603
102.5,0.27603
102.75,0.27603
103,0.27603
103.25,0.27603
103.5,0.27603
103.75,0.27603
104,0.27603
104.25,0.27603
104.5,0.27603
104.75,0.27603
105,0.276029
105.25,0.276029
105.5,0.276029
105.75,0.276029
106,0.276029
106.25,0.276029
106.5,0.276029
106.75,0.27603
107,0.27603
107.25,0.27603
107.5,0.27603
107.75,0.27603
108,0.27603
108.25,0.27603
108.5,0.27603
108.75,0.27603
109,0.27603
109.25,0.27603
109.5,0.27603
109.75,0.27603
110,0.276031
110.25,0.276031
110.5,0.276031
110.75,0.276031
111,0.276031
111.25,0.276031
111.5,0.276031
111.75,0.276031
112,0.276031
112.25,0.276031
112.5,0.276031
112.75,0.276031
113,0.276032
113.25,0.276032
113.5,0.276032
113.75,0.276032
114,0.276032
114.25,0.276032
114.5,0.276032
114.75,0.276032
115,0.276032
115.25,0.276032
115.5,0.276032
115.75,0.276032
116,0.276032
116.25,0.276032
116.5,0.276032
116.75,0.276032
117,0.276032
117.25,0.276032
117.5,0.276032
117.75,0.276032
118,0.276032
118.25,0.276032
118.5,0.276032
118.75,0.276032
119,0.276032
119.25,0.276032
119.5,0.276032
119.75,0.276032
