Time,mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0.210613
1,0.301473
1.25,0.332169
1.5,0.395218
1.75,0.43488
2,0.360634
2.25,0.388485
2.5,0.488041
2.75,0.49373
3,0.445942
3.25,0.529508
3.5,0.416135
3.75,0.458072
4,0.489586
4.25,0.484477
4.5,0.558805
4.75,0.517726
5,0.489545
5.25,0.519254
5.5,0.504706
5.75,0.558526
6,0.541095
6.25,0.573895
6.5,0.528166
6.75,0.6107
7,0.577612
7.25,0.560982
7.5,0.577006
7.75,0.517995
8,0.54399
8.25,0.541571
8.5,0.544005
8.75,0.554671
9,0.552518
9.25,0.530539
9.5,0.526618
9.75,0.523187
10,0.537199
10.25,0.541195
10.5,0.529355
10.75,0.509908
11,0.541847
11.25,0.533177
11.5,0.521699
11.75,0.503452
12,0.534045
12.25,0.551428
12.5,0.530104
12.75,0.555667
13,0.543456
13.25,0.547316
13.5,0.540551
13.75,0.522355
14,0.524199
14.25,0.539488
14.5,0.5326
14.75,0.521927
15,0.523777
15.25,0.514704
15.5,0.524648
15.75,0.522368
16,0.495905
16.25,0.518112
16.5,0.505579
16.75,0.512033
17,0.519011
17.25,0.496448
17.5,0.500101
17.75,0.499824
18,0.505631
18.25,0.499811
18.5,0.49102
18.75,0.509709
19,0.501215
19.25,0.506763
19.5,0.501875
19.75,0.493799
20,0.486521
20.25,0.494074
20.5,0.482102
20.75,0.488501
21,0.498635
21.25,0.485557
21.5,0.496817
21.75,0.497274
22,0.477914
22.25,0.485852
22.5,0.492014
22.75,0.480816
23,0.482485
23.25,0.478061
23.5,0.479763
23.75,0.476573
24,0.47811
24.25,0.467343
24.5,0.471998
24.75,0.468842
25,0.473977
25.25,0.474156
25.5,0.468857
25.75,0.466806
26,0.466797
26.25,0.469241
26.5,0.475098
26.75,0.466733
27,0.454814
27.25,0.458557
27.5,0.457246
27.75,0.449511
28,0.443432
28.25,0.444486
28.5,0.444094
28.75,0.439464
29,0.436811
29.25,0.434206
29.5,0.428295
29.75,0.436156
30,0.427176
30.25,0.420611
30.5,0.4198
30.75,0.412826
31,0.407572
31.25,0.408522
31.5,0.402261
31.75,0.395086
32,0.387104
32.25,0.38408
32.5,0.380306
32.75,0.368233
33,0.36624
33.25,0.35541
33.5,0.351626
33.75,0.353377
34,0.336275
34.25,0.344166
34.5,0.331304
34.75,0.317728
35,0.316923
35.25,0.311917
35.5,0.301266
35.75,0.29147
36,0.283314
36.25,0.284349
36.5,0.272926
36.75,0.274552
37,0.26286
37.25,0.250828
37.5,0.251353
37.75,0.241073
38,0.22815
38.25,0.221564
38.5,0.222871
38.75,0.221295
39,0.203582
39.25,0.198741
39.5,0.192924
39.75,0.195325
40,0.19902
40.25,0.167722
40.5,0.179108
40.75,0.159718
41,0.163149
41.25,0.159658
41.5,0.153077
41.75,0.142224
42,0.152267
42.25,0.142452
42.5,0.145731
42.75,0.126023
43,0.127565
43.25,0.13354
43.5,0.12575
43.75,0.134725
44,0.123239
44.25,0.111432
44.5,0.10448
44.75,0.112703
45,0.120508
45.25,0.10529
45.5,0.0951351
45.75,0.08499
46,0.0898792
46.25,0.0935915
46.5,0.0849006
46.75,0.0999458
47,0.0760385
47.25,0.098301
47.5,0.0856818
47.75,0.079832
48,0.0926407
48.25,0.071768
48.5,0.0774038
48.75,0.0701595
49,0.0738533
49.25,0.0845513
49.5,0.0493397
49.75,0.0783797
50,0.0698606
50.25,0.0733385
50.5,0.074029
50.75,0.0744553
51,0.087102
51.25,0.0780814
51.5,0.0768533
51.75,0.0834898
52,0.0598338
52.25,0.0447831
52.5,0.0595881
52.75,0.0730946
53,0.0725209
53.25,0.0409451
53.5,0.0549812
53.75,0.0694555
54,0.0625521
54.25,0.0671245
54.5,0.0657479
54.75,0.0584644
55,0.0561934
55.25,0.048059
55.5,0.0438066
55.75,0.036535
56,0.0295422
56.25,0.0516181
56.5,0.0497745
56.75,0.0458069
57,0.0489126
57.25,0.0888394
57.5,0.0427602
57.75,0.0496357
58,0.0554203
58.25,0.062465
58.5,0.0811342
58.75,0.051438
59,0.0446002
59.25,0.0343272
59.5,0.065578
59.75,0.0377815
