Time,daily_new_symptomatic
0,0
0.25,0
0.5,39
0.75,83
1,52
1.25,96
1.5,145
1.75,198
2,57
2.25,101
2.5,138
2.75,184
3,46
3.25,91
3.5,133
3.75,174
4,50
4.25,108
4.5,154
4.75,205
5,64
5.25,135
5.5,200
5.75,261
6,77
6.25,156
6.5,235
6.75,316
7,87
7.25,185
7.5,281
7.75,405
8,120
8.25,246
8.5,397
8.75,534
9,169
9.25,318
9.5,472
9.75,627
10,160
10.25,356
10.5,555
10.75,783
11,226
11.25,477
11.5,741
11.75,1030
12,324
12.25,615
12.5,953
12.75,1297
13,365
13.25,773
13.5,1166
13.75,1623
14,413
14.25,930
14.5,1425
14.75,1971
15,590
15.25,1176
15.5,1802
15.75,2452
16,727
16.25,1405
16.5,2188
16.75,3024
17,851
17.25,1751
17.5,2699
17.75,3736
18,1058
18.25,2201
18.5,3365
18.75,4614
19,1286
19.25,2713
19.5,4154
19.75,5709
20,1570
20.25,3335
20.5,5079
20.75,6962
21,1891
21.25,3970
21.5,6094
21.75,8306
22,2334
22.25,4771
22.5,7382
22.75,10045
23,2819
23.25,5688
23.5,8738
23.75,11928
24,3334
24.25,6808
24.5,10445
24.75,14105
25,3890
25.25,8047
25.5,12191
25.75,16528
26,4525
26.25,9098
26.5,13994
26.75,19007
27,5157
27.25,10439
27.5,15963
27.75,21539
28,5889
28.25,11941
28.5,18238
28.75,24491
29,6500
29.25,13221
29.5,20016
29.75,26954
30,7181
30.25,14566
30.5,22014
30.75,29455
31,7739
31.25,15401
31.5,23177
31.75,31025
32,7870
32.25,15922
32.5,24021
32.75,32143
33,8122
33.25,16436
33.5,24738
33.75,33098
34,8203
34.25,16511
34.5,24683
34.75,32872
35,8148
35.25,16169
35.5,24254
35.75,32135
36,7787
36.25,15533
36.5,22947
36.75,30411
37,7264
37.25,14505
37.5,21609
37.75,28679
38,6825
38.25,13325
38.5,19698
38.75,25967
39,6303
39.25,12425
39.5,18278
39.75,24126
40,5599
40.25,11045
40.5,16257
40.75,21292
41,5038
41.25,9741
41.5,14282
41.75,18696
42,4391
42.25,8437
42.5,12244
42.75,16131
43,3736
43.25,7481
43.5,10807
43.75,14122
44,3021
44.25,6076
44.5,8984
44.75,11849
45,2668
45.25,5275
45.5,7753
45.75,10179
46,2300
46.25,4532
46.5,6609
46.75,8619
47,1810
47.25,3705
47.5,5444
47.75,7060
48,1646
48.25,3220
48.5,4716
48.75,6181
49,1389
49.25,2659
49.5,3905
49.75,5098
50,1082
50.25,2157
50.5,3174
50.75,4108
51,907
51.25,1797
51.5,2665
51.75,3498
52,746
52.25,1542
52.5,2312
52.75,3017
53,669
53.25,1282
53.5,1934
53.75,2516
54,582
54.25,1049
54.5,1586
54.75,2064
55,425
55.25,885
55.5,1326
55.75,1727
56,405
56.25,821
56.5,1237
56.75,1557
57,338
57.25,650
57.5,942
57.75,1243
58,273
58.25,558
58.5,816
58.75,1046
59,240
59.25,438
59.5,641
59.75,871
60,231
60.25,410
60.5,600
60.75,769
61,157
61.25,321
61.5,486
61.75,633
62,147
62.25,291
62.5,401
62.75,519
63,122
63.25,258
63.5,378
63.75,486
64,89
64.25,184
64.5,281
64.75,358
65,88
65.25,171
65.5,245
65.75,325
66,50
66.25,130
66.5,202
66.75,260
67,54
67.25,105
67.5,160
67.75,220
68,63
68.25,110
68.5,159
68.75,199
69,45
69.25,100
69.5,132
69.75,167
70,37
70.25,72
70.5,98
70.75,131
71,31
71.25,69
71.5,111
71.75,144
72,26
72.25,51
72.5,73
72.75,96
73,22
73.25,42
73.5,58
73.75,85
74,24
74.25,36
74.5,55
74.75,73
75,14
75.25,33
75.5,46
75.75,57
76,8
76.25,25
76.5,39
76.75,56
77,19
77.25,28
77.5,41
77.75,50
78,16
78.25,29
78.5,37
78.75,46
79,6
79.25,11
79.5,25
79.75,37
80,3
80.25,10
80.5,22
80.75,34
81,12
81.25,18
81.5,23
81.75,30
82,7
82.25,12
82.5,17
82.75,23
83,5
83.25,7
83.5,11
83.75,13
84,3
84.25,11
84.5,15
84.75,20
85,3
85.25,4
85.5,5
85.75,6
86,0
86.25,4
86.5,5
86.75,9
87,4
