Time,daily_new_presymptomatic
0,0
0.25,118
0.5,211
0.75,307
1,64
1.25,137
1.5,212
1.75,282
2,56
2.25,113
2.5,172
2.75,239
3,59
3.25,124
3.5,192
3.75,271
4,79
4.25,169
4.5,252
4.75,339
5,93
5.25,207
5.5,332
5.75,454
6,114
6.25,242
6.5,373
6.75,521
7,153
7.25,325
7.5,513
7.75,717
8,209
8.25,401
8.5,611
8.75,849
9,257
9.25,510
9.5,767
9.75,1043
10,300
10.25,647
10.5,980
10.75,1360
11,405
11.25,828
11.5,1317
11.75,1791
12,512
12.25,1057
12.5,1580
12.75,2198
13,608
13.25,1269
13.5,1964
13.75,2687
14,761
14.25,1556
14.5,2402
14.75,3315
15,947
15.25,1946
15.5,3030
15.75,4173
16,1163
16.25,2429
16.5,3715
16.75,5058
17,1466
17.25,2946
17.5,4554
17.75,6273
18,1783
18.25,3640
18.5,5632
18.75,7718
19,2206
19.25,4475
19.5,6997
19.75,9500
20,2783
20.25,5632
20.5,8603
20.75,11581
21,3160
21.25,6508
21.5,10075
21.75,13761
22,3782
22.25,7821
22.5,12007
22.75,16393
23,4545
23.25,9274
23.5,14303
23.75,19579
24,5426
24.25,11052
24.5,16881
24.75,23080
25,6476
25.25,12839
25.5,19546
25.75,26684
26,7155
26.25,14724
26.5,22588
26.75,30579
27,8037
27.25,16554
27.5,25395
27.75,34467
28,9134
28.25,18637
28.5,28527
28.75,38496
29,10113
29.25,20518
29.5,31172
29.75,42058
30,11203
30.25,22529
30.5,33898
30.75,45471
31,11666
31.25,23482
31.5,35489
31.75,47480
32,12146
32.25,24518
32.5,36614
32.75,48762
33,12441
33.25,24934
33.5,37376
33.75,49731
34,12315
34.25,24521
34.5,36813
34.75,48784
35,11906
35.25,23703
35.5,35304
35.75,46753
36,11279
36.25,22254
36.5,33284
36.75,44102
37,10626
37.25,20992
37.5,31108
37.75,41005
38,9600
38.25,19108
38.5,28358
38.75,37233
39,8821
39.25,17279
39.5,25811
39.75,33948
40,7626
40.25,14975
40.5,22321
40.75,29422
41,6741
41.25,13224
41.5,19572
41.75,25693
42,5778
42.25,11475
42.5,17066
42.75,22515
43,5102
43.25,9899
43.5,14636
43.75,19136
44,4393
44.25,8495
44.5,12423
44.75,16247
45,3673
45.25,7186
45.5,10629
45.75,13895
46,3085
46.25,6016
46.5,8833
46.75,11450
47,2638
47.25,5119
47.5,7503
47.75,9792
48,2213
48.25,4289
48.5,6309
48.75,8208
49,1767
49.25,3507
49.5,5117
49.75,6716
50,1537
50.25,2982
50.5,4317
50.75,5655
51,1239
51.25,2465
51.5,3620
51.75,4700
52,1091
52.25,2136
52.5,3172
52.75,4063
53,927
53.25,1837
53.5,2676
53.75,3425
54,719
54.25,1482
54.5,2127
54.75,2715
55,685
55.25,1293
55.5,1910
55.75,2473
56,574
56.25,1085
56.5,1580
56.75,2079
57,454
57.25,890
57.5,1264
57.75,1660
58,399
58.25,763
58.5,1110
58.75,1434
59,305
59.25,610
59.5,909
59.75,1253
60,247
60.25,536
60.5,785
60.75,1014
61,251
61.25,465
61.5,689
