Time,susceptible_lambda_H
0,0
0.25,0
0.5,152.544
0.75,311.862
1,335.639
1.25,277.168
1.5,303.765
1.75,301.394
2,339.65
2.25,307.347
2.5,254.791
2.75,322.796
3,293.521
3.25,293.253
3.5,244.455
3.75,307.728
4,250.691
4.25,279.917
4.5,314.437
4.75,373.523
5,328.181
5.25,324.075
5.5,438.809
5.75,440.734
6,391.293
6.25,352.211
6.5,329.765
6.75,399.792
7,492.175
7.25,526.846
7.5,578.853
7.75,682.281
8,618.491
8.25,698.953
8.5,670.179
8.75,696.777
9,858.665
9.25,938.212
9.5,928.414
9.75,950.301
10,970.695
10.25,1038.21
10.5,1086.33
10.75,1029.3
11,1186.8
11.25,1253.02
11.5,1519.44
11.75,1573.01
12,1621.3
12.25,1848.74
12.5,1883.55
12.75,1865.67
13,1972.27
13.25,2089.54
13.5,2298.23
13.75,2366.5
14,2415.13
14.25,2638.52
14.5,2730.71
14.75,2719.38
15,3099.92
15.25,3364.23
15.5,3277.66
15.75,3570.26
16,3929.37
16.25,4145.7
16.5,4273.48
16.75,4538.98
17,4863.45
17.25,5168.5
17.5,4964.07
17.75,5493.96
18,5576.25
18.25,6024.83
18.5,6031.63
18.75,6431.03
19,6837.59
19.25,7164.5
19.5,7286.06
19.75,7817.69
20,7884.47
20.25,9006.41
20.5,9558.26
20.75,9628.34
21,9855.7
21.25,9769.8
21.5,10233.9
21.75,11062.2
22,11194.4
22.25,11388.6
22.5,11833
22.75,12762.9
23,13321.1
23.25,13661.3
23.5,14045.9
23.75,14460.8
24,15535
24.25,15470.1
24.5,15568
24.75,15816.4
25,16857.9
25.25,17158.2
25.5,17216.8
25.75,17823
26,18139
26.25,18390.4
26.5,18901.2
26.75,19625.6
27,19759.5
27.25,20151.7
27.5,20412
27.75,21050.4
28,20941.1
28.25,21087.9
28.5,21188.9
28.75,21411.8
29,21656.8
29.25,21409.3
29.5,21227
29.75,20897.1
30,20875.9
30.25,20810
30.5,20779.5
30.75,20483.6
31,20558.6
31.25,20227.6
31.5,20160.4
31.75,19874.3
32,19695.3
32.25,19285
32.5,19164.2
32.75,18711.2
33,18116.9
33.25,17969.6
33.5,17626.4
33.75,17349.4
34,17036.7
34.25,16084.8
34.5,15257.8
34.75,15436.5
35,14631
35.25,14445.7
35.5,13647.7
35.75,13512.1
36,12929.7
36.25,12043.2
36.5,11201.7
36.75,11084.2
37,10828.6
37.25,10444.9
37.5,10261.1
37.75,9791.01
38,9182.69
38.25,8738.15
38.5,8437.64
38.75,8166.92
39,7637.53
39.25,7383.73
39.5,6953.17
39.75,6612.5
40,6498.71
40.25,6022.26
40.5,5749.03
40.75,5666.23
41,5242.2
41.25,5023.38
41.5,4819.96
41.75,4556.75
42,4355.19
42.25,4114.21
42.5,3808.42
42.75,3785.11
43,3504.62
43.25,3554.5
43.5,3345.76
43.75,3283.46
44,2886.31
44.25,2784.94
44.5,2664.24
44.75,2615.18
45,2603.68
45.25,2374.69
45.5,2389.85
45.75,2178.72
46,2018.82
46.25,2003.15
46.5,1866.58
46.75,1773.57
47,1679.62
47.25,1598.23
47.5,1463.77
47.75,1557.7
48,1418.71
48.25,1349.23
48.5,1197.81
48.75,1266.22
49,1212.24
49.25,1111.85
49.5,1037.11
49.75,985.63
50,922.613
50.25,918.716
50.5,900.264
50.75,833.956
51,779.755
51.25,738.288
51.5,769.606
51.75,791.639
52,733.962
52.25,670.463
52.5,593.36
52.75,636.328
53,581.219
53.25,618.03
53.5,591.587
53.75,522.186
54,465.486
54.25,466.137
54.5,432.143
54.75,433.897
55,421.706
55.25,429.702
55.5,367.649
55.75,417.69
56,357.784
56.25,376.969
56.5,350.998
56.75,327.488
57,316.265
57.25,280.219
57.5,281.946
57.75,255.547
58,252.675
58.25,248.121
58.5,265.009
58.75,222.557
59,218.178
59.25,199.615
59.5,170.142
59.75,177.958
60,163.762
60.25,172.605
60.5,195.874
60.75,162.116
61,167.661
61.25,161.566
61.5,164.884
61.75,173.73
62,131.696
62.25,136.764
62.5,128.908
62.75,130.674
63,99.3994
63.25,113.558
63.5,128.239
63.75,97.7578
64,85.9905
64.25,82.254
64.5,84.2077
