Time,num_cumulative_hospitalizations
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,2
1.5,4
1.75,4
2,5
2.25,6
2.5,6
2.75,7
3,8
3.25,10
3.5,12
3.75,15
4,15
4.25,15
4.5,15
4.75,16
5,17
5.25,18
5.5,19
5.75,20
6,21
6.25,23
6.5,24
6.75,24
7,27
7.25,28
7.5,29
7.75,29
8,32
8.25,33
8.5,36
8.75,39
9,41
9.25,43
9.5,44
9.75,47
10,48
10.25,52
10.5,59
10.75,64
11,70
11.25,71
11.5,73
11.75,82
12,86
12.25,88
12.5,94
12.75,99
13,100
13.25,111
13.5,119
13.75,126
14,131
14.25,136
14.5,153
14.75,157
15,165
15.25,169
15.5,178
15.75,194
16,200
16.25,208
16.5,219
16.75,234
17,239
17.25,261
17.5,277
17.75,292
18,306
18.25,322
18.5,346
18.75,363
19,385
19.25,409
19.5,436
19.75,452
20,474
20.25,504
20.5,525
20.75,562
21,600
21.25,631
21.5,670
21.75,701
22,742
22.25,781
22.5,828
22.75,867
23,915
23.25,983
23.5,1033
23.75,1091
24,1147
24.25,1213
24.5,1292
24.75,1354
25,1421
25.25,1496
25.5,1568
25.75,1627
26,1698
26.25,1789
26.5,1899
26.75,1994
27,2076
27.25,2176
27.5,2296
27.75,2404
28,2538
28.25,2675
28.5,2808
28.75,2939
29,3078
29.25,3219
29.5,3385
29.75,3524
30,3693
30.25,3853
30.5,4028
30.75,4201
31,4374
31.25,4545
31.5,4734
31.75,4940
32,5125
32.25,5326
32.5,5567
32.75,5777
33,5969
33.25,6188
33.5,6431
33.75,6674
34,6912
34.25,7155
34.5,7389
34.75,7629
35,7867
35.25,8117
35.5,8400
35.75,8657
36,8948
36.25,9187
36.5,9472
36.75,9749
37,10033
37.25,10289
37.5,10550
37.75,10828
38,11098
38.25,11383
38.5,11672
38.75,11934
39,12218
39.25,12493
39.5,12753
39.75,13021
40,13304
40.25,13567
40.5,13817
40.75,14120
41,14383
41.25,14656
41.5,14927
41.75,15203
42,15470
42.25,15712
42.5,15958
42.75,16243
43,16504
43.25,16716
43.5,16957
43.75,17185
44,17409
44.25,17625
44.5,17862
44.75,18076
45,18266
45.25,18496
45.5,18711
45.75,18923
46,19133
46.25,19331
46.5,19518
46.75,19706
47,19905
47.25,20076
47.5,20257
47.75,20432
48,20609
48.25,20760
48.5,20908
48.75,21071
49,21242
49.25,21384
49.5,21521
49.75,21675
50,21790
50.25,21906
50.5,22059
50.75,22196
51,22320
51.25,22416
51.5,22531
51.75,22642
52,22741
52.25,22843
52.5,22938
52.75,23046
53,23135
53.25,23219
53.5,23333
53.75,23428
54,23520
54.25,23615
54.5,23708
54.75,23807
55,23899
55.25,23975
55.5,24043
55.75,24112
56,24175
56.25,24233
56.5,24295
56.75,24359
57,24427
57.25,24481
57.5,24550
57.75,24602
58,24654
58.25,24702
58.5,24766
58.75,24805
59,24850
59.25,24885
59.5,24939
59.75,24981
60,25012
60.25,25055
60.5,25098
60.75,25130
61,25175
61.25,25196
61.5,25229
61.75,25259
62,25299
62.25,25328
62.5,25351
62.75,25373
63,25401
63.25,25420
63.5,25442
63.75,25464
64,25492
64.25,25513
64.5,25527
64.75,25543
65,25561
65.25,25588
65.5,25605
65.75,25625
66,25638
66.25,25650
66.5,25666
66.75,25682
67,25702
67.25,25722
67.5,25731
67.75,25749
68,25756
68.25,25764
68.5,25779
68.75,25796
69,25803
69.25,25817
69.5,25831
69.75,25838
70,25848
70.25,25858
70.5,25867
70.75,25877
71,25887
71.25,25896
71.5,25904
71.75,25914
72,25925
72.25,25932
72.5,25937
72.75,25943
73,25949
73.25,25955
73.5,25959
73.75,25967
74,25968
74.25,25971
74.5,25976
74.75,25981
75,25987
75.25,25990
75.5,25995
75.75,26001
76,26005
76.25,26007
76.5,26008
76.75,26011
77,26014
77.25,26017
77.5,26020
77.75,26022
78,26024
78.25,26026
78.5,26027
78.75,26032
79,26033
79.25,26037
79.5,26038
79.75,26042
80,26047
80.25,26047
80.5,26050
80.75,26051
81,26055
81.25,26058
81.5,26058
81.75,26059
82,26061
82.25,26063
82.5,26064
82.75,26067
83,26068
83.25,26069
83.5,26069
