Time,susceptible_lambda_W
0,0
0.25,0
0.5,45.8788
0.75,112.31
1,165.312
1.25,175.527
1.5,221.082
1.75,236.429
2,290.329
2.25,298.768
2.5,320.971
2.75,324.948
3,352.259
3.25,312.375
3.5,307.426
3.75,382.084
4,403.479
4.25,426.366
4.5,471.991
4.75,524.156
5,549.252
5.25,574.748
5.5,678.136
5.75,707.92
6,737.242
6.25,767.408
6.5,799.621
6.75,826.227
7,878.372
7.25,945.931
7.5,962.295
7.75,1034.56
8,1098.71
8.25,1178.05
8.5,1216.88
8.75,1258.83
9,1329.62
9.25,1396.38
9.5,1488.13
9.75,1561.66
10,1623.93
10.25,1707.87
10.5,1756.19
10.75,1846.48
11,1908.53
11.25,2030.3
11.5,2299.74
11.75,2498.85
12,2696.31
12.25,2992.28
12.5,3219.86
12.75,3262.47
13,3424.67
13.25,3475.66
13.5,3623.38
13.75,3756.17
14,3993.79
14.25,4263.26
14.5,4367.41
14.75,4452.72
15,4722.39
15.25,4990.15
15.5,5227.99
15.75,5401.05
16,5662.65
16.25,6056.56
16.5,6339.38
16.75,6692.2
17,7109.99
17.25,7324.43
17.5,7449.62
17.75,7833.07
18,8094.32
18.25,8446.17
18.5,8790.04
18.75,9191.8
19,9836.33
19.25,10239.6
19.5,10632.4
19.75,11108.5
20,11417.7
20.25,11947.2
20.5,12614.8
20.75,13238.7
21,13593.5
21.25,14007.1
21.5,14428
21.75,14684.7
22,15174.2
22.25,15691.3
22.5,16202.3
22.75,16908.5
23,17452.5
23.25,17820.5
23.5,18405.1
23.75,19021.5
24,19914.9
24.25,20269.6
24.5,20819.7
24.75,21193.5
25,21847.6
25.25,22303.4
25.5,22782.9
25.75,23299.3
26,23603.8
26.25,23851.1
26.5,24067.5
26.75,24429.6
27,24599.9
27.25,24494.2
27.5,24497.6
27.75,24692.5
28,24765.8
28.25,24624.5
28.5,24606.6
28.75,24658.6
29,24566.3
29.25,24472.6
29.5,24115.1
29.75,23791.2
30,23381.1
30.25,23021.1
30.5,22605.8
30.75,22018
31,21573.7
31.25,21024.6
31.5,20283.6
31.75,19580.4
32,18917.9
32.25,18169.9
32.5,17505.7
32.75,16831.9
33,16086.3
33.25,15423
33.5,14729.9
33.75,14018.4
34,13350.5
34.25,12654.1
34.5,11913.3
34.75,11223.6
35,10545.7
35.25,9926.86
35.5,9268.7
35.75,8702.05
36,8154.89
36.25,7622.95
36.5,7065.04
36.75,6582.11
37,6121.3
37.25,5739.37
37.5,5319.39
37.75,4947.08
38,4601.55
38.25,4285.25
38.5,3937.27
38.75,3665.05
39,3393.74
39.25,3153.34
39.5,2879.92
39.75,2675.36
40,2421.04
40.25,2241.65
40.5,2080.38
40.75,1947.18
41,1837.89
41.25,1679.23
41.5,1608.67
41.75,1471.89
42,1369.87
42.25,1289.65
42.5,1167.93
42.75,1069.8
43,996.503
43.25,934.777
43.5,870.639
43.75,793.352
44,726.548
44.25,667.229
44.5,629.637
44.75,588.556
45,547.126
45.25,510.169
45.5,472.405
45.75,455.481
46,419.881
46.25,399.171
46.5,373.477
46.75,339.529
47,320.51
47.25,298.684
47.5,275.984
47.75,257.089
48,238.334
48.25,231.323
48.5,215.678
48.75,204.566
49,196.047
49.25,183.008
49.5,174.414
49.75,157.769
50,152.717
50.25,153.144
50.5,146.954
50.75,138.004
51,125.907
51.25,111.902
51.5,105.201
51.75,102.854
52,98.4363
52.25,93.5362
52.5,95.3759
52.75,86.7122
53,79.0556
53.25,77.8623
53.5,71.6274
53.75,67.7972
54,59.0297
54.25,56.2637
54.5,51.9368
54.75,50.3497
55,47.8492
55.25,48.2483
55.5,44.3164
55.75,43.8996
56,43.5312
56.25,38.9406
56.5,35.095
56.75,35.3148
57,33.678
57.25,30.351
57.5,30.891
57.75,31.3614
58,27.7425
58.25,28.4001
58.5,24.8092
58.75,23.6094
59,22.7385
59.25,20.6918
59.5,18.5127
59.75,17.2765
60,17.8435
60.25,16.8277
60.5,19.7383
60.75,19.6095
61,19.3809
61.25,19.7064
61.5,17.3378
61.75,16.6081
62,16.1018
62.25,12.0924
62.5,15.9952
62.75,11.6881
63,11.6747
63.25,10.2628
