Time,num_exposed
0,1047
0.25,929
0.5,836
0.75,792
1,820
1.25,891
1.5,914
1.75,974
2,1058
2.25,1154
2.5,1278
2.75,1369
3,1489
3.25,1595
3.5,1691
3.75,1773
4,1902
4.25,1988
4.5,2128
4.75,2246
5,2405
5.25,2549
5.5,2684
5.75,2841
6,3051
6.25,3256
6.5,3456
6.75,3638
7,3871
7.25,4080
7.5,4332
7.75,4586
8,4859
8.25,5175
8.5,5541
8.75,5852
9,6179
9.25,6578
9.5,6985
9.75,7406
10,7814
10.25,8237
10.5,8694
10.75,9154
11,9602
11.25,10022
11.5,10452
11.75,11074
12,11792
12.25,12418
12.5,13229
12.75,14094
13,14950
13.25,15851
13.5,16812
13.75,17796
14,18793
14.25,19814
14.5,20825
14.75,21942
15,23114
15.25,24321
15.5,25605
15.75,26834
16,28259
16.25,29678
16.5,31335
16.75,33023
17,34845
17.25,36766
17.5,38774
17.75,40626
18,42701
18.25,44861
18.5,47059
18.75,49298
19,51643
19.25,54221
19.5,56685
19.75,59464
20,62163
20.25,65015
20.5,68089
20.75,71341
21,74863
21.25,78440
21.5,82045
21.75,85485
22,89180
22.25,92981
22.5,96658
22.75,100430
23,104492
23.25,108720
23.5,112849
23.75,117188
24,121524
24.25,126117
24.5,130868
24.75,135490
25,140064
25.25,145039
25.5,149995
25.75,154652
26,159530
26.25,164449
26.5,169055
26.75,173845
27,178903
27.25,183518
27.5,187731
27.75,192105
28,196475
28.25,200698
28.5,204322
28.75,208054
29,211736
29.25,215010
29.5,218258
29.75,220934
30,223237
30.25,225401
30.5,227236
30.75,228936
31,230107
31.25,231032
31.5,231694
31.75,232173
32,231918
32.25,231265
32.5,230892
32.75,230269
33,228844
33.25,227000
33.5,224685
33.75,222449
34,219893
34.25,217232
34.5,214115
34.75,210846
35,207508
35.25,203705
35.5,200013
35.75,195982
36,191908
36.25,187759
36.5,183372
36.75,178810
37,174219
37.25,169570
37.5,165010
37.75,160275
38,155771
38.25,150968
38.5,146275
38.75,141662
39,136924
39.25,132405
39.5,127749
39.75,123211
40,119088
40.25,115077
40.5,110827
40.75,106601
41,102700
41.25,98911
41.5,95106
41.75,91386
42,87964
42.25,84477
42.5,81003
42.75,77511
43,74352
43.25,71312
43.5,68309
43.75,65438
44,62642
44.25,60082
44.5,57592
44.75,55141
45,52780
45.25,50531
45.5,48286
45.75,46148
46,44158
46.25,42241
46.5,40453
46.75,38785
47,37108
47.25,35453
47.5,33883
47.75,32364
48,30955
48.25,29609
48.5,28313
48.75,27050
49,25934
49.25,24798
49.5,23761
49.75,22702
50,21718
50.25,20788
50.5,19935
50.75,19092
51,18333
51.25,17523
51.5,16756
51.75,16054
52,15342
52.25,14663
52.5,13965
52.75,13417
53,12830
53.25,12227
53.5,11687
53.75,11255
54,10828
54.25,10347
54.5,9952
54.75,9598
55,9154
55.25,8760
55.5,8356
55.75,8000
56,7633
56.25,7295
56.5,6990
56.75,6679
57,6397
57.25,6124
57.5,5908
57.75,5667
58,5420
58.25,5188
58.5,4994
58.75,4809
59,4627
59.25,4436
59.5,4236
59.75,4013
60,3880
60.25,3675
60.5,3496
60.75,3366
61,3207
61.25,3076
61.5,2926
61.75,2834
62,2709
62.25,2622
62.5,2514
62.75,2414
63,2300
63.25,2220
63.5,2138
63.75,2065
64,1997
64.25,1906
64.5,1835
64.75,1772
65,1708
65.25,1659
65.5,1589
65.75,1538
66,1484
66.25,1434
66.5,1381
66.75,1324
67,1281
67.25,1231
67.5,1167
67.75,1121
68,1064
68.25,1022
68.5,972
68.75,933
69,899
69.25,878
69.5,841
69.75,794
70,768
70.25,749
70.5,718
70.75,695
71,659
71.25,625
71.5,596
71.75,573
72,546
72.25,519
72.5,509
72.75,485
73,457
73.25,433
73.5,423
73.75,400
74,387
74.25,367
74.5,356
74.75,350
75,338
75.25,336
75.5,323
75.75,321
76,301
76.25,287
76.5,271
76.75,258
77,255
77.25,240
77.5,235
77.75,217
78,211
78.25,207
78.5,201
78.75,194
79,185
79.25,179
79.5,163
79.75,158
80,150
80.25,141
80.5,130
80.75,121
81,123
81.25,116
81.5,108
81.75,105
82,103
82.25,97
82.5,92
82.75,91
83,90
83.25,89
83.5,87
83.75,85
84,79
84.25,77
84.5,70
84.75,68
85,67
85.25,67
85.5,70
85.75,65
86,64
86.25,60
86.5,58
86.75,61
87,61
87.25,54
87.5,50
87.75,48
88,49
88.25,47
88.5,48
88.75,44
89,40
89.25,39
89.5,37
89.75,33
90,32
90.25,30
90.5,30
90.75,29
91,27
91.25,25
91.5,26
91.75,25
92,25
92.25,26
92.5,25
92.75,24
93,24
93.25,25
93.5,25
93.75,25
94,24
94.25,23
94.5,20
94.75,20
95,21
95.25,20
95.5,20
95.75,20
96,19
96.25,16
96.5,15
96.75,15
97,15
97.25,15
97.5,15
97.75,14
98,16
98.25,16
98.5,16
98.75,13
99,14
99.25,16
99.5,15
99.75,16
100,14
100.25,15
100.5,15
100.75,13
101,13
101.25,13
101.5,13
101.75,12
102,12
102.25,10
102.5,9
102.75,9
103,9
103.25,6
103.5,6
103.75,6
104,6
104.25,6
104.5,5
104.75,5
105,8
105.25,7
105.5,7
105.75,7
106,6
106.25,5
106.5,5
106.75,4
107,4
107.25,5
107.5,4
107.75,2
108,2
108.25,2
108.5,2
108.75,3
109,3
109.25,1
109.5,1
109.75,1
110,2
110.25,2
110.5,2
110.75,2
111,2
111.25,2
111.5,2
111.75,2
112,2
112.25,2
112.5,2
112.75,2
113,2
113.25,3
113.5,3
113.75,3
114,3
114.25,3
114.5,3
114.75,3
115,3
115.25,3
115.5,3
115.75,3
