Time,mean_fraction_lambda_C
97,0
97.25,0
97.5,0
97.75,0
98,1
98.25,1
98.5,0
98.75,0
99,1
99.25,1
99.5,0
99.75,1
100,0
100.25,0.500139
100.5,0
100.75,0
101,0
101.25,0
101.5,0
101.75,0
102,0
102.25,0
102.5,0
102.75,0
103,0
103.25,0
103.5,3.91475e-05
103.75,0
104,0
104.25,0
104.5,0
104.75,0
105,3.57587e-06
105.25,0
105.5,0
105.75,9.74782e-06
106,0
106.25,0
106.5,0
106.75,1
107,0
107.25,1
107.5,0
107.75,0
108,0
108.25,0
108.5,0
108.75,0.000235821
109,0
109.25,0
109.5,0
109.75,0
110,1
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,1
113.25,1
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
