Time,cumulative_new_presymptomatic
0,0
0.25,0
0.5,0
0.75,0
1,307
1.25,307
1.5,307
1.75,307
2,589
2.25,589
2.5,589
2.75,589
3,828
3.25,828
3.5,828
3.75,828
4,1099
4.25,1099
4.5,1099
4.75,1099
5,1438
5.25,1438
5.5,1438
5.75,1438
6,1892
6.25,1892
6.5,1892
6.75,1892
7,2413
7.25,2413
7.5,2413
7.75,2413
8,3130
8.25,3130
8.5,3130
8.75,3130
9,3979
9.25,3979
9.5,3979
9.75,3979
10,5022
10.25,5022
10.5,5022
10.75,5022
11,6382
11.25,6382
11.5,6382
11.75,6382
12,8173
12.25,8173
12.5,8173
12.75,8173
13,10371
13.25,10371
13.5,10371
13.75,10371
14,13058
14.25,13058
14.5,13058
14.75,13058
15,16373
15.25,16373
15.5,16373
15.75,16373
16,20546
16.25,20546
16.5,20546
16.75,20546
17,25604
17.25,25604
17.5,25604
17.75,25604
18,31877
18.25,31877
18.5,31877
18.75,31877
19,39595
19.25,39595
19.5,39595
19.75,39595
20,49095
20.25,49095
20.5,49095
20.75,49095
21,60676
21.25,60676
21.5,60676
21.75,60676
22,74437
22.25,74437
22.5,74437
22.75,74437
23,90830
23.25,90830
23.5,90830
23.75,90830
24,110409
24.25,110409
24.5,110409
24.75,110409
25,133489
25.25,133489
25.5,133489
25.75,133489
26,160173
26.25,160173
26.5,160173
26.75,160173
27,190752
27.25,190752
27.5,190752
27.75,190752
28,225219
28.25,225219
28.5,225219
28.75,225219
29,263715
29.25,263715
29.5,263715
29.75,263715
30,305773
30.25,305773
30.5,305773
30.75,305773
31,351244
31.25,351244
31.5,351244
31.75,351244
32,398724
32.25,398724
32.5,398724
32.75,398724
33,447486
33.25,447486
33.5,447486
33.75,447486
34,497217
34.25,497217
34.5,497217
34.75,497217
35,546001
35.25,546001
35.5,546001
35.75,546001
36,592754
36.25,592754
36.5,592754
36.75,592754
37,636856
37.25,636856
37.5,636856
37.75,636856
38,677861
38.25,677861
38.5,677861
38.75,677861
39,715094
39.25,715094
39.5,715094
39.75,715094
40,749042
40.25,749042
40.5,749042
40.75,749042
41,778464
41.25,778464
41.5,778464
41.75,778464
42,804157
42.25,804157
42.5,804157
42.75,804157
43,826672
43.25,826672
43.5,826672
43.75,826672
44,845808
44.25,845808
44.5,845808
44.75,845808
45,862055
45.25,862055
45.5,862055
45.75,862055
46,875950
46.25,875950
46.5,875950
46.75,875950
47,887400
47.25,887400
47.5,887400
47.75,887400
48,897192
48.25,897192
48.5,897192
48.75,897192
49,905400
49.25,905400
49.5,905400
49.75,905400
50,912116
50.25,912116
50.5,912116
50.75,912116
51,917771
51.25,917771
51.5,917771
51.75,917771
52,922471
52.25,922471
52.5,922471
52.75,922471
53,926534
53.25,926534
53.5,926534
53.75,926534
54,929959
54.25,929959
54.5,929959
54.75,929959
55,932674
55.25,932674
55.5,932674
55.75,932674
56,935147
56.25,935147
56.5,935147
56.75,935147
57,937226
57.25,937226
57.5,937226
57.75,937226
58,938886
58.25,938886
58.5,938886
58.75,938886
59,940320
59.25,940320
59.5,940320
59.75,940320
60,941573
60.25,941573
60.5,941573
60.75,941573
61,942587
61.25,942587
61.5,942587
61.75,942587
62,943457
62.25,943457
62.5,943457
62.75,943457
63,944155
63.25,944155
63.5,944155
63.75,944155
64,944763
64.25,944763
64.5,944763
64.75,944763
65,945257
65.25,945257
65.5,945257
65.75,945257
66,945676
66.25,945676
66.5,945676
66.75,945676
67,946043
67.25,946043
67.5,946043
67.75,946043
68,946371
68.25,946371
68.5,946371
68.75,946371
69,946656
69.25,946656
69.5,946656
69.75,946656
70,946886
70.25,946886
70.5,946886
70.75,946886
71,947062
71.25,947062
71.5,947062
71.75,947062
72,947247
72.25,947247
72.5,947247
72.75,947247
73,947391
73.25,947391
73.5,947391
73.75,947391
74,947511
74.25,947511
74.5,947511
74.75,947511
75,947608
75.25,947608
75.5,947608
75.75,947608
76,947684
76.25,947684
76.5,947684
76.75,947684
77,947773
77.25,947773
77.5,947773
77.75,947773
78,947840
78.25,947840
78.5,947840
78.75,947840
79,947892
79.25,947892
79.5,947892
79.75,947892
80,947945
80.25,947945
80.5,947945
