Time,primary_contact,mild_symptomatic_tested,moderate_symptomatic_tested,severe_symptomatic_tested,icu,requested_tests,cumulative_positive_cases
37.25,0,0,0,0,0,0,229532
37.5,0,0,0,0,0,0,235285
37.75,0,0,0,0,0,0,241000
38,0,0,0,0,0,0,246753
38.25,0,0,0,0,0,0,252445
38.5,0,0,0,0,0,0,258192
38.75,0,0,0,0,0,0,263815
39,0,0,0,0,0,0,269414
39.25,0,0,0,0,0,0,275037
39.5,0,0,0,0,0,0,280611
39.75,0,0,0,0,0,0,286022
40,0,0,0,0,0,0,291390
40.25,0,0,0,0,0,0,296744
40.5,0,0,0,0,0,0,302014
40.75,0,0,0,0,0,0,307268
41,0,0,0,0,0,0,312450
41.25,0,0,0,0,0,0,317728
41.5,0,0,0,0,0,0,322909
41.75,0,0,0,0,0,0,327923
42,0,0,0,0,0,0,332979
42.25,0,0,0,0,0,0,337823
42.5,0,0,0,0,0,0,342610
42.75,0,0,0,0,0,0,347289
43,0,0,0,0,0,0,351876
43.25,0,0,0,0,0,0,356280
43.5,0,0,0,0,0,0,360705
43.75,0,0,0,0,0,0,365080
44,0,0,0,0,0,0,369404
44.25,0,0,0,0,0,0,373683
44.5,0,0,0,0,0,0,377816
44.75,0,0,0,0,0,0,381867
45,0,0,0,0,0,0,385817
45.25,0,0,0,0,0,0,389629
45.5,0,0,0,0,0,0,393317
45.75,0,0,0,0,0,0,396983
46,0,0,0,0,0,0,400586
46.25,0,0,0,0,0,0,404030
46.5,0,0,0,0,0,0,407372
46.75,0,0,0,0,0,0,410694
47,0,0,0,0,0,0,413935
47.25,0,0,0,0,0,0,417029
47.5,0,0,0,0,0,0,420213
47.75,0,0,0,0,0,0,423130
48,0,0,0,0,0,0,426048
48.25,0,0,0,0,0,0,428766
48.5,0,0,0,0,0,0,431536
48.75,0,0,0,0,0,0,434174
49,0,0,0,0,0,0,436816
49.25,0,0,0,0,0,0,439354
49.5,0,0,0,0,0,0,441803
49.75,0,0,0,0,0,0,444250
50,0,0,0,0,0,0,446548
50.25,0,0,0,0,0,0,448751
50.5,0,0,0,0,0,0,450896
50.75,0,0,0,0,0,0,452974
51,0,0,0,0,0,0,455037
51.25,0,0,0,0,0,0,456977
51.5,0,0,0,0,0,0,458912
51.75,0,0,0,0,0,0,460795
52,0,0,0,0,0,0,462625
52.25,0,0,0,0,0,0,464307
52.5,0,0,0,0,0,0,465966
52.75,0,0,0,0,0,0,467612
53,0,0,0,0,0,0,469199
53.25,0,0,0,0,0,0,470769
53.5,0,0,0,0,0,0,472287
53.75,0,0,0,0,0,0,473735
54,0,0,0,0,0,0,475106
54.25,0,0,0,0,0,0,476456
54.5,0,0,0,0,0,0,477821
54.75,0,0,0,0,0,0,479103
55,0,0,0,0,0,0,480347
55.25,0,0,0,0,0,0,481494
55.5,0,0,0,0,0,0,482665
55.75,0,0,0,0,0,0,483749
56,0,0,0,0,0,0,484802
56.25,0,0,0,0,0,0,485843
56.5,0,0,0,0,0,0,486794
56.75,0,0,0,0,0,0,487785
57,0,0,0,0,0,0,488747
57.25,0,0,0,0,0,0,489606
57.5,0,0,0,0,0,0,490482
57.75,0,0,0,0,0,0,491225
58,0,0,0,0,0,0,492021
58.25,0,0,0,0,0,0,492792
58.5,0,0,0,0,0,0,493548
58.75,0,0,0,0,0,0,494277
59,0,0,0,0,0,0,494952
59.25,0,0,0,0,0,0,495524
59.5,0,0,0,0,0,0,496107
59.75,0,0,0,0,0,0,496724
60,0,0,0,0,0,0,497258
60.25,0,0,0,0,0,0,497831
60.5,0,0,0,0,0,0,498362
60.75,0,0,0,0,0,0,498869
61,0,0,0,0,0,0,499406
61.25,0,0,0,0,0,0,499889
61.5,0,0,0,0,0,0,500387
61.75,0,0,0,0,0,0,500827
62,0,0,0,0,0,0,501256
62.25,0,0,0,0,0,0,501660
62.5,0,0,0,0,0,0,502073
62.75,0,0,0,0,0,0,502456
