Time,cumulative_new_symptomatic
0,0
0.25,0
0.5,0
0.75,0
1,83
1.25,83
1.5,83
1.75,83
2,281
2.25,281
2.5,281
2.75,281
3,465
3.25,465
3.5,465
3.75,465
4,639
4.25,639
4.5,639
4.75,639
5,844
5.25,844
5.5,844
5.75,844
6,1105
6.25,1105
6.5,1105
6.75,1105
7,1421
7.25,1421
7.5,1421
7.75,1421
8,1826
8.25,1826
8.5,1826
8.75,1826
9,2360
9.25,2360
9.5,2360
9.75,2360
10,2987
10.25,2987
10.5,2987
10.75,2987
11,3770
11.25,3770
11.5,3770
11.75,3770
12,4800
12.25,4800
12.5,4800
12.75,4800
13,6097
13.25,6097
13.5,6097
13.75,6097
14,7720
14.25,7720
14.5,7720
14.75,7720
15,9691
15.25,9691
15.5,9691
15.75,9691
16,12143
16.25,12143
16.5,12143
16.75,12143
17,15167
17.25,15167
17.5,15167
17.75,15167
18,18903
18.25,18903
18.5,18903
18.75,18903
19,23517
19.25,23517
19.5,23517
19.75,23517
20,29226
20.25,29226
20.5,29226
20.75,29226
21,36188
21.25,36188
21.5,36188
21.75,36188
22,44494
22.25,44494
22.5,44494
22.75,44494
23,54539
23.25,54539
23.5,54539
23.75,54539
24,66467
24.25,66467
24.5,66467
24.75,66467
25,80572
25.25,80572
25.5,80572
25.75,80572
26,97100
26.25,97100
26.5,97100
26.75,97100
27,116107
27.25,116107
27.5,116107
27.75,116107
28,137646
28.25,137646
28.5,137646
28.75,137646
29,162137
29.25,162137
29.5,162137
29.75,162137
30,189091
30.25,189091
30.5,189091
30.75,189091
31,218546
31.25,218546
31.5,218546
31.75,218546
32,249571
32.25,249571
32.5,249571
32.75,249571
33,281714
33.25,281714
33.5,281714
33.75,281714
34,314812
34.25,314812
34.5,314812
34.75,314812
35,347684
35.25,347684
35.5,347684
35.75,347684
36,379819
36.25,379819
36.5,379819
36.75,379819
37,410230
37.25,410230
37.5,410230
37.75,410230
38,438909
38.25,438909
38.5,438909
38.75,438909
39,464876
39.25,464876
39.5,464876
39.75,464876
40,489002
40.25,489002
40.5,489002
40.75,489002
41,510294
41.25,510294
41.5,510294
41.75,510294
42,528990
42.25,528990
42.5,528990
42.75,528990
43,545121
43.25,545121
43.5,545121
43.75,545121
44,559243
44.25,559243
44.5,559243
44.75,559243
45,571092
45.25,571092
45.5,571092
45.75,571092
46,581271
46.25,581271
46.5,581271
46.75,581271
47,589890
47.25,589890
47.5,589890
47.75,589890
48,596950
48.25,596950
48.5,596950
48.75,596950
49,603131
49.25,603131
49.5,603131
49.75,603131
50,608229
50.25,608229
50.5,608229
50.75,608229
51,612337
51.25,612337
51.5,612337
51.75,612337
52,615835
52.25,615835
52.5,615835
52.75,615835
53,618852
53.25,618852
53.5,618852
53.75,618852
54,621368
54.25,621368
54.5,621368
54.75,621368
55,623432
55.25,623432
55.5,623432
55.75,623432
56,625159
56.25,625159
56.5,625159
56.75,625159
57,626716
57.25,626716
57.5,626716
57.75,626716
58,627959
58.25,627959
58.5,627959
58.75,627959
59,629005
59.25,629005
59.5,629005
59.75,629005
60,629876
60.25,629876
60.5,629876
60.75,629876
61,630645
61.25,630645
61.5,630645
61.75,630645
62,631278
62.25,631278
62.5,631278
62.75,631278
63,631797
63.25,631797
63.5,631797
63.75,631797
64,632283
64.25,632283
64.5,632283
64.75,632283
65,632641
65.25,632641
65.5,632641
65.75,632641
66,632966
66.25,632966
66.5,632966
66.75,632966
67,633226
67.25,633226
67.5,633226
67.75,633226
68,633446
68.25,633446
68.5,633446
68.75,633446
69,633645
69.25,633645
69.5,633645
69.75,633645
70,633812
70.25,633812
70.5,633812
70.75,633812
71,633943
71.25,633943
71.5,633943
71.75,633943
72,634087
72.25,634087
72.5,634087
72.75,634087
73,634183
73.25,634183
73.5,634183
73.75,634183
74,634268
74.25,634268
74.5,634268
74.75,634268
75,634341
75.25,634341
75.5,634341
75.75,634341
76,634398
76.25,634398
76.5,634398
76.75,634398
77,634454
77.25,634454
77.5,634454
77.75,634454
78,634504
78.25,634504
78.5,634504
78.75,634504
79,634550
79.25,634550
79.5,634550
79.75,634550
80,634587
80.25,634587
80.5,634587
80.75,634587
