Time,total_fraction_lambda_C
0,-nan
0.25,-nan
0.5,-nan
84.75,0.000312475
85,-nan
85.25,0.000267854
85.5,0.00045734
85.75,-nan
86,0.00178849
86.25,-nan
86.5,1
86.75,0.000129037
87,5.59706e-05
87.25,-nan
87.5,-nan
87.75,1
88,0.000125905
88.25,-nan
88.5,0.000426619
88.75,0.000356231
89,1
89.25,1
89.5,-nan
89.75,-nan
90,1
90.25,-nan
90.5,-nan
90.75,-nan
91,3.17758e-05
91.25,1
91.5,0.0103331
91.75,1
92,-nan
92.25,0.000639184
92.5,1
92.75,0.000180976
93,-nan
93.25,1
93.5,0.000170928
93.75,-nan
94,1
94.25,-nan
94.5,1
94.75,1
95,1
95.25,-nan
95.5,-nan
95.75,-nan
96,-nan
96.25,-nan
96.5,-nan
96.75,-nan
97,-nan
97.25,-nan
97.5,-nan
97.75,-nan
98,1
98.25,1
98.5,-nan
98.75,-nan
99,1
99.25,1
99.5,-nan
99.75,1
100,-nan
100.25,0.000545447
100.5,-nan
100.75,-nan
101,-nan
101.25,-nan
101.5,-nan
101.75,-nan
102,-nan
102.25,-nan
102.5,-nan
102.75,-nan
103,-nan
103.25,-nan
103.5,3.91475e-05
103.75,-nan
104,-nan
104.25,-nan
104.5,-nan
104.75,-nan
105,3.55322e-06
105.25,-nan
105.5,-nan
105.75,9.74782e-06
106,-nan
106.25,-nan
106.5,-nan
106.75,1
107,-nan
107.25,1
107.5,-nan
107.75,-nan
108,-nan
108.25,-nan
108.5,-nan
108.75,0.000235821
109,-nan
109.25,-nan
109.5,-nan
109.75,-nan
110,1
110.25,-nan
110.5,-nan
110.75,-nan
111,-nan
111.25,-nan
111.5,-nan
111.75,-nan
112,-nan
112.25,-nan
112.5,-nan
112.75,-nan
113,1
113.25,1
113.5,-nan
113.75,-nan
114,-nan
114.25,-nan
114.5,-nan
114.75,-nan
115,-nan
115.25,-nan
115.5,-nan
115.75,-nan
116,-nan
116.25,-nan
116.5,-nan
116.75,-nan
117,-nan
117.25,-nan
117.5,-nan
117.75,-nan
118,-nan
118.25,-nan
118.5,-nan
118.75,-nan
119,-nan
119.25,-nan
119.5,-nan
119.75,-nan
