Time,num_infected
0,0
0.25,118
0.5,184
0.75,260
1,287
1.25,327
1.5,366
1.75,404
2,417
2.25,438
2.5,465
2.75,507
3,531
3.25,553
3.5,585
3.75,627
4,666
4.25,711
4.5,737
4.75,777
5,800
5.25,846
5.5,904
5.75,951
6,1003
6.25,1053
6.5,1099
6.75,1171
7,1237
7.25,1326
7.5,1401
7.75,1521
8,1604
8.25,1686
8.5,1778
8.75,1886
9,1999
9.25,2103
9.5,2185
9.75,2301
10,2442
10.25,2628
10.5,2734
10.75,2887
11,3057
11.25,3232
11.5,3473
11.75,3683
12,3875
12.25,4132
12.5,4342
12.75,4650
13,4926
13.25,5226
13.5,5515
13.75,5803
14,6148
14.25,6474
14.5,6850
14.75,7255
15,7615
15.25,8064
15.5,8523
15.75,8986
16,9438
16.25,10037
16.5,10547
16.75,11047
17,11681
17.25,12288
17.5,12964
17.75,13713
18,14444
18.25,15202
18.5,16041
18.75,16886
19,17843
19.25,18759
19.5,19900
19.75,20905
20,22049
20.25,23267
20.5,24390
20.75,25589
21,26851
21.25,28231
21.5,29722
21.75,31170
22,32625
22.25,34215
22.5,35801
22.75,37505
23,39283
23.25,41080
23.5,43116
23.75,45226
24,47438
24.25,49555
24.5,51689
24.75,54047
25,56674
25.25,58941
25.5,61468
25.75,64205
26,66723
26.25,69449
26.5,72322
26.75,75140
27,77681
27.25,80684
27.5,83663
27.75,86799
28,89844
28.25,93031
28.5,96445
28.75,99585
29,102689
29.25,105874
29.5,109005
29.75,112348
30,115820
30.25,119187
30.5,122325
30.75,125481
31,128503
31.25,131509
31.5,134470
31.75,137427
32,140262
32.25,143276
32.5,145879
32.75,148228
33,150719
33.25,153498
33.5,155777
33.75,157845
34,159980
34.25,161879
34.5,163600
34.75,165070
35,166486
35.25,167720
35.5,168742
35.75,169593
36,170294
36.25,170703
36.5,171121
36.75,171181
37,171393
37.25,171273
37.5,170806
37.75,170275
38,169468
38.25,168948
38.5,167924
38.75,166839
39,165842
39.25,164442
39.5,163304
39.75,162059
40,160298
40.25,158406
40.5,156800
40.75,155007
41,152963
41.25,150748
41.5,148454
41.75,146275
42,143763
42.25,141454
42.5,139084
42.75,136860
43,134471
43.25,131987
43.5,129491
43.75,127023
44,124399
44.25,121723
44.5,119077
44.75,116512
45,113923
45.25,111366
45.5,108927
45.75,106455
46,103926
46.25,101397
46.5,99059
46.75,96543
47,94154
47.25,91763
47.5,89324
47.75,87066
48,84754
48.25,82581
48.5,80404
48.75,78125
49,75939
49.25,73803
49.5,71601
49.75,69583
50,67570
50.25,65614
50.5,63654
50.75,61736
51,59753
51.25,58063
51.5,56323
51.75,54584
52,52874
52.25,51404
52.5,49922
52.75,48323
53,46832
53.25,45392
53.5,44011
53.75,42558
54,41167
54.25,39910
54.5,38530
54.75,37189
55,36002
55.25,34859
55.5,33698
55.75,32627
56,31581
56.25,30477
56.5,29536
56.75,28531
57,27533
57.25,26626
57.5,25645
57.75,24868
58,24093
58.25,23231
58.5,22422
58.75,21605
59,20851
59.25,20224
59.5,19577
59.75,18972
60,18355
