Time,mean_fraction_lambda_H
0,0
0.25,0
0.5,0
0.75,0.63459
1,0.619459
1.25,0.541079
1.5,0.520254
1.75,0.422214
2,0.492498
2.25,0.385491
2.5,0.375242
2.75,0.360567
3,0.413003
3.25,0.292286
3.5,0.389585
3.75,0.384705
4,0.321878
4.25,0.29518
4.5,0.282066
4.75,0.301385
5,0.320374
5.25,0.274671
5.5,0.287694
5.75,0.261855
6,0.254671
6.25,0.227933
6.5,0.279205
6.75,0.20514
7,0.224278
7.25,0.212414
7.5,0.222225
7.75,0.26553
8,0.233027
8.25,0.252194
8.5,0.268015
8.75,0.257397
9,0.258259
9.25,0.278342
9.5,0.280437
9.75,0.269468
10,0.27641
10.25,0.272509
10.5,0.296379
10.75,0.274315
11,0.24545
11.25,0.28924
11.5,0.282111
11.75,0.275891
12,0.269765
12.25,0.273149
12.5,0.281068
12.75,0.259331
13,0.266223
13.25,0.255067
13.5,0.270192
13.75,0.290565
14,0.283834
14.25,0.258242
14.5,0.2853
14.75,0.276442
15,0.280074
15.25,0.27826
15.5,0.282039
15.75,0.265806
16,0.302804
16.25,0.284127
16.5,0.294101
16.75,0.285417
17,0.27911
17.25,0.29117
17.5,0.290935
17.75,0.288245
18,0.293755
18.25,0.278676
18.5,0.295227
18.75,0.278322
19,0.281146
19.25,0.28626
19.5,0.290931
19.75,0.293787
20,0.298471
20.25,0.291867
20.5,0.299787
20.75,0.300168
21,0.287598
21.25,0.295934
21.5,0.27869
21.75,0.281802
22,0.304457
22.25,0.295888
22.5,0.284427
22.75,0.29103
23,0.297006
23.25,0.294472
23.5,0.296344
23.75,0.306625
24,0.296603
24.25,0.307156
24.5,0.300196
24.75,0.300443
25,0.29752
25.25,0.302744
25.5,0.298831
25.75,0.296481
26,0.301528
26.25,0.296792
26.5,0.290282
26.75,0.297414
27,0.30784
27.25,0.300296
27.5,0.30673
27.75,0.311227
28,0.316996
28.25,0.310518
28.5,0.308662
28.75,0.31695
29,0.31307
29.25,0.31599
29.5,0.315444
29.75,0.313364
30,0.315527
30.25,0.318373
30.5,0.314557
30.75,0.325438
31,0.328373
31.25,0.326442
31.5,0.330867
31.75,0.327908
32,0.333738
32.25,0.333786
32.5,0.333959
32.75,0.343227
33,0.343706
33.25,0.339251
33.5,0.35301
33.75,0.351325
34,0.357833
34.25,0.355285
34.5,0.359523
34.75,0.361425
35,0.364001
35.25,0.365044
35.5,0.372195
35.75,0.365474
36,0.375244
36.25,0.375648
36.5,0.386928
36.75,0.374782
37,0.372704
37.25,0.383274
37.5,0.37781
37.75,0.396877
38,0.39514
38.25,0.396254
38.5,0.389244
38.75,0.392218
39,0.399967
39.25,0.395097
39.5,0.393648
39.75,0.397687
40,0.390239
40.25,0.419487
40.5,0.408447
40.75,0.403566
41,0.429074
41.25,0.398758
41.5,0.402378
41.75,0.416704
42,0.40822
42.25,0.410998
42.5,0.40478
42.75,0.416078
43,0.414716
43.25,0.417204
43.5,0.408865
43.75,0.40882
44,0.424662
44.25,0.40992
44.5,0.417118
44.75,0.411995
45,0.402147
45.25,0.406431
45.5,0.387243
45.75,0.444078
46,0.411609
46.25,0.412618
46.5,0.417539
46.75,0.417696
47,0.416781
47.25,0.412037
47.5,0.439993
47.75,0.38693
48,0.399053
48.25,0.41293
48.5,0.390083
48.75,0.395805
49,0.408136
49.25,0.391661
49.5,0.434754
49.75,0.402849
50,0.363458
50.25,0.365805
50.5,0.417018
50.75,0.40586
51,0.382985
51.25,0.360864
51.5,0.377134
51.75,0.379542
52,0.414293
52.25,0.419492
52.5,0.425675
52.75,0.358672
53,0.378922
53.25,0.398966
53.5,0.361981
53.75,0.377288
54,0.321908
54.25,0.370796
54.5,0.372857
54.75,0.376942
55,0.378885
55.25,0.38492
55.5,0.391764
55.75,0.387474
56,0.409537
56.25,0.372575
56.5,0.402076
56.75,0.358188
57,0.41091
57.25,0.435979
57.5,0.485419
57.75,0.34207
58,0.385781
58.25,0.424291
58.5,0.350774
58.75,0.41091
59,0.421861
59.25,0.431571
59.5,0.374386
59.75,0.304064
60,0.373011
60.25,0.322098
60.5,0.381415
60.75,0.438065
61,0.473801
61.25,0.415048
