Time,num_cumulative_infective
0,0
0.25,1249
0.5,2449
0.75,3493
1,4510
1.25,5351
1.5,6121
1.75,6854
2,7550
2.25,8240
2.5,8945
2.75,9675
3,10419
3.25,11236
3.5,12089
3.75,12959
4,13868
4.25,14836
4.5,15877
4.75,17024
5,18200
5.25,19367
5.5,20685
5.75,22038
6,23557
6.25,25203
6.5,26850
6.75,28597
7,30477
7.25,32451
7.5,34617
7.75,36874
8,39350
8.25,42071
8.5,44687
8.75,47462
9,50443
9.25,53815
9.5,57133
9.75,60708
10,64506
10.25,68568
10.5,72980
10.75,77603
11,82504
11.25,87656
11.5,93026
11.75,98700
12,104741
12.25,111076
12.5,117922
12.75,125124
13,132665
13.25,140553
13.5,149152
13.75,158216
14,167903
14.25,178187
14.5,189091
14.75,200357
15,212420
15.25,225113
15.5,238482
15.75,252596
16,267290
16.25,283018
16.5,299472
16.75,317023
17,335466
17.25,354718
17.5,375171
17.75,396847
18,419725
18.25,443571
18.5,468754
18.75,495166
19,522900
19.25,552080
19.5,582496
19.75,614740
20,648720
20.25,683983
20.5,721332
20.75,760494
21,801736
21.25,844727
21.5,890006
21.75,937107
22,986807
22.25,1039096
22.5,1093300
22.75,1150021
23,1209323
23.25,1271116
23.5,1335755
23.75,1403594
24,1473692
24.25,1546517
24.5,1622437
24.75,1702109
25,1783927
25.25,1869230
25.5,1957825
25.75,2050015
26,2144854
26.25,2242555
26.5,2344084
26.75,2448629
27,2556682
27.25,2667934
27.5,2782906
27.75,2901339
28,3022138
28.25,3146047
28.5,3273316
28.75,3402871
29,3536258
29.25,3671921
29.5,3809793
29.75,3950679
30,4093774
30.25,4239049
30.5,4386348
30.75,4535236
31,4685841
31.25,4837630
31.5,4990857
31.75,5145312
32,5300843
32.25,5456624
32.5,5612287
32.75,5767526
33,5923523
33.25,6079016
33.5,6233001
33.75,6387038
34,6540365
34.25,6692995
34.5,6844004
34.75,6993276
35,7140888
35.25,7286386
35.5,7430033
35.75,7570830
36,7709545
36.25,7845994
36.5,7978981
36.75,8109953
37,8237622
37.25,8362848
37.5,8485130
37.75,8603891
38,8720112
38.25,8833086
38.5,8942942
38.75,9050115
39,9154334
39.25,9255050
39.5,9352442
39.75,9447298
40,9538786
40.25,9627544
40.5,9712497
40.75,9795435
41,9875148
41.25,9952115
41.5,10026066
41.75,10097799
42,10166229
42.25,10232304
42.5,10296101
42.75,10357517
43,10416428
43.25,10473530
43.5,10527971
43.75,10580532
44,10630542
44.25,10678892
44.5,10724831
44.75,10769504
45,10812212
45.25,10852925
45.5,10892142
45.75,10929790
46,10965398
46.25,10999328
46.5,11032155
46.75,11063426
47,11093444
47.25,11122150
47.5,11149719
47.75,11175896
48,11201455
48.25,11225307
48.5,11248164
48.75,11270279
49,11291548
49.25,11311745
49.5,11331188
49.75,11349669
50,11367597
50.25,11384340
50.5,11400526
50.75,11416084
51,11430843
51.25,11444971
51.5,11458479
51.75,11471374
52,11483832
52.25,11495564
52.5,11506927
52.75,11517837
53,11528200
53.25,11538207
53.5,11547533
53.75,11556635
54,11565544
54.25,11573817
54.5,11581694
54.75,11589369
55,11596727
55.25,11603728
55.5,11610266
55.75,11616756
56,11622944
56.25,11628948
56.5,11634624
56.75,11640126
57,11645338
57.25,11650262
57.5,11655163
57.75,11659730
58,11664024
58.25,11668239
58.5,11672241
58.75,11676054
59,11679747
59.25,11683275
59.5,11686727
59.75,11689997
60,11693207
60.25,11696274
60.5,11699203
60.75,11701893
61,11704565
61.25,11707103
61.5,11709546
61.75,11711914
62,11714190
62.25,11716368
62.5,11718475
62.75,11720482
63,11722336
63.25,11724168
63.5,11725939
63.75,11727638
64,11729220
64.25,11730836
64.5,11732335
64.75,11733760
65,11735079
65.25,11736389
65.5,11737691
65.75,11738875
66,11740035
66.25,11741154
66.5,11742220
66.75,11743254
67,11744185
67.25,11745168
67.5,11746124
67.75,11747038
68,11747883
68.25,11748699
68.5,11749530
68.75,11750269
69,11751038
69.25,11751733
69.5,11752398
69.75,11753056
70,11753623
70.25,11754244
70.5,11754797
70.75,11755323
71,11755873
71.25,11756393
71.5,11756908
71.75,11757359
72,11757813
72.25,11758238
72.5,11758649
72.75,11759039
73,11759423
73.25,11759777
73.5,11760140
73.75,11760500
74,11760829
74.25,11761125
74.5,11761399
74.75,11761693
75,11761983
75.25,11762255
75.5,11762523
75.75,11762762
76,11763001
76.25,11763209
76.5,11763435
76.75,11763643
77,11763859
77.25,11764055
77.5,11764245
77.75,11764447
78,11764629
78.25,11764799
78.5,11764962
78.75,11765118
79,11765284
79.25,11765435
79.5,11765583
79.75,11765708
80,11765824
80.25,11765943
80.5,11766053
80.75,11766176
81,11766271
81.25,11766360
81.5,11766467
81.75,11766574
82,11766672
82.25,11766770
82.5,11766869
82.75,11766933
83,11767002
83.25,11767066
83.5,11767152
83.75,11767232
84,11767303
84.25,11767378
84.5,11767449
84.75,11767506
85,11767560
85.25,11767616
85.5,11767663
85.75,11767717
86,11767758
86.25,11767803
86.5,11767842
86.75,11767874
87,11767904
87.25,11767941
87.5,11767973
87.75,11768015
88,11768053
88.25,11768093
88.5,11768129
88.75,11768156
89,11768187
89.25,11768215
89.5,11768245
89.75,11768276
90,11768301
90.25,11768323
90.5,11768339
90.75,11768362
91,11768387
91.25,11768415
91.5,11768437
91.75,11768456
92,11768472
92.25,11768502
92.5,11768517
92.75,11768544
93,11768565
93.25,11768578
93.5,11768585
93.75,11768605
94,11768620
94.25,11768638
94.5,11768648
94.75,11768658
95,11768670
95.25,11768681
95.5,11768691
95.75,11768701
96,11768712
96.25,11768722
96.5,11768731
96.75,11768745
97,11768750
97.25,11768756
97.5,11768763
97.75,11768770
98,11768774
98.25,11768777
98.5,11768784
98.75,11768793
99,11768804
99.25,11768811
99.5,11768817
99.75,11768822
100,11768825
100.25,11768829
100.5,11768836
100.75,11768841
101,11768843
101.25,11768845
101.5,11768850
101.75,11768858
102,11768865
102.25,11768872
102.5,11768876
102.75,11768879
103,11768882
103.25,11768884
103.5,11768886
103.75,11768888
104,11768890
104.25,11768895
104.5,11768896
104.75,11768900
105,11768902
105.25,11768906
105.5,11768908
105.75,11768909
106,11768911
106.25,11768916
106.5,11768917
106.75,11768919
107,11768920
107.25,11768923
107.5,11768924
107.75,11768924
108,11768925
108.25,11768926
108.5,11768926
108.75,11768927
109,11768929
109.25,11768930
109.5,11768930
109.75,11768930
110,11768932
110.25,11768933
110.5,11768937
110.75,11768940
111,11768943
111.25,11768944
111.5,11768947
111.75,11768949
112,11768953
112.25,11768953
112.5,11768953
112.75,11768956
113,11768956
113.25,11768956
113.5,11768956
113.75,11768956
114,11768956
114.25,11768956
114.5,11768957
114.75,11768957
115,11768958
115.25,11768960
115.5,11768960
115.75,11768960
116,11768960
116.25,11768960
116.5,11768960
116.75,11768960
117,11768960
117.25,11768960
117.5,11768960
117.75,11768960
118,11768960
118.25,11768961
118.5,11768962
118.75,11768962
119,11768962
119.25,11768962
119.5,11768963
119.75,11768964
