Time,cumulative_new_symptomatic
0,0
0.25,0
0.5,0
0.75,0
1,1021
1.25,1021
1.5,1021
1.75,1021
2,3400
2.25,3400
2.5,3400
2.75,3400
3,5382
3.25,5382
3.5,5382
3.75,5382
4,7393
4.25,7393
4.5,7393
4.75,7393
5,9869
5.25,9869
5.5,9869
5.75,9869
6,12816
6.25,12816
6.5,12816
6.75,12816
7,16697
7.25,16697
7.5,16697
7.75,16697
8,21536
8.25,21536
8.5,21536
8.75,21536
9,27773
9.25,27773
9.5,27773
9.75,27773
10,35628
10.25,35628
10.5,35628
10.75,35628
11,45556
11.25,45556
11.5,45556
11.75,45556
12,58080
12.25,58080
12.5,58080
12.75,58080
13,73744
13.25,73744
13.5,73744
13.75,73744
14,93232
14.25,93232
14.5,93232
14.75,93232
15,118214
15.25,118214
15.5,118214
15.75,118214
16,149231
16.25,149231
16.5,149231
16.75,149231
17,188031
17.25,188031
17.5,188031
17.75,188031
18,235576
18.25,235576
18.5,235576
18.75,235576
19,294705
19.25,294705
19.5,294705
19.75,294705
20,366569
20.25,366569
20.5,366569
20.75,366569
21,454678
21.25,454678
21.5,454678
21.75,454678
22,561111
22.25,561111
22.5,561111
22.75,561111
23,690233
23.25,690233
23.5,690233
23.75,690233
24,845208
24.25,845208
24.5,845208
24.75,845208
25,1028513
25.25,1028513
25.5,1028513
25.75,1028513
26,1243414
26.25,1243414
26.5,1243414
26.75,1243414
27,1492152
27.25,1492152
27.5,1492152
27.75,1492152
28,1774634
28.25,1774634
28.5,1774634
28.75,1774634
29,2092721
29.25,2092721
29.5,2092721
29.75,2092721
30,2442248
30.25,2442248
30.5,2442248
30.75,2442248
31,2819856
31.25,2819856
31.5,2819856
31.75,2819856
32,3218725
32.25,3218725
32.5,3218725
32.75,3218725
33,3631983
33.25,3631983
33.5,3631983
33.75,3631983
34,4047765
34.25,4047765
34.5,4047765
34.75,4047765
35,4458665
35.25,4458665
35.5,4458665
35.75,4458665
36,4856312
36.25,4856312
36.5,4856312
36.75,4856312
37,5232364
37.25,5232364
37.5,5232364
37.75,5232364
38,5580216
38.25,5580216
38.5,5580216
38.75,5580216
39,5896571
39.25,5896571
39.5,5896571
39.75,5896571
40,6180959
40.25,6180959
40.5,6180959
40.75,6180959
41,6432118
41.25,6432118
41.5,6432118
41.75,6432118
42,6651573
42.25,6651573
42.5,6651573
42.75,6651573
43,6841763
43.25,6841763
43.5,6841763
43.75,6841763
44,7004922
44.25,7004922
44.5,7004922
44.75,7004922
45,7143678
45.25,7143678
45.5,7143678
45.75,7143678
46,7261725
46.25,7261725
46.5,7261725
46.75,7261725
47,7360994
47.25,7360994
47.5,7360994
47.75,7360994
48,7444278
48.25,7444278
48.5,7444278
48.75,7444278
49,7514493
49.25,7514493
49.5,7514493
49.75,7514493
50,7572938
50.25,7572938
50.5,7572938
50.75,7572938
51,7622186
51.25,7622186
51.5,7622186
51.75,7622186
52,7663300
52.25,7663300
52.5,7663300
52.75,7663300
53,7697831
53.25,7697831
53.5,7697831
53.75,7697831
54,7726552
54.25,7726552
54.5,7726552
54.75,7726552
55,7750785
55.25,7750785
55.5,7750785
55.75,7750785
56,7771091
56.25,7771091
56.5,7771091
56.75,7771091
57,7788236
57.25,7788236
57.5,7788236
57.75,7788236
58,7802804
58.25,7802804
58.5,7802804
58.75,7802804
59,7814890
59.25,7814890
59.5,7814890
59.75,7814890
60,7825089
60.25,7825089
60.5,7825089
60.75,7825089
61,7833975
61.25,7833975
61.5,7833975
61.75,7833975
62,7841242
62.25,7841242
62.5,7841242
62.75,7841242
63,7847492
63.25,7847492
63.5,7847492
63.75,7847492
64,7852811
64.25,7852811
64.5,7852811
64.75,7852811
65,7857389
65.25,7857389
65.5,7857389
65.75,7857389
66,7861200
66.25,7861200
66.5,7861200
66.75,7861200
67,7864396
67.25,7864396
67.5,7864396
67.75,7864396
68,7867121
68.25,7867121
68.5,7867121
68.75,7867121
69,7869571
69.25,7869571
69.5,7869571
69.75,7869571
70,7871607
70.25,7871607
70.5,7871607
70.75,7871607
71,7873298
71.25,7873298
71.5,7873298
71.75,7873298
72,7874742
72.25,7874742
72.5,7874742
