Time,total_fraction_lambda_C
0,-nan
0.25,-nan
0.5,-nan
0.75,1.37961e-05
1,2.96401e-05
1.25,5.20269e-05
1.5,7.75186e-05
1.75,9.10919e-05
2,0.000113058
2.25,0.000140254
2.5,0.000183518
2.75,0.000209805
3,0.000236431
3.25,0.000262096
3.5,0.000267737
3.75,0.000296025
4,0.000339809
4.25,0.000346667
4.5,0.000315227
4.75,0.000378511
5,0.000421043
5.25,0.000495024
5.5,0.000552448
5.75,0.000516464
6,0.000580653
6.25,0.000539132
6.5,0.000599114
6.75,0.000579452
7,0.000693435
7.25,0.000787812
7.5,0.000759487
7.75,0.000710736
8,0.000714112
8.25,0.000828908
8.5,0.00083956
8.75,0.000916986
9,0.00105381
9.25,0.0010298
9.5,0.00110656
9.75,0.00114196
10,0.00127752
10.25,0.00127332
10.5,0.00135051
10.75,0.00140567
11,0.00141247
11.25,0.00156546
11.5,0.00171471
11.75,0.00177171
12,0.00181229
12.25,0.00192927
12.5,0.00203574
12.75,0.00213396
13,0.00223921
13.25,0.00240822
13.5,0.00246991
13.75,0.00266821
14,0.00283467
14.25,0.0030161
14.5,0.00330895
14.75,0.00347203
15,0.00367148
15.25,0.00392554
15.5,0.0039335
15.75,0.00419612
16,0.00432967
16.25,0.00463472
16.5,0.00485296
16.75,0.00525254
17,0.00571468
17.25,0.00573158
17.5,0.00620651
17.75,0.00654521
18,0.00681085
18.25,0.00713025
18.5,0.00773439
18.75,0.00784172
19,0.00826896
19.25,0.00876408
19.5,0.00915235
19.75,0.00967643
20,0.0101819
20.25,0.0106923
20.5,0.0113497
20.75,0.0117129
21,0.0125296
21.25,0.0129235
21.5,0.0136066
21.75,0.0143047
22,0.014976
22.25,0.0156872
22.5,0.0163625
22.75,0.0168066
23,0.0175519
23.25,0.0185344
23.5,0.0193144
23.75,0.0202102
24,0.0214027
24.25,0.0223302
24.5,0.0232027
24.75,0.0237921
25,0.0247588
25.25,0.0255437
25.5,0.0265392
25.75,0.0277285
26,0.028666
26.25,0.029686
26.5,0.0304873
26.75,0.0317973
27,0.0324694
27.25,0.0337916
27.5,0.0344526
27.75,0.0360391
28,0.0367551
28.25,0.0378023
28.5,0.0392554
28.75,0.0407104
29,0.04121
29.25,0.042386
29.5,0.0436587
29.75,0.0437713
30,0.0460393
30.25,0.0465889
30.5,0.0477112
30.75,0.0490344
31,0.0494894
31.25,0.0505027
31.5,0.0519232
31.75,0.0528549
32,0.0533214
32.25,0.0540511
32.5,0.056024
32.75,0.0565389
33,0.0570768
33.25,0.0582632
33.5,0.0590423
33.75,0.0592896
34,0.0601843
34.25,0.0604617
34.5,0.0615858
34.75,0.0618125
35,0.0625234
35.25,0.0630455
35.5,0.0634591
35.75,0.0637396
36,0.0646361
36.25,0.0648606
36.5,0.0651651
36.75,0.0653292
37,0.0657233
37.25,0.0652588
37.5,0.0645165
37.75,0.0657701
38,0.0654675
38.25,0.0653008
38.5,0.0655184
38.75,0.0658551
39,0.0669662
39.25,0.0647409
39.5,0.0644815
39.75,0.0658438
40,0.0652385
40.25,0.0639042
40.5,0.0644729
40.75,0.0627176
41,0.0639347
41.25,0.0618101
41.5,0.0608419
41.75,0.0605497
42,0.0610518
42.25,0.0607305
42.5,0.0609051
42.75,0.0571277
43,0.05771
43.25,0.057952
43.5,0.0560323
43.75,0.0540784
44,0.0553328
44.25,0.0548782
44.5,0.0536009
44.75,0.0524313
45,0.0513566
45.25,0.0509636
45.5,0.0504173
45.75,0.0476432
46,0.0489241
46.25,0.0465422
46.5,0.0466198
46.75,0.0474299
47,0.0442738
47.25,0.0433609
47.5,0.0433716
47.75,0.0410973
48,0.0407171
48.25,0.0398573
48.5,0.0388327
48.75,0.03728
49,0.0379385
49.25,0.0340328
49.5,0.0328134
49.75,0.0354087
50,0.0332975
50.25,0.0342973
50.5,0.0318086
50.75,0.0306958
51,0.0307379
51.25,0.0284535
51.5,0.0270295
51.75,0.0293983
52,0.0260845
52.25,0.0258762
52.5,0.0262679
52.75,0.0239576
53,0.0244763
53.25,0.0217491
53.5,0.0227409
53.75,0.0199433
54,0.0222559
54.25,0.0221342
54.5,0.0206136
54.75,0.0193088
55,0.0197047
55.25,0.0198024
55.5,0.0173746
55.75,0.0181777
56,0.0188173
56.25,0.0170768
56.5,0.0140253
56.75,0.0165192
57,0.0127557
57.25,0.0138268
57.5,0.0158025
57.75,0.0126723
58,0.0130772
58.25,0.0143255
58.5,0.0112979
58.75,0.0122822
59,0.0115188
59.25,0.0116871
59.5,0.0109796
59.75,0.00942194
60,0.0103549
60.25,0.00894335
60.5,0.00933755
60.75,0.00790683
61,0.00750581
61.25,0.00882892
61.5,0.00678346
61.75,0.00662993
62,0.00782592
62.25,0.00748175
62.5,0.00627532
62.75,0.00610577
63,0.00560852
63.25,0.0057598
63.5,0.00615821
63.75,0.00511264
64,0.00552097
64.25,0.00528883
64.5,0.00518395
64.75,0.00481679
65,0.00384384
65.25,0.00394878
65.5,0.00406599
65.75,0.00383443
66,0.00373721
66.25,0.00377798
66.5,0.00504986
66.75,0.00354496
67,0.00337264
67.25,0.00242909
67.5,0.0038391
67.75,0.00286973
68,0.00278814
68.25,0.00291708
68.5,0.00270228
68.75,0.00364614
69,0.00276944
69.25,0.00224327
69.5,0.00267777
69.75,0.00211829
70,0.00287725
70.25,0.00174795
70.5,0.00132897
70.75,0.00160844
71,0.0017784
71.25,0.00190167
71.5,0.00245763
71.75,0.00223411
72,0.00164853
72.25,0.00200653
72.5,0.00240669
72.75,0.00159343
73,0.00124152
73.25,0.00180796
73.5,0.00119865
73.75,0.00253942
74,0.00143488
74.25,0.00159123
74.5,0.00165135
74.75,0.00143774
75,0.000961257
75.25,0.000731375
75.5,0.000877011
75.75,0.001003
76,0.00123155
76.25,0.000749964
76.5,0.00061406
76.75,0.000767181
77,0.00130744
77.25,0.00116834
77.5,0.000758784
77.75,0.000615612
78,0.000860887
