Time,cumulative_new_detected
110.75,6371500
111,6371513
111.25,6371513
111.5,6371513
111.75,6371513
112,6371520
112.25,6371520
112.5,6371520
112.75,6371520
113,6371530
113.25,6371530
113.5,6371530
113.75,6371530
114,6371538
114.25,6371538
114.5,6371538
114.75,6371538
115,6371543
115.25,6371543
115.5,6371543
115.75,6371543
116,6371549
116.25,6371549
116.5,6371549
116.75,6371549
117,6371554
117.25,6371554
117.5,6371554
117.75,6371554
118,6371557
118.25,6371557
118.5,6371557
118.75,6371557
119,6371559
119.25,6371559
119.5,6371559
119.75,6371559
