Time,normal_interactions,curtailed_interactions
0,2.77266e+07,2.77266e+07
0.25,2.77238e+07,2.77238e+07
0.5,2.77217e+07,2.77217e+07
0.75,2.77201e+07,2.77201e+07
1,2.77187e+07,2.77187e+07
1.25,2.77177e+07,2.77177e+07
1.5,2.77169e+07,2.77169e+07
1.75,2.77161e+07,2.77161e+07
2,2.77155e+07,2.77155e+07
2.25,2.77149e+07,2.77149e+07
2.5,2.77143e+07,2.77143e+07
2.75,2.77136e+07,2.77136e+07
3,2.77128e+07,2.77128e+07
3.25,2.7712e+07,2.7712e+07
3.5,2.77111e+07,2.77111e+07
3.75,2.77102e+07,2.77102e+07
4,2.77093e+07,2.77093e+07
4.25,2.77083e+07,2.77083e+07
4.5,2.77072e+07,2.77072e+07
4.75,2.77059e+07,2.77059e+07
5,2.77046e+07,2.77046e+07
5.25,2.77034e+07,2.77034e+07
5.5,2.7702e+07,2.7702e+07
5.75,2.77007e+07,2.77007e+07
6,2.76989e+07,2.76989e+07
6.25,2.7697e+07,2.7697e+07
6.5,2.76952e+07,2.76952e+07
6.75,2.76934e+07,2.76934e+07
7,2.76913e+07,2.76913e+07
7.25,2.76892e+07,2.76892e+07
7.5,2.76867e+07,2.76867e+07
7.75,2.76841e+07,2.76841e+07
8,2.76813e+07,2.76813e+07
8.25,2.76781e+07,2.76781e+07
8.5,2.76754e+07,2.76754e+07
8.75,2.76727e+07,2.76727e+07
9,2.76693e+07,2.76693e+07
9.25,2.76653e+07,2.76653e+07
9.5,2.76617e+07,2.76617e+07
9.75,2.76577e+07,2.76577e+07
10,2.76534e+07,2.76534e+07
10.25,2.76491e+07,2.76491e+07
10.5,2.76438e+07,2.76438e+07
10.75,2.76385e+07,2.76385e+07
11,2.76331e+07,2.76331e+07
11.25,2.76275e+07,2.76275e+07
11.5,2.76219e+07,2.76219e+07
11.75,2.76156e+07,2.76156e+07
12,2.76089e+07,2.76089e+07
12.25,2.76017e+07,2.76017e+07
12.5,2.75939e+07,2.75939e+07
12.75,2.75856e+07,2.75856e+07
13,2.75775e+07,2.75775e+07
13.25,2.75689e+07,2.75689e+07
13.5,2.75594e+07,2.75594e+07
13.75,2.75497e+07,2.75497e+07
14,2.75387e+07,2.75387e+07
14.25,2.75272e+07,2.75272e+07
14.5,2.75153e+07,2.75153e+07
14.75,2.75033e+07,2.75033e+07
15,2.74898e+07,2.74898e+07
15.25,2.74761e+07,2.74761e+07
15.5,2.74619e+07,2.74619e+07
15.75,2.74469e+07,2.74469e+07
16,2.74315e+07,2.74315e+07
16.25,2.74142e+07,2.74142e+07
16.5,2.73969e+07,2.73969e+07
16.75,2.73777e+07,2.73777e+07
17,2.73579e+07,2.73579e+07
17.25,2.73382e+07,2.73382e+07
17.5,2.73167e+07,2.73167e+07
