Time,infections_by_new_infectives
0,0
0.25,27236.3
0.5,26653.2
0.75,23311.7
1,24016.7
1.25,19653
1.5,17684.2
1.75,16972.3
2,16869.9
2.25,15079.4
2.5,15001.5
2.75,16496.2
3,15604.2
3.25,16586
3.5,17795.5
3.75,19605.4
4,19201
4.25,19975
4.5,20333.6
4.75,24755.1
5,24960.9
5.25,22708.6
5.5,27118.4
5.75,29820.1
6,29669.5
6.25,32151.8
6.5,32744
6.75,35769.4
7,39903.5
7.25,41352.4
7.5,43889.8
7.75,45477.1
8,52197.8
8.25,56971.6
8.5,52875.2
8.75,57735.8
9,60818.6
9.25,69273
9.5,66306.7
9.75,69956.9
10,75520.5
10.25,80994.9
10.5,90232.3
10.75,91104.2
11,96429
11.25,100586
11.5,104049
11.75,108759
12,116439
12.25,118824
12.5,131562
12.75,133292
13,141971
13.25,147320
13.5,157863
13.75,163798
14,174693
14.25,184072
14.5,192359
14.75,202307
15,211344
15.25,218820
15.5,230282
15.75,243969
16,250226
16.25,265526
16.5,270946
16.75,286274
17,300150
17.25,307863
17.5,324302
17.75,339555
18,357559
18.25,366133
18.5,378994
18.75,397779
19,409669
19.25,424313
19.5,436509
19.75,457324
20,474512
20.25,482839
20.5,503501
20.75,518907
21,534824
21.25,547740
21.5,571427
21.75,578289
22,600511
22.25,620365
22.5,626647
22.75,640824
23,659395
23.25,669264
23.5,685555
23.75,701840
24,707285
24.25,717706
24.5,727044
24.75,744275
25,738640
25.25,748215
25.5,755764
25.75,765056
26,762339
26.25,757559
26.5,764783
26.75,759858
27,759522
27.25,753613
27.5,751977
27.75,745222
28,735800
28.25,719844
28.5,715829
28.75,702660
29,693286
29.25,676788
29.5,660739
29.75,646547
30,630759
30.25,610920
30.5,596162
30.75,577011
31,557845
31.25,539054
31.5,518922
31.75,500949
32,483890
32.25,462002
32.5,440991
32.75,421379
33,403894
33.25,387173
33.5,366173
33.75,350512
34,334090
34.25,319414
34.5,301802
34.75,287269
35,271114
35.25,256441
35.5,243359
35.75,229681
36,217315
36.25,206817
36.5,193790
36.75,183273
37,172570
37.25,163814
37.5,154366
37.75,144365
38,136605
38.25,128519
38.5,121519
38.75,114907
39,108691
39.25,101728
39.5,95366.5
39.75,90078.8
40,84963.9
40.25,80593.2
40.5,74582.1
40.75,71584.2
41,66895.3
41.25,62940.2
41.5,58856.4
41.75,56288.9
42,52853.3
42.25,49716.8
42.5,46948.3
42.75,44541.6
43,41724.4
43.25,39699.6
43.5,37129.8
43.75,35177.7
44,33159.6
44.25,31219.4
44.5,29242.8
44.75,28159.6
45,26649.1
45.25,24957.1
45.5,23824.9
45.75,22464.8
46,20940.2
46.25,19767.2
46.5,18871
46.75,17815.5
47,16949.8
47.25,15784.7
47.5,15130.4
47.75,14303.6
48,13743.6
48.25,12757.5
48.5,12145.8
48.75,11619.5
49,10963.2
49.25,10370
49.5,9910.32
49.75,9389.94
50,8966.11
50.25,8476.41
50.5,8106.58
50.75,7645.11
51,7263.41
51.25,6841.23
51.5,6518.89
51.75,6272.81
52,6062.8
52.25,5604.66
52.5,5374.92
52.75,5162.28
53,4943.4
53.25,4635.92
53.5,4292.61
53.75,4130.84
54,4194.06
54.25,3704.28
54.5,3608.51
54.75,3489.54
55,3372.77
55.25,3130.84
55.5,3012.71
55.75,2881.39
56,2751.16
56.25,2635.97
56.5,2528.91
56.75,2391.76
57,2233.68
57.25,2209.23
57.5,2199.58
57.75,1962.27
58,1841.2
58.25,1881.09
58.5,1752.37
58.75,1644.69
59,1625.57
59.25,1509.62
59.5,1527.95
59.75,1398.08
60,1379.46
60.25,1315.61
60.5,1268.53
60.75,1142.79
61,1093.9
61.25,1044.9
61.5,1107.86
61.75,1026.59
62,955.586
62.25,901.651
62.5,894.591
62.75,855.671
63,789.799
