Time,daily_new_deaths
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,3
17.5,3
17.75,3
18,1
18.25,2
18.5,3
18.75,4
19,2
19.25,4
19.5,4
19.75,5
20,1
20.25,2
20.5,2
20.75,5
21,1
21.25,1
21.5,2
21.75,2
22,1
22.25,2
22.5,2
22.75,3
23,3
23.25,4
23.5,8
23.75,9
24,1
24.25,3
24.5,4
24.75,9
25,4
25.25,8
25.5,10
25.75,17
26,3
26.25,5
26.5,8
26.75,13
27,1
27.25,3
27.5,13
27.75,17
28,4
28.25,11
28.5,14
28.75,20
29,6
29.25,9
29.5,19
29.75,25
30,8
30.25,14
30.5,23
30.75,31
31,8
31.25,17
31.5,28
31.75,33
32,13
32.25,21
32.5,39
32.75,52
33,10
33.25,25
33.5,38
33.75,54
34,20
34.25,50
34.5,68
34.75,92
35,14
35.25,36
35.5,58
35.75,77
36,29
36.25,55
36.5,82
36.75,117
37,33
37.25,61
37.5,97
37.75,134
38,46
38.25,88
38.5,130
38.75,173
39,61
39.25,110
39.5,163
39.75,224
40,58
40.25,140
40.5,213
40.75,298
41,79
41.25,177
41.5,244
41.75,318
42,91
42.25,173
42.5,270
42.75,366
43,105
43.25,215
43.5,320
43.75,463
44,119
44.25,267
44.5,417
44.75,562
45,137
45.25,314
45.5,478
45.75,640
46,173
46.25,377
46.5,579
46.75,771
47,195
47.25,379
47.5,600
47.75,841
48,215
48.25,441
48.5,636
48.75,870
49,252
49.25,496
49.5,773
49.75,1041
50,269
50.25,553
50.5,855
50.75,1149
51,293
51.25,611
51.5,902
51.75,1221
52,302
52.25,638
52.5,962
52.75,1284
53,337
53.25,691
53.5,1012
53.75,1328
54,292
54.25,634
54.5,939
54.75,1271
55,334
55.25,696
55.5,1001
55.75,1356
56,342
56.25,665
56.5,982
56.75,1298
57,352
57.25,660
57.5,1004
57.75,1326
58,305
58.25,652
58.5,967
58.75,1269
59,299
59.25,626
59.5,930
59.75,1220
60,291
60.25,541
60.5,838
60.75,1138
61,273
61.25,552
61.5,820
61.75,1089
62,267
62.25,528
62.5,777
62.75,1028
63,225
63.25,450
63.5,690
63.75,900
64,201
64.25,423
64.5,640
64.75,869
65,196
65.25,372
65.5,570
65.75,760
66,203
66.25,390
66.5,588
66.75,775
67,148
67.25,302
67.5,461
67.75,609
68,158
68.25,302
68.5,447
68.75,591
69,143
69.25,293
69.5,424
69.75,548
70,146
70.25,260
70.5,368
70.75,491
71,108
71.25,219
71.5,310
71.75,416
72,86
72.25,171
72.5,265
72.75,362
73,81
73.25,149
73.5,232
73.75,316
74,66
74.25,126
74.5,192
74.75,264
75,68
75.25,135
75.5,195
75.75,247
76,62
76.25,123
76.5,173
76.75,245
77,57
77.25,110
77.5,149
77.75,199
78,42
78.25,81
78.5,125
78.75,156
79,45
79.25,84
79.5,130
79.75,172
80,27
80.25,54
80.5,90
80.75,122
81,20
81.25,48
81.5,70
81.75,109
82,25
82.25,47
82.5,77
82.75,113
83,21
83.25,44
83.5,65
83.75,84
84,25
84.25,35
84.5,55
84.75,76
85,13
85.25,31
85.5,48
85.75,64
86,25
86.25,33
86.5,48
86.75,58
87,16
87.25,24
87.5,36
87.75,43
88,10
88.25,26
88.5,40
88.75,53
89,9
89.25,16
89.5,27
89.75,40
90,9
90.25,18
90.5,30
90.75,39
91,4
91.25,14
91.5,23
91.75,25
92,5
92.25,9
92.5,14
92.75,18
93,1
93.25,6
93.5,11
93.75,14
94,2
94.25,6
94.5,10
94.75,16
95,5
95.25,10
95.5,12
95.75,13
96,1
96.25,6
96.5,9
96.75,13
97,3
97.25,8
97.5,9
97.75,12
98,2
98.25,4
98.5,8
98.75,12
99,3
99.25,4
99.5,5
99.75,6
100,1
100.25,3
100.5,6
100.75,7
101,1
101.25,2
101.5,2
101.75,4
102,1
102.25,3
102.5,4
102.75,7
103,1
103.25,2
103.5,3
103.75,4
104,0
104.25,0
104.5,0
104.75,0
105,0
105.25,3
105.5,4
105.75,7
106,0
106.25,2
106.5,3
106.75,7
107,2
107.25,4
107.5,4
107.75,4
108,0
108.25,1
108.5,1
108.75,1
109,0
109.25,0
109.5,2
109.75,2
110,2
110.25,2
110.5,4
110.75,4
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,1
112.5,1
112.75,1
113,0
113.25,0
113.5,1
113.75,1
114,1
114.25,1
114.5,1
114.75,1
115,0
115.25,0
115.5,1
115.75,2
116,0
116.25,1
116.5,1
116.75,1
117,1
117.25,1
117.5,2
117.75,2
118,0
118.25,0
118.5,0
118.75,1
119,0
119.25,0
119.5,0
119.75,0
