Time,total_fraction_lambda_H
0,-nan
0.25,-nan
0.5,-nan
0.75,0.988133
1,0.983828
1.25,0.978503
1.5,0.967809
1.75,0.969956
2,0.967068
2.25,0.965216
2.5,0.948593
2.75,0.950627
3,0.950452
3.25,0.948584
3.5,0.940498
3.75,0.936281
4,0.938155
4.25,0.943375
4.5,0.950209
4.75,0.942755
5,0.942013
5.25,0.927141
5.5,0.925558
5.75,0.940719
6,0.925897
6.25,0.933754
6.5,0.931547
6.75,0.932606
7,0.928632
7.25,0.916473
7.5,0.928096
7.75,0.928339
8,0.926594
8.25,0.912568
8.5,0.916405
8.75,0.9198
9,0.905754
9.25,0.915304
9.5,0.918353
9.75,0.917449
10,0.905134
10.25,0.914919
10.5,0.918956
10.75,0.915374
11,0.917539
11.25,0.909099
11.5,0.908274
11.75,0.909485
12,0.914373
12.25,0.915875
12.5,0.912502
12.75,0.911345
13,0.908407
13.25,0.906574
13.5,0.911983
13.75,0.90992
14,0.90793
14.25,0.908375
14.5,0.902433
14.75,0.901861
15,0.89962
15.25,0.897925
15.5,0.903026
15.75,0.899445
16,0.902481
16.25,0.903156
16.5,0.903833
16.75,0.897863
17,0.89529
17.25,0.892273
17.5,0.891697
17.75,0.890385
18,0.891832
18.25,0.888523
18.5,0.884395
18.75,0.886286
19,0.883789
19.25,0.882611
19.5,0.883105
19.75,0.879151
20,0.878947
20.25,0.87688
20.5,0.873664
20.75,0.873282
21,0.868415
21.25,0.87008
21.5,0.865794
21.75,0.863284
22,0.861767
22.25,0.857896
22.5,0.855258
22.75,0.856021
23,0.853685
23.25,0.85029
23.5,0.846944
23.75,0.844265
24,0.838466
24.25,0.835321
24.5,0.833179
24.75,0.83298
25,0.829075
25.25,0.827466
25.5,0.824643
25.75,0.819126
26,0.817198
26.25,0.81399
26.5,0.812184
26.75,0.806802
27,0.806009
27.25,0.800935
27.5,0.800712
27.75,0.794867
28,0.793801
28.25,0.792846
28.5,0.787235
28.75,0.783374
29,0.783887
29.25,0.779969
29.5,0.777671
29.75,0.780328
30,0.773175
30.25,0.772407
30.5,0.770103
30.75,0.768497
31,0.768256
31.25,0.767971
31.5,0.766147
31.75,0.764829
32,0.767439
32.25,0.767016
32.5,0.764205
32.75,0.765659
33,0.765794
33.25,0.765442
33.5,0.766399
33.75,0.771016
34,0.771781
34.25,0.774415
34.5,0.773568
34.75,0.778123
35,0.778941
35.25,0.781859
35.5,0.78364
35.75,0.786716
36,0.789112
36.25,0.793011
36.5,0.794616
36.75,0.79968
37,0.801195
37.25,0.806766
37.5,0.811702
37.75,0.812745
38,0.814868
38.25,0.818724
38.5,0.823929
38.75,0.822103
39,0.824534
39.25,0.833024
39.5,0.83788
39.75,0.838865
40,0.83946
40.25,0.846169
40.5,0.848708
40.75,0.852592
41,0.85277
41.25,0.858295
41.5,0.861484
41.75,0.867551
42,0.866091
42.25,0.869279
42.5,0.869381
42.75,0.876943
43,0.877618
43.25,0.87885
43.5,0.884464
43.75,0.890772
44,0.884884
44.25,0.890155
44.5,0.890844
44.75,0.896939
45,0.897017
45.25,0.899521
45.5,0.898719
45.75,0.90891
46,0.904868
46.25,0.909264
46.5,0.905619
46.75,0.909175
47,0.912008
47.25,0.91002
47.5,0.919201
47.75,0.917246
48,0.918002
48.25,0.924029
48.5,0.926114
48.75,0.923292
49,0.924325
49.25,0.929355
49.5,0.934067
49.75,0.928147
50,0.927328
50.25,0.93355
50.5,0.93733
50.75,0.93378
51,0.941236
51.25,0.942581
51.5,0.944525
51.75,0.943299
52,0.948929
52.25,0.946979
52.5,0.947319
52.75,0.942354
53,0.940643
53.25,0.957997
53.5,0.948929
53.75,0.952703
54,0.952449
54.25,0.955784
54.5,0.955469
54.75,0.951789
55,0.95469
55.25,0.942974
55.5,0.958132
55.75,0.95444
56,0.959671
56.25,0.961569
56.5,0.962755
56.75,0.964865
57,0.962114
57.25,0.970743
57.5,0.962037
57.75,0.948708
58,0.968552
58.25,0.949713
58.5,0.964154
58.75,0.969612
59,0.967456
59.25,0.958726
59.5,0.972941
59.75,0.973388
60,0.967434
60.25,0.972404
60.5,0.976556
60.75,0.947681
61,0.985671
61.25,0.968037
61.5,0.978048
61.75,0.970291
62,0.97369
62.25,0.976578
62.5,0.976387
62.75,0.975189
63,0.983495
63.25,0.983558
63.5,0.975278
63.75,0.97823
64,0.966681
64.25,0.981847
64.5,0.962878
64.75,0.971693
65,0.97575
65.25,0.981848
65.5,0.9883
65.75,0.976624
66,0.977473
66.25,0.952694
66.5,0.961508
66.75,0.985562
67,0.985694
67.25,0.991398
67.5,0.982601
67.75,0.982511
68,0.97944
68.25,0.987147
68.5,0.991585
68.75,0.989737
69,0.970206
69.25,0.973083
69.5,0.992911
69.75,0.980899
70,0.982155
70.25,0.987956
70.5,0.988869
70.75,0.967365
71,0.951323
71.25,0.995297
71.5,0.971435
71.75,0.974356
72,0.970497
72.25,0.96878
72.5,0.981644
72.75,0.972309
73,0.994576
73.25,0.984852
73.5,0.998801
73.75,0.985674
74,0.995973
74.25,0.984125
74.5,0.993759
74.75,0.978024
75,0.976293
75.25,0.982183
75.5,0.981646
75.75,0.990665
76,0.937067
76.25,0.988307
76.5,0.96778
76.75,0.986698
77,0.995462
77.25,0.996114
77.5,0.985112
77.75,0.999384
78,0.994149
78.25,0.99871
78.5,0.997992
78.75,0.953752
79,0.981339
79.25,0.995038
79.5,0.998659
79.75,0.987497
80,0.999527
80.25,0.993261
80.5,0.976051
80.75,0.999553
81,0.996175
81.25,0.988364
81.5,0.990464
81.75,0.987059
82,0.999537
82.25,0.973288
82.5,0.999242
82.75,0.993653
83,0.999806
83.25,0.999835
83.5,0.999814
83.75,0.992371
84,0.790799
84.25,0.959792
84.5,0.999367
84.75,0.999534
85,0.999527
85.25,0.99693
85.5,0.999538
85.75,0.999035
86,0.99953
86.25,0.999691
86.5,0.997009
86.75,0.999856
87,0.999883
