Time,susceptible_lambda_H
0,0
0.25,0
0.5,2396.57
0.75,2988.99
1,3530.45
1.25,3929.52
1.5,4107.99
1.75,4023.17
2,3900.61
2.25,3555.49
2.5,3474.2
2.75,3348.06
3,3244.51
3.25,3306.74
3.5,3315.5
3.75,3300.35
4,3579.21
4.25,3847.77
4.5,3817.45
4.75,3964.28
5,4055.63
5.25,4196.81
5.5,4422.83
5.75,4476.81
6,4949.93
6.25,5204.86
6.5,5690.28
6.75,5557.73
7,5525.43
7.25,6254.96
7.5,6847.1
7.75,7591.81
8,7778.73
8.25,8541.92
8.5,9132.71
8.75,9460.91
9,10099.8
9.25,10640.1
9.5,11651.9
9.75,11873.7
10,12947.4
10.25,13709
10.5,14853.1
10.75,16089.3
11,16689.2
11.25,17292.1
11.5,18313
11.75,19566.4
12,20385.2
12.25,21685.9
12.5,22812.7
12.75,24356.1
13,25843.2
13.25,27558.5
13.5,28861.7
13.75,30753.1
14,32228.6
14.25,33342.6
14.5,35446
14.75,37162.5
15,39130.6
15.25,41458.8
15.5,44094.6
15.75,46336.9
16,48538.1
16.25,51621.2
16.5,53403.3
16.75,56079.5
17,59968.8
17.25,62445.8
17.5,65408.3
17.75,69106.7
18,73033.8
18.25,76932.4
18.5,81063.4
18.75,85267.9
19,89137.8
19.25,92854.8
19.5,96884.3
19.75,101251
20,105204
20.25,110135
20.5,114838
20.75,119977
21,126494
21.25,130280
21.5,134840
21.75,140860
22,147093
22.25,152440
22.5,159596
22.75,165138
23,170856
23.25,177765
23.5,182408
23.75,186810
24,192664
24.25,198044
24.5,205548
24.75,210714
25,217509
25.25,223392
25.5,228440
25.75,233121
26,238055
26.25,243093
26.5,245823
26.75,250975
27,255348
27.25,259268
27.5,261169
27.75,264355
28,266962
28.25,267423
28.5,268643
28.75,270665
29,270369
29.25,270065
29.5,272196
29.75,268509
30,267460
30.25,264728
30.5,262245
30.75,260239
31,257500
31.25,253157
31.5,249836
31.75,246148
32,241365
32.25,235453
32.5,230446
32.75,225363
33,218710
33.25,213266
33.5,208348
33.75,202214
34,196064
34.25,189593
34.5,184992
34.75,178485
35,171696
35.25,166275
35.5,159936
35.75,153331
36,148069
36.25,141854
36.5,136297
36.75,131128
37,126795
37.25,122014
37.5,115984
37.75,111264
38,106446
38.25,101433
38.5,96681.6
38.75,92413.8
39,89287.6
39.25,85506
39.5,80895.8
39.75,76837.8
40,74290.2
40.25,70688.5
40.5,67710.9
40.75,63734
41,61374
41.25,58445.1
41.5,55599
41.75,52371.7
42,50135.4
42.25,47977.8
42.5,46454
42.75,43865.9
43,41386.2
43.25,40202.9
43.5,38648.9
43.75,36573.8
44,34759.1
44.25,32881
44.5,31276
44.75,29568.5
45,28198.8
45.25,26964.7
45.5,26085.7
45.75,24527.2
46,23637.5
46.25,22296.1
46.5,21006.5
46.75,20392.8
47,19456.8
47.25,18536.7
47.5,17952.2
47.75,16844.1
48,16108.2
48.25,15842
48.5,15184.6
48.75,14263.1
49,13935
49.25,13475.7
49.5,12309.4
49.75,11898.5
50,11321.2
50.25,10998.2
50.5,10454.3
50.75,9958.92
51,9613.72
51.25,9276.72
51.5,8685.97
51.75,8500.75
52,8045.21
52.25,7686.38
52.5,7456.63
52.75,7089.25
53,6979.82
53.25,6547.52
53.5,6402.93
53.75,5926.92
54,5683.5
54.25,5444.12
54.5,5227.99
54.75,5028.87
55,4769.63
55.25,4747.95
55.5,4416.05
55.75,4161.43
56,4032.94
56.25,4051.44
56.5,3793.57
56.75,3829.17
57,3536.92
57.25,3267.84
57.5,3205
57.75,2974.42
58,2741.86
58.25,2725.41
58.5,2617.57
58.75,2547.77
59,2367.74
59.25,2325.95
59.5,2276.96
59.75,2100.75
60,2075.09
60.25,1967.65
60.5,1937.29
60.75,1917.76
61,1737.4
61.25,1781.97
61.5,1721.75
61.75,1541.01
62,1519.78
62.25,1469.64
62.5,1423.01
62.75,1345.91
63,1271.98
63.25,1193.61
63.5,1157.22
63.75,1113.63
64,1106.18
64.25,1071.81
64.5,1035.05
64.75,1080.18
65,990.128
65.25,885.445
65.5,894.182
65.75,842.385
66,798.213
66.25,723.682
66.5,732.247
