Time,cumulative_new_critical
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,5
10.25,5
10.5,5
10.75,5
11,14
11.25,14
11.5,14
11.75,14
12,26
12.25,26
12.5,26
12.75,26
13,32
13.25,32
13.5,32
13.75,32
14,41
14.25,41
14.5,41
14.75,41
15,52
15.25,52
15.5,52
15.75,52
16,69
16.25,69
16.5,69
16.75,69
17,87
17.25,87
17.5,87
17.75,87
18,111
18.25,111
18.5,111
18.75,111
19,145
19.25,145
19.5,145
19.75,145
20,173
20.25,173
20.5,173
20.75,173
21,208
21.25,208
21.5,208
21.75,208
22,261
22.25,261
22.5,261
22.75,261
23,321
23.25,321
23.5,321
23.75,321
24,389
24.25,389
24.5,389
24.75,389
25,486
25.25,486
25.5,486
25.75,486
26,599
26.25,599
26.5,599
26.75,599
27,779
27.25,779
27.5,779
27.75,779
28,949
28.25,949
28.5,949
28.75,949
29,1181
29.25,1181
29.5,1181
29.75,1181
30,1456
30.25,1456
30.5,1456
30.75,1456
31,1803
31.25,1803
31.5,1803
31.75,1803
32,2245
32.25,2245
32.5,2245
32.75,2245
33,2830
33.25,2830
33.5,2830
33.75,2830
34,3476
34.25,3476
34.5,3476
34.75,3476
35,4225
35.25,4225
35.5,4225
35.75,4225
36,5146
36.25,5146
36.5,5146
36.75,5146
37,6240
37.25,6240
37.5,6240
37.75,6240
38,7549
38.25,7549
38.5,7549
38.75,7549
39,9035
39.25,9035
39.5,9035
39.75,9035
40,10702
40.25,10702
40.5,10702
40.75,10702
41,12468
41.25,12468
41.5,12468
41.75,12468
42,14527
42.25,14527
42.5,14527
42.75,14527
43,16837
43.25,16837
43.5,16837
43.75,16837
44,19136
44.25,19136
44.5,19136
44.75,19136
45,21729
45.25,21729
45.5,21729
45.75,21729
46,24357
46.25,24357
46.5,24357
46.75,24357
47,27003
47.25,27003
47.5,27003
47.75,27003
48,29700
48.25,29700
48.5,29700
48.75,29700
49,32405
49.25,32405
49.5,32405
49.75,32405
50,35038
50.25,35038
50.5,35038
50.75,35038
51,37588
51.25,37588
51.5,37588
51.75,37588
52,40017
52.25,40017
52.5,40017
52.75,40017
53,42331
53.25,42331
53.5,42331
53.75,42331
54,44454
54.25,44454
54.5,44454
54.75,44454
55,46499
55.25,46499
55.5,46499
55.75,46499
56,48325
56.25,48325
56.5,48325
56.75,48325
57,50071
57.25,50071
57.5,50071
57.75,50071
58,51656
58.25,51656
58.5,51656
58.75,51656
59,53153
59.25,53153
59.5,53153
59.75,53153
60,54369
60.25,54369
60.5,54369
60.75,54369
61,55502
61.25,55502
61.5,55502
61.75,55502
62,56574
62.25,56574
62.5,56574
62.75,56574
63,57534
63.25,57534
63.5,57534
63.75,57534
64,58372
64.25,58372
64.5,58372
64.75,58372
65,59080
65.25,59080
65.5,59080
65.75,59080
66,59719
66.25,59719
66.5,59719
66.75,59719
67,60267
67.25,60267
67.5,60267
67.75,60267
68,60777
68.25,60777
68.5,60777
68.75,60777
69,61237
69.25,61237
69.5,61237
69.75,61237
70,61603
70.25,61603
70.5,61603
70.75,61603
71,61917
71.25,61917
71.5,61917
71.75,61917
72,62226
72.25,62226
72.5,62226
72.75,62226
73,62508
73.25,62508
73.5,62508
73.75,62508
74,62742
74.25,62742
74.5,62742
74.75,62742
75,62956
75.25,62956
75.5,62956
75.75,62956
76,63124
76.25,63124
76.5,63124
76.75,63124
77,63287
77.25,63287
77.5,63287
77.75,63287
78,63419
78.25,63419
78.5,63419
78.75,63419
79,63524
79.25,63524
79.5,63524
79.75,63524
80,63618
80.25,63618
80.5,63618
80.75,63618
81,63709
81.25,63709
81.5,63709
81.75,63709
82,63791
82.25,63791
82.5,63791
82.75,63791
83,63859
83.25,63859
83.5,63859
83.75,63859
84,63905
84.25,63905
84.5,63905
