Time,susceptible_lambda_W
99.75,0.0862264
100,0.0862264
100.25,0.0862264
100.5,0.086059
100.75,0.086059
101,0.0618066
101.25,0.0618066
101.5,0.0618066
101.75,0.0618066
102,0.0618066
102.25,0.0618066
102.5,0.06148
102.75,0.0331724
103,0.0331724
103.25,0.0331383
103.5,0.0331383
103.75,0.0331383
104,0.0331383
104.25,0.0331383
104.5,0.0331054
104.75,0.0331054
105,0.0331054
105.25,0.0331054
105.5,0.0331054
105.75,0.142902
106,0.142902
106.25,0.142902
106.5,0.142902
106.75,0.1978
107,0.1978
107.25,0.1978
107.5,0.116866
107.75,0.116866
108,0.116866
108.25,0.00632467
108.5,0.00632467
108.75,0.00632467
109,0.00632467
109.25,0.00632467
109.5,0.00632467
109.75,0.00632467
110,0.00632467
110.25,0.00632467
110.5,0.00632467
110.75,0.00632467
111,0.00632467
111.25,0.00632467
111.5,0.00632467
111.75,0.00632467
112,0.00632467
112.25,0.00632467
112.5,0.00632467
112.75,0.00632467
113,0.00632467
113.25,0.00632467
113.5,0.00632467
113.75,0.00632467
114,0.00631086
114.25,0.00631086
114.5,0.00631086
114.75,0.00631086
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
