Time,cumulative_new_exposed
0,0
0.25,0
0.5,0
0.75,0
1,670
1.25,670
1.5,670
1.75,670
2,6051
2.25,6051
2.5,6051
2.75,6051
3,13583
3.25,13583
3.5,13583
3.75,13583
4,21940
4.25,21940
4.5,21940
4.75,21940
5,32177
5.25,32177
5.5,32177
5.75,32177
6,45101
6.25,45101
6.5,45101
6.75,45101
7,60650
7.25,60650
7.5,60650
7.75,60650
8,79885
8.25,79885
8.5,79885
8.75,79885
9,105070
9.25,105070
9.5,105070
9.75,105070
10,136998
10.25,136998
10.5,136998
10.75,136998
11,176945
11.25,176945
11.5,176945
11.75,176945
12,227316
12.25,227316
12.5,227316
12.75,227316
13,289534
13.25,289534
13.5,289534
13.75,289534
14,366805
14.25,366805
14.5,366805
14.75,366805
15,462530
15.25,462530
15.5,462530
15.75,462530
16,579672
16.25,579672
16.5,579672
16.75,579672
17,722784
17.25,722784
17.5,722784
17.75,722784
18,897592
18.25,897592
18.5,897592
18.75,897592
19,1109850
19.25,1109850
19.5,1109850
19.75,1109850
20,1364714
20.25,1364714
20.5,1364714
20.75,1364714
21,1667766
21.25,1667766
21.5,1667766
21.75,1667766
22,2025695
22.25,2025695
22.5,2025695
22.75,2025695
23,2441518
23.25,2441518
23.5,2441518
23.75,2441518
24,2920991
24.25,2920991
24.5,2920991
24.75,2920991
25,3459644
25.25,3459644
25.5,3459644
25.75,3459644
26,4056566
26.25,4056566
26.5,4056566
26.75,4056566
27,4700329
27.25,4700329
27.5,4700329
27.75,4700329
28,5379071
28.25,5379071
28.5,5379071
28.75,5379071
29,6074625
29.25,6074625
29.5,6074625
29.75,6074625
30,6766723
30.25,6766723
30.5,6766723
30.75,6766723
31,7432450
31.25,7432450
31.5,7432450
31.75,7432450
32,8055681
32.25,8055681
32.5,8055681
32.75,8055681
33,8622548
33.25,8622548
33.5,8622548
33.75,8622548
34,9124005
34.25,9124005
34.5,9124005
34.75,9124005
35,9557399
35.25,9557399
35.5,9557399
35.75,9557399
36,9927529
36.25,9927529
36.5,9927529
36.75,9927529
37,10237493
37.25,10237493
37.5,10237493
37.75,10237493
38,10495358
38.25,10495358
38.5,10495358
38.75,10495358
39,10708292
39.25,10708292
39.5,10708292
39.75,10708292
40,10884061
40.25,10884061
40.5,10884061
40.75,10884061
41,11029290
41.25,11029290
41.5,11029290
41.75,11029290
42,11148947
42.25,11148947
42.5,11148947
42.75,11148947
43,11247370
43.25,11247370
43.5,11247370
43.75,11247370
44,11329389
44.25,11329389
44.5,11329389
44.75,11329389
45,11397702
45.25,11397702
45.5,11397702
45.75,11397702
46,11453943
46.25,11453943
46.5,11453943
46.75,11453943
47,11500920
47.25,11500920
47.5,11500920
47.75,11500920
48,11540111
48.25,11540111
48.5,11540111
48.75,11540111
49,11572875
49.25,11572875
49.5,11572875
49.75,11572875
50,11600728
50.25,11600728
50.5,11600728
50.75,11600728
51,11624145
51.25,11624145
51.5,11624145
51.75,11624145
52,11643801
52.25,11643801
52.5,11643801
52.75,11643801
53,11660667
53.25,11660667
53.5,11660667
53.75,11660667
54,11674921
54.25,11674921
54.5,11674921
54.75,11674921
55,11687102
55.25,11687102
55.5,11687102
55.75,11687102
56,11697437
56.25,11697437
56.5,11697437
56.75,11697437
57,11706167
57.25,11706167
57.5,11706167
57.75,11706167
58,11713635
58.25,11713635
58.5,11713635
58.75,11713635
59,11719903
59.25,11719903
59.5,11719903
59.75,11719903
60,11725251
60.25,11725251
60.5,11725251
60.75,11725251
61,11729750
61.25,11729750
61.5,11729750
61.75,11729750
62,11733625
62.25,11733625
62.5,11733625
62.75,11733625
63,11736987
63.25,11736987
63.5,11736987
63.75,11736987
64,11739848
64.25,11739848
64.5,11739848
64.75,11739848
65,11742234
65.25,11742234
65.5,11742234
65.75,11742234
66,11744311
66.25,11744311
66.5,11744311
66.75,11744311
67,11746101
67.25,11746101
67.5,11746101
67.75,11746101
68,11747591
68.25,11747591
68.5,11747591
68.75,11747591
69,11748891
69.25,11748891
69.5,11748891
69.75,11748891
70,11750064
70.25,11750064
70.5,11750064
70.75,11750064
71,11750989
71.25,11750989
71.5,11750989
71.75,11750989
72,11751768
