Time,daily_new_detected
0,0
0.25,0
0.5,0
0.75,38
1,58
1.25,129
1.5,241
1.75,373
2,128
2.25,272
2.5,421
2.75,580
3,188
3.25,366
3.5,574
3.75,783
4,214
4.25,439
4.5,685
4.75,924
5,263
5.25,546
5.5,841
5.75,1167
6,355
6.25,727
6.5,1109
6.75,1519
7,413
7.25,897
7.5,1386
7.75,1908
8,541
8.25,1125
8.5,1720
8.75,2360
9,689
9.25,1385
9.5,2133
9.75,2948
10,833
10.25,1787
10.5,2714
10.75,3686
11,1097
11.25,2241
11.5,3511
11.75,4825
12,1315
12.25,2722
12.5,4186
12.75,5747
13,1715
13.25,3461
13.5,5428
13.75,7447
14,2077
14.25,4321
14.5,6812
14.75,9372
15,2675
15.25,5613
15.5,8620
15.75,11873
16,3441
16.25,7049
16.5,10907
16.75,14943
17,4201
17.25,8647
17.5,13314
17.75,18337
18,5210
18.25,10735
18.5,16654
18.75,22858
19,6714
19.25,13541
19.5,20852
19.75,28489
20,8008
20.25,16493
20.5,25476
20.75,34801
21,9864
21.25,20354
21.5,31506
21.75,43173
22,11993
22.25,25027
22.5,38601
22.75,52620
23,15138
23.25,30487
23.5,46898
23.75,64264
24,18130
24.25,37231
24.5,56903
24.75,77553
25,21763
25.25,44313
25.5,67689
25.75,92355
26,25866
26.25,52748
26.5,80790
26.75,110215
27,30137
27.25,62030
27.5,94806
27.75,128905
28,35261
28.25,72066
28.5,110124
28.75,149839
29,40687
29.25,82759
29.5,126547
29.75,171436
30,46709
30.25,94775
30.5,144344
30.75,195265
31,51658
31.25,105146
31.5,160384
31.75,216474
32,57236
32.25,115986
32.5,176285
32.75,237339
33,61833
33.25,125030
33.5,189174
33.75,254495
34,65952
34.25,132579
34.5,200653
34.75,269271
35,69182
35.25,138992
35.5,209060
35.75,279629
36,70992
36.25,142457
36.5,214103
36.75,285510
37,72183
37.25,144455
37.5,215874
37.75,287451
38,71174
38.25,141852
38.5,212339
38.75,282693
39,69414
39.25,138921
39.5,207242
39.75,275137
40,67170
40.25,133687
40.5,199513
40.75,264478
41,64354
41.25,128066
41.5,190344
41.75,252120
42,60274
42.25,119030
42.5,177145
42.75,233830
43,56012
43.25,111250
43.5,165189
43.75,218239
44,51941
44.25,102415
44.5,151411
44.75,200217
45,47339
45.25,93602
45.5,138554
45.75,182677
46,42950
46.25,84856
46.5,125678
46.75,165287
47,38668
47.25,76293
47.5,112936
47.75,148756
48,34952
48.25,68823
48.5,101882
48.75,133640
49,31025
49.25,60815
49.5,90049
49.75,118448
50,27350
50.25,54118
50.5,79853
50.75,104630
51,24246
51.25,47725
51.5,70447
51.75,92449
52,21154
52.25,41786
52.5,61738
52.75,80904
53,18582
53.25,36370
53.5,53684
53.75,70541
54,16508
54.25,32202
54.5,47480
54.75,61999
55,13988
55.25,27760
55.5,40710
55.75,53452
56,12392
56.25,24375
56.5,35991
56.75,47004
57,10998
57.25,21444
57.5,31329
57.75,41055
58,9224
58.25,18237
58.5,26687
58.75,35039
59,7940
59.25,15633
59.5,23277
59.75,30582
60,7009
60.25,13818
60.5,20271
60.75,26513
61,6076
61.25,11758
61.5,17170
61.75,22687
62,5146
62.25,10025
62.5,14786
62.75,19327
63,4372
63.25,8591
63.5,12815
63.75,16748
64,3806
64.25,7439
64.5,11021
64.75,14501
65,3218
65.25,6306
65.5,9422
65.75,12357
66,2853
66.25,5608
66.5,8274
66.75,10910
67,2419
67.25,4713
67.5,6972
67.75,9120
68,2228
68.25,4218
68.5,6080
68.75,7886
69,1834
69.25,3587
69.5,5285
69.75,6877
70,1549
70.25,3058
70.5,4476
70.75,5845
71,1363
71.25,2610
71.5,3797
71.75,4956
72,1127
72.25,2252
72.5,3290
72.75,4311
73,977
73.25,1931
73.5,2864
73.75,3714
74,819
74.25,1617
74.5,2375
74.75,3140
75,721
75.25,1426
75.5,2104
75.75,2748
76,590
76.25,1196
76.5,1744
76.75,2273
77,497
77.25,979
77.5,1430
77.75,1946
78,426
78.25,856
78.5,1268
78.75,1676
79,393
79.25,785
79.5,1179
79.75,1522
80,336
80.25,634
80.5,932
80.75,1233
81,275
81.25,527
81.5,758
81.75,1002
