Time,cumulative_mean_fraction_lambda_H
0,0
0.25,0
0.5,0
0.75,0.662638
1,0.616706
1.25,0.581485
1.5,0.553809
1.75,0.530954
2,0.512241
2.25,0.496719
2.5,0.477503
2.75,0.462377
3,0.448949
3.25,0.43534
3.5,0.423927
3.75,0.411251
4,0.400676
4.25,0.390801
4.5,0.382919
4.75,0.373874
5,0.3672
5.25,0.358044
5.5,0.351078
5.75,0.345323
6,0.338667
6.25,0.334026
6.5,0.329581
6.75,0.325486
7,0.321443
7.25,0.316741
7.5,0.313518
7.75,0.311091
8,0.308473
8.25,0.305148
8.5,0.30245
8.75,0.299691
9,0.296679
9.25,0.294403
9.5,0.29241
9.75,0.290875
10,0.289068
10.25,0.287763
10.5,0.286805
10.75,0.286141
11,0.285815
11.25,0.285533
11.5,0.284695
11.75,0.284126
12,0.284702
12.25,0.284523
12.5,0.284319
12.75,0.283896
13,0.28378
13.25,0.28368
13.5,0.283643
13.75,0.283539
14,0.283362
14.25,0.283498
14.5,0.283432
14.75,0.28323
15,0.283027
15.25,0.28301
15.5,0.283164
15.75,0.28321
16,0.283503
16.25,0.283889
16.5,0.284049
16.75,0.284103
17,0.283983
17.25,0.284108
17.5,0.284182
17.75,0.284079
18,0.284454
18.25,0.284651
18.5,0.284861
18.75,0.285123
19,0.285336
19.25,0.285653
19.5,0.285827
19.75,0.285958
20,0.286184
20.25,0.286357
20.5,0.286523
20.75,0.286678
21,0.286774
21.25,0.287023
21.5,0.287246
21.75,0.287414
22,0.287661
22.25,0.287853
22.5,0.288038
22.75,0.28837
23,0.288645
23.25,0.288965
23.5,0.289307
23.75,0.289579
24,0.28973
24.25,0.289871
24.5,0.290189
24.75,0.290501
25,0.290845
25.25,0.291138
25.5,0.291532
25.75,0.29185
26,0.292232
26.25,0.292597
26.5,0.293025
26.75,0.293391
27,0.293858
27.25,0.294208
27.5,0.294684
27.75,0.2951
28,0.295544
28.25,0.296095
28.5,0.29652
28.75,0.297019
29,0.297509
29.25,0.297963
29.5,0.298437
29.75,0.299
30,0.299512
30.25,0.300062
30.5,0.300604
30.75,0.301142
31,0.301702
31.25,0.302297
31.5,0.302874
31.75,0.303451
32,0.304031
32.25,0.304634
32.5,0.305242
32.75,0.305849
33,0.306444
33.25,0.307013
33.5,0.307605
33.75,0.308219
34,0.308801
34.25,0.309402
34.5,0.309966
34.75,0.310584
35,0.311136
35.25,0.311723
35.5,0.312278
35.75,0.312839
36,0.313382
36.25,0.313918
36.5,0.31443
36.75,0.314925
37,0.315401
37.25,0.315866
37.5,0.316334
37.75,0.316781
38,0.317198
38.25,0.317613
38.5,0.318014
38.75,0.318378
39,0.318719
39.25,0.319066
39.5,0.319414
39.75,0.319746
40,0.320037
40.25,0.320334
40.5,0.32061
40.75,0.320895
41,0.321145
41.25,0.321396
41.5,0.321642
41.75,0.321864
42,0.32207
42.25,0.322268
42.5,0.322457
42.75,0.32265
43,0.322822
43.25,0.322985
43.5,0.323142
43.75,0.323291
44,0.323423
44.25,0.323554
44.5,0.323678
44.75,0.323802
45,0.323921
45.25,0.324029
45.5,0.324128
45.75,0.324227
46,0.324314
46.25,0.324405
46.5,0.324485
46.75,0.324554
47,0.324631
47.25,0.324703
47.5,0.324765
47.75,0.324828
48,0.32489
48.25,0.324947
48.5,0.324993
48.75,0.325049
49,0.325101
49.25,0.325153
49.5,0.325201
49.75,0.325238
50,0.325278
50.25,0.325314
50.5,0.325349
50.75,0.325384
51,0.325413
51.25,0.325442
51.5,0.325471
51.75,0.325494
52,0.325521
52.25,0.325545
52.5,0.325564
52.75,0.325584
53,0.325602
53.25,0.325621
53.5,0.325643
53.75,0.325661
54,0.325677
54.25,0.325697
54.5,0.325713
54.75,0.325729
55,0.325743
55.25,0.325755
55.5,0.325767
55.75,0.325778
56,0.325786
56.25,0.325799
56.5,0.325811
56.75,0.325822
57,0.325834
57.25,0.325843
57.5,0.325851
57.75,0.325866
58,0.325878
58.25,0.325884
58.5,0.325891
58.75,0.325898
59,0.325906
59.25,0.325913
59.5,0.325919
59.75,0.325925
60,0.32593
60.25,0.325936
60.5,0.325941
60.75,0.325945
61,0.32595
