Time,susceptible_lambda_C
0,0
0.25,0
0.5,294.417
0.75,478.185
1,686.865
1.25,875.128
1.5,1033.49
1.75,1147.76
2,1294.59
2.25,1366.28
2.5,1470.35
2.75,1555.55
3,1599.23
3.25,1673.83
3.5,1763.15
3.75,1859.5
4,1997.32
4.25,2125.47
4.5,2272.26
4.75,2403.93
5,2555.9
5.25,2671.84
5.5,2784.23
5.75,2905.24
6,3045.35
6.25,3243.96
6.5,3466.02
6.75,3580.09
7,3724.63
7.25,3907.16
7.5,4142.51
7.75,4424.37
8,4741.58
8.25,4985.39
8.5,5377.39
8.75,5655.14
9,5953.15
9.25,6261.87
9.5,6646.04
9.75,7015.72
10,7433.51
10.25,7810.19
10.5,8286.83
10.75,8751.39
11,9208.78
11.25,9729.65
11.5,10307.5
11.75,10840.8
12,11474.3
12.25,12132.2
12.5,12807.5
12.75,13577
13,14360.2
13.25,15232
13.5,16180.5
13.75,17201.3
14,18170
14.25,19117.5
14.5,20256.2
14.75,21305.9
15,22370.7
15.25,23558.6
15.5,24875.8
15.75,26249.5
16,27777.9
16.25,29382.1
16.5,30946.7
16.75,32634.3
17,34384.9
17.25,36107.3
17.5,37941.5
17.75,39890.6
18,42028.8
18.25,44307.4
18.5,46460.9
18.75,49069.2
19,51406.5
19.25,53843.7
19.5,56296.4
19.75,59138
20,61800
20.25,64599
20.5,67509.1
20.75,70719
21,74065.5
21.25,77250.6
21.5,80337.1
21.75,83596.1
22,87203.4
22.25,90558.2
22.5,94311.2
22.75,97927.1
23,101641
23.25,105640
23.5,109542
23.75,113397
24,117173
24.25,120541
24.5,124550
24.75,128482
25,132423
25.25,136228
25.5,139790
25.75,143005
26,146337
26.25,149743
26.5,152724
26.75,155772
27,158435
27.25,161069
27.5,163527
27.75,165899
28,167912
28.25,169828
28.5,171474
28.75,172767
29,173796
29.25,174760
29.5,175483
29.75,175804
30,175592
30.25,174952
30.5,174491
30.75,173667
31,172499
31.25,171172
31.5,169340
31.75,167442
32,165346
32.25,163200
32.5,160750
32.75,157897
33,154928
33.25,151910
33.5,148802
33.75,145507
34,142066
34.25,138642
34.5,135184
34.75,131525
35,127931
35.25,124336
35.5,120859
35.75,117220
36,113696
36.25,110135
36.5,106576
36.75,103121
37,99711.1
37.25,96343.7
37.5,92956.8
37.75,89725.2
38,86500.7
38.25,83405.5
38.5,80443.5
38.75,77523.2
39,74707.9
39.25,71983.9
39.5,69280.7
39.75,66646.1
40,64151.1
40.25,61705.1
40.5,59283.4
40.75,56951.6
41,54711.1
41.25,52582.7
41.5,50556
41.75,48533.8
42,46659.7
42.25,44817.7
42.5,43059.4
42.75,41377.6
43,39754.2
43.25,38175.4
43.5,36644.2
43.75,35200.4
44,33760.3
44.25,32406.8
44.5,31120.7
44.75,29860.3
45,28678.7
45.25,27522.5
45.5,26459.9
45.75,25463.3
46,24446.6
46.25,23473
46.5,22520.5
46.75,21664.1
47,20804.3
47.25,19979.6
47.5,19173.7
47.75,18440.5
48,17717.1
48.25,17032
48.5,16359.2
48.75,15725
49,15102.3
49.25,14509.2
49.5,13933.7
49.75,13405.8
50,12891.4
50.25,12383.9
50.5,11907.4
50.75,11457.7
51,11017
51.25,10601.8
51.5,10188.6
51.75,9788.73
52,9412.71
52.25,9064.78
52.5,8719.59
52.75,8377.1
53,8061.5
53.25,7756.57
53.5,7452.79
53.75,7166.47
54,6890.22
54.25,6624.75
54.5,6366.98
54.75,6132.01
55,5897.7
55.25,5674.99
55.5,5462.74
55.75,5248.99
56,5039.23
56.25,4852.13
56.5,4668.03
56.75,4492.01
57,4314.53
57.25,4143.57
57.5,3994.71
57.75,3848.73
58,3703.7
58.25,3557.12
58.5,3417.79
58.75,3282.92
59,3154.73
59.25,3034.69
59.5,2916.54
59.75,2792.9
60,2693.9
60.25,2591.05
60.5,2496.2
60.75,2406.9
61,2306.93
61.25,2218.83
61.5,2133.97
61.75,2055.93
62,1979.84
62.25,1905.29
62.5,1835.69
62.75,1767.22
63,1702.45
63.25,1640
63.5,1572.77
63.75,1514.73
64,1456.69
64.25,1402.63
64.5,1351.02
64.75,1298.18
65,1251.1
65.25,1202.92
