Time,susceptible_lambda
0,0
0.25,0
0.5,3413.99
0.75,4701.38
1,5904.7
1.25,6945.62
1.5,7610.36
1.75,7892.79
2,8303.7
2.25,8212.54
2.5,8385.27
2.75,8577.55
3,8707.22
3.25,9076.15
3.5,9475.35
3.75,9775
4,10551.1
4.25,11318.5
4.5,11742
4.75,12504.6
5,13100.4
5.25,13732.5
5.5,14252.8
5.75,14917.2
6,15941.1
6.25,16935.8
6.5,18378.6
6.75,18755
7,19418.6
7.25,20914.7
7.5,22423.3
7.75,24408.1
8,25777.7
8.25,27483.1
8.5,29641.3
8.75,31093.7
9,32728.1
9.25,34760.4
9.5,37347.2
9.75,38807.5
10,41375.6
10.25,43596.4
10.5,46641.3
10.75,49859.2
11,52135.9
11.25,54839.2
11.5,57800.7
11.75,61046.4
12,64246
12.25,67916.5
12.5,71502.9
12.75,75974
13,80317.9
13.25,85026.2
13.5,89316.2
13.75,94581.3
14,99605
14.25,103956
14.5,110323
14.75,115897
15,121323
15.25,127689
15.5,134832
15.75,141617
16,148785
16.25,157318
16.5,164442
16.75,172929
17,183046
17.25,191392
17.5,200632
17.75,210499
18,221612
18.25,232943
18.5,244018
18.75,256637
19,268405
19.25,280158
19.5,292319
19.75,305629
20,317968
20.25,332310
20.5,346949
20.75,362321
21,378583
21.25,392751
21.5,407039
21.75,422450
22,439751
22.25,455286
22.5,473723
22.75,490570
23,507266
23.25,526216
23.5,542175
23.75,557522
24,573615
24.25,587926
24.5,606966
24.75,622611
25,638925
25.25,654205
25.5,669118
25.75,680927
26,693611
26.25,705667
26.5,714686
26.75,725944
27,734813
27.25,742676
27.5,748064
27.75,753542
28,757714
28.25,758832
28.5,760065
28.75,760794
29,757736
29.25,754580
29.5,752286
29.75,743788
30,736778
30.25,726296
30.5,716336
30.75,705811
31,693522
31.25,678877
31.5,664901
31.75,650060
32,633784
32.25,616154
32.5,599131
32.75,581854
33,562325
33.25,544189
33.5,526598
33.75,507797
34,489267
34.25,470677
34.5,454008
34.75,435490
35,417071
35.25,400669
35.5,383656
35.75,366567
36,351083
36.25,335148
36.5,320061
36.75,305949
37,293152
37.25,280055
37.5,265933
37.75,253817
38,241797
38.25,229906
38.5,218882
38.75,208277
39,199429
39.25,190269
39.5,180483
39.75,171517
40,164328
40.25,156294
40.5,149183
40.75,141163
41,135055
41.25,128530
41.5,122326
41.75,115863
42,110649
42.25,105659
42.5,101440
42.75,96289.2
43,91408.9
43.25,87886.7
43.5,84103.9
43.75,79992.8
44,76096.4
44.25,72338.7
44.5,68958.7
44.75,65569
45,62605.9
45.25,59842.5
45.5,57576.5
45.75,54724.1
46,52514.6
46.25,49928.2
46.5,47366.3
46.75,45706.2
47,43678.6
47.25,41673.7
47.5,40133.3
47.75,38089.4
48,36451
48.25,35367.5
48.5,33901.4
48.75,32207.4
49,31147.2
49.25,29970.3
49.5,28132.9
49.75,27078.1
50,25865.5
50.25,24972.4
50.5,23859.4
50.75,22805.9
51,21952.7
51.25,21131.3
51.5,20053.3
51.75,19398.5
52,18514.3
52.25,17776.3
52.5,17167.7
52.75,16387.2
53,15900.2
53.25,15128.2
53.5,14645.4
53.75,13812.7
54,13250.8
54.25,12718
54.5,12207.3
54.75,11740
55,11235
55.25,10950.8
55.5,10376.3
55.75,9883.05
56,9519.95
56.25,9328.54
56.5,8851.13
56.75,8700.56
57,8205.76
57.25,7750.21
57.5,7539.35
57.75,7137.4
58,6757.07
58.25,6578.91
58.5,6306.78
58.75,6084.01
59,5763.26
59.25,5589.75
59.5,5414.58
59.75,5108.05
60,4970.24
60.25,4746.49
60.5,4624.82
60.75,4492.11
61,4210.93
61.25,4156.56
61.5,4008.29
61.75,3735.01
62,3632.24
62.25,3507.15
62.5,3385.69
62.75,3230.81
63,3091.37
63.25,2945.83
63.5,2837.44
63.75,2735.63
64,2663.97
64.25,2570.88
64.5,2475.86
64.75,2463.85
65,2317.74
65.25,2163.06
65.5,2133.76
65.75,2038.96
66,1947.16
66.25,1826.32
66.5,1785.24
66.75,1758.37
67,1704.2
67.25,1545.34
67.5,1542.78
67.75,1475.8
68,1402.27
68.25,1373.9
68.5,1293.06
