Time,ward_infected
0,805532
0.25,858989
0.5,1340157
0.75,954217
1,1213766
1.25,1684866
1.5,1664888
1.75,1095200
2,1301922
2.25,826431
2.5,870041
2.75,1408743
3,964603
3.25,1504251
3.5,751015
3.75,862584
4,1148055
4.25,793887
4.5,740982
4.75,628610
5,738843
5.25,1189035
5.5,1431116
5.75,1360149
6,2222314
6.25,1101907
6.5,1181802
6.75,1087790
7,768579
7.25,1069242
7.5,993508
7.75,914190
8,1126315
8.25,557564
8.5,819396
8.75,847046
9,937008
9.25,858434
9.5,1374251
9.75,1706064
10,1343961
10.25,955969
10.5,1172301
10.75,913681
11,770232
11.25,720510
11.5,991484
11.75,835116
12,869985
12.25,1142322
12.5,1077509
12.75,808548
13,1130258
13.25,1172099
13.5,799198
13.75,1016595
14,1377646
14.25,1011749
14.5,917348
14.75,810745
15,895726
15.25,792652
15.5,497201
15.75,702389
16,790700
16.25,799845
16.5,770845
16.75,1024086
17,1327309
17.25,1432421
17.5,1552790
17.75,1460190
18,1590824
18.25,1010080
18.5,1122350
18.75,747116
19,757310
19.25,655544
19.5,866780
19.75,799994
20,1334375
20.25,1167398
20.5,1022790
20.75,1183292
21,1494859
21.25,914675
21.5,937851
21.75,883878
22,766813
22.25,799863
22.5,737233
22.75,869314
23,508684
23.25,708377
23.5,869617
23.75,874161
24,812859
24.25,743401
24.5,745842
24.75,685979
25,682474
25.25,1173284
25.5,1236500
25.75,614540
26,650509
26.25,543685
26.5,828765
26.75,756999
27,757164
27.25,628567
27.5,516402
27.75,693810
28,877137
28.25,836866
28.5,851070
28.75,1135356
29,961829
29.25,669068
29.5,618338
29.75,859631
30,851722
30.25,928764
30.5,926725
30.75,847010
31,487722
31.25,668678
31.5,1019660
31.75,827198
32,1567746
32.25,1368142
32.5,1009631
32.75,955692
33,798864
33.25,1146165
33.5,896569
33.75,909317
34,843131
34.25,575884
34.5,681538
34.75,730530
35,891017
35.25,774085
35.5,733955
35.75,818630
36,865735
36.25,704569
36.5,780595
36.75,1080444
37,1280372
37.25,1914317
37.5,875916
37.75,914149
38,887901
38.25,727680
38.5,837021
38.75,935748
39,800439
39.25,1064962
39.5,934705
39.75,1306871
40,1070279
40.25,983800
40.5,1021811
40.75,974301
41,587976
41.25,623179
41.5,741048
41.75,637180
42,737187
42.25,779340
42.5,1157823
42.75,974832
43,774010
43.25,1477147
43.5,1007415
43.75,1198871
44,648828
44.25,694724
44.5,583979
44.75,984424
45,1072705
45.25,933866
45.5,990581
45.75,1324855
46,1085118
46.25,881505
46.5,1141867
46.75,1160731
47,1607226
47.25,1553502
47.5,1655927
47.75,1885624
48,1364755
48.25,1201125
48.5,1327675
48.75,1077745
49,1441041
49.25,1165570
