Time,num_hospitalised
0,0
0.25,0
0.5,0
0.75,3
1,4
1.25,8
1.5,15
1.75,19
2,24
2.25,31
2.5,35
2.75,48
3,56
3.25,67
3.5,76
3.75,94
4,105
4.25,111
4.5,122
4.75,131
5,143
5.25,152
5.5,170
5.75,187
6,207
6.25,228
6.5,246
6.75,263
7,276
7.25,295
7.5,319
7.75,336
8,356
8.25,380
8.5,401
8.75,423
9,450
9.25,472
9.5,502
9.75,540
10,571
10.25,605
10.5,638
10.75,668
11,705
11.25,732
11.5,786
11.75,819
12,855
12.25,903
12.5,940
12.75,989
13,1063
13.25,1117
13.5,1189
13.75,1260
14,1322
14.25,1398
14.5,1489
14.75,1579
15,1659
15.25,1774
15.5,1866
15.75,1981
16,2108
16.25,2203
16.5,2344
16.75,2486
17,2603
17.25,2738
17.5,2891
17.75,3066
18,3243
18.25,3437
18.5,3638
18.75,3849
19,4071
19.25,4287
19.5,4523
19.75,4780
20,5037
20.25,5319
20.5,5659
20.75,5982
21,6282
21.25,6662
21.5,7020
21.75,7386
22,7788
22.25,8263
22.5,8734
22.75,9223
23,9772
23.25,10281
23.5,10832
23.75,11396
24,11996
24.25,12695
24.5,13372
24.75,14119
25,14896
25.25,15704
25.5,16515
25.75,17301
26,18137
26.25,19057
26.5,19994
26.75,21023
27,22048
27.25,23043
27.5,24170
27.75,25379
28,26571
28.25,27761
28.5,28999
28.75,30343
29,31747
29.25,33161
29.5,34518
29.75,35993
30,37561
30.25,39193
30.5,40815
30.75,42507
31,44061
31.25,45692
31.5,47528
31.75,49372
32,51205
32.25,52965
32.5,54765
32.75,56634
33,58600
33.25,60550
33.5,62516
33.75,64449
34,66499
34.25,68358
34.5,70254
34.75,72208
35,74114
35.25,76132
35.5,77941
35.75,79852
36,81695
36.25,83554
36.5,85322
36.75,87060
37,88758
37.25,90414
37.5,92089
37.75,93664
38,95085
38.25,96483
38.5,97766
38.75,99000
39,100232
39.25,101429
39.5,102398
39.75,103361
40,104151
40.25,104930
40.5,105696
40.75,106291
41,106730
41.25,107146
41.5,107478
41.75,107708
42,107847
42.25,107955
42.5,108045
42.75,107882
43,107753
43.25,107442
43.5,107197
43.75,106561
44,106032
44.25,105420
44.5,104694
44.75,104105
45,103139
45.25,102281
45.5,101362
45.75,100374
46,99288
46.25,98187
46.5,97017
46.75,95823
47,94663
47.25,93341
47.5,92079
47.75,90693
48,89301
48.25,87891
48.5,86552
48.75,85123
49,83671
49.25,82098
49.5,80597
49.75,79151
50,77581
50.25,76050
50.5,74408
50.75,72955
51,71428
51.25,69872
51.5,68238
51.75,66806
52,65386
52.25,63862
52.5,62448
52.75,60868
53,59557
53.25,58017
53.5,56603
53.75,55192
54,53860
54.25,52383
54.5,51112
54.75,49718
55,48427
55.25,47162
55.5,45807
55.75,44573
56,43403
56.25,42203
56.5,41000
56.75,39778
57,38566
57.25,37510
57.5,36377
57.75,35289
58,34249
58.25,33265
58.5,32305
58.75,31322
59,30336
59.25,29447
59.5,28615
59.75,27774
60,26883
60.25,26139
60.5,25289
60.75,24472
61,23632
61.25,22855
61.5,22082
61.75,21402
62,20682
62.25,20009
62.5,19346
62.75,18691
63,18069
63.25,17472
63.5,16922
63.75,16354
64,15825
64.25,15293
64.5,14737
64.75,14271
65,13827
65.25,13379
65.5,12924
65.75,12482
66,12070
66.25,11667
66.5,11263
66.75,10871
67,10488
67.25,10124
67.5,9787
67.75,9416
68,9088
68.25,8750
68.5,8454
68.75,8167
69,7893
69.25,7668
69.5,7422
69.75,7129
70,6901
70.25,6667
70.5,6421
70.75,6204
71,5979
71.25,5758
71.5,5540
71.75,5336
72,5120
72.25,4972
72.5,4788
72.75,4614
73,4428
73.25,4273
73.5,4137
73.75,3970
74,3831
74.25,3696
74.5,3566
74.75,3421
75,3322
75.25,3203
75.5,3065
75.75,2975
76,2833
76.25,2713
76.5,2615
76.75,2517
77,2432
77.25,2355
77.5,2263
77.75,2197
78,2095
78.25,2018
78.5,1927
78.75,1877
79,1798
79.25,1748
79.5,1685
79.75,1626
80,1568
80.25,1504
80.5,1444
80.75,1394
81,1349
81.25,1302
81.5,1248
81.75,1207
82,1160
