Time,cumulative_new_deaths
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,0
17.5,0
17.75,0
18,3
18.25,3
18.5,3
18.75,3
19,7
19.25,7
19.5,7
19.75,7
20,12
20.25,12
20.5,12
20.75,12
21,17
21.25,17
21.5,17
21.75,17
22,19
22.25,19
22.5,19
22.75,19
23,22
23.25,22
23.5,22
23.75,22
24,31
24.25,31
24.5,31
24.75,31
25,40
25.25,40
25.5,40
25.75,40
26,57
26.25,57
26.5,57
26.75,57
27,70
27.25,70
27.5,70
27.75,70
28,87
28.25,87
28.5,87
28.75,87
29,107
29.25,107
29.5,107
29.75,107
30,132
30.25,132
30.5,132
30.75,132
31,163
31.25,163
31.5,163
31.75,163
32,196
32.25,196
32.5,196
32.75,196
33,248
33.25,248
33.5,248
33.75,248
34,302
34.25,302
34.5,302
34.75,302
35,394
35.25,394
35.5,394
35.75,394
36,471
36.25,471
36.5,471
36.75,471
37,588
37.25,588
37.5,588
37.75,588
38,722
38.25,722
38.5,722
38.75,722
39,895
39.25,895
39.5,895
39.75,895
40,1119
40.25,1119
40.5,1119
40.75,1119
41,1417
41.25,1417
41.5,1417
41.75,1417
42,1735
42.25,1735
42.5,1735
42.75,1735
43,2101
43.25,2101
43.5,2101
43.75,2101
44,2564
44.25,2564
44.5,2564
44.75,2564
45,3126
45.25,3126
45.5,3126
45.75,3126
46,3766
46.25,3766
46.5,3766
46.75,3766
47,4537
47.25,4537
47.5,4537
47.75,4537
48,5378
48.25,5378
48.5,5378
48.75,5378
49,6248
49.25,6248
49.5,6248
49.75,6248
50,7289
50.25,7289
50.5,7289
50.75,7289
51,8438
51.25,8438
51.5,8438
51.75,8438
52,9659
52.25,9659
52.5,9659
52.75,9659
53,10943
53.25,10943
53.5,10943
53.75,10943
54,12271
54.25,12271
54.5,12271
54.75,12271
55,13542
55.25,13542
55.5,13542
55.75,13542
56,14898
56.25,14898
56.5,14898
56.75,14898
57,16196
57.25,16196
57.5,16196
57.75,16196
58,17522
58.25,17522
58.5,17522
58.75,17522
59,18791
59.25,18791
59.5,18791
59.75,18791
60,20011
60.25,20011
60.5,20011
60.75,20011
61,21149
61.25,21149
61.5,21149
61.75,21149
62,22238
62.25,22238
62.5,22238
62.75,22238
63,23266
63.25,23266
63.5,23266
63.75,23266
64,24166
64.25,24166
64.5,24166
64.75,24166
65,25035
65.25,25035
65.5,25035
65.75,25035
66,25795
66.25,25795
66.5,25795
66.75,25795
67,26570
67.25,26570
67.5,26570
67.75,26570
68,27179
68.25,27179
68.5,27179
68.75,27179
69,27770
69.25,27770
69.5,27770
69.75,27770
70,28318
70.25,28318
70.5,28318
70.75,28318
71,28809
71.25,28809
71.5,28809
71.75,28809
72,29225
72.25,29225
72.5,29225
72.75,29225
73,29587
73.25,29587
73.5,29587
73.75,29587
74,29903
74.25,29903
74.5,29903
74.75,29903
75,30167
75.25,30167
75.5,30167
75.75,30167
76,30414
76.25,30414
76.5,30414
76.75,30414
77,30659
77.25,30659
77.5,30659
77.75,30659
78,30858
78.25,30858
78.5,30858
78.75,30858
79,31014
79.25,31014
79.5,31014
79.75,31014
80,31186
80.25,31186
80.5,31186
80.75,31186
81,31308
81.25,31308
81.5,31308
81.75,31308
82,31417
82.25,31417
82.5,31417
82.75,31417
83,31530
83.25,31530
83.5,31530
83.75,31530
84,31614
84.25,31614
84.5,31614
84.75,31614
85,31690
85.25,31690
85.5,31690
85.75,31690
86,31754
