Time,num_exposed
0,12387
0.25,11138
0.5,9938
0.75,9564
1,9521
1.25,9945
1.5,10691
1.75,11584
2,12642
2.25,13847
2.5,15080
2.75,16295
3,17618
3.25,18855
3.5,20060
3.75,21368
4,22765
4.25,24283
4.5,25913
4.75,27540
5,29327
5.25,31301
5.5,33392
5.75,35450
6,37430
6.25,39526
6.5,41886
6.75,44440
7,47038
7.25,49692
7.5,52360
7.75,55398
8,58653
8.25,61980
8.5,65773
8.75,69995
9,74409
9.25,78707
9.5,83590
9.75,88677
10,93931
10.25,99564
10.5,105396
10.75,111729
11,118295
11.25,125448
11.5,133059
11.75,141003
12,149366
12.25,158043
12.5,167100
12.75,176797
13,186913
13.25,197809
13.5,209168
13.75,220976
14,233344
14.25,246197
14.5,259769
14.75,274560
15,289592
15.25,305411
15.5,321810
15.75,339463
16,357815
16.25,376876
16.5,397151
16.75,418148
17,440250
17.25,463744
17.5,488095
17.75,513132
18,539387
18.25,567516
18.5,596638
18.75,627071
19,658959
19.25,692307
19.5,726669
19.75,762361
20,799591
20.25,837901
20.5,877883
20.75,919659
21,962906
21.25,1008211
21.5,1053802
21.75,1100975
22,1149118
22.25,1198578
22.5,1250269
22.75,1303884
23,1358266
23.25,1414458
23.5,1471896
23.75,1529784
24,1589090
24.25,1648959
24.5,1709096
24.75,1769922
25,1832083
25.25,1894730
25.5,1956439
25.75,2018938
26,2081006
26.25,2143063
26.5,2203809
26.75,2264087
27,2322562
27.25,2380754
27.5,2436538
27.75,2490119
28,2542549
28.25,2592366
28.5,2639309
28.75,2684141
29,2724750
29.25,2762558
29.5,2797737
29.75,2828431
30,2854556
30.25,2877207
30.5,2895491
30.75,2909601
31,2919452
31.25,2925404
31.5,2926144
31.75,2922756
32,2914505
32.25,2902155
32.5,2886869
32.75,2867409
33,2843653
33.25,2815348
33.5,2784356
33.75,2749354
34,2710950
34.25,2668642
34.5,2623172
34.75,2576510
35,2527234
35.25,2476202
35.5,2423220
35.75,2369086
36,2312898
36.25,2256147
36.5,2198869
36.75,2139927
37,2081158
37.25,2022095
37.5,1962617
37.75,1903854
38,1845079
38.25,1786404
38.5,1728261
38.75,1670564
39,1613372
39.25,1557509
39.5,1503073
39.75,1449150
40,1395962
40.25,1344284
40.5,1294908
40.75,1246242
41,1198595
41.25,1152253
41.5,1107532
41.75,1063535
42,1021246
42.25,980216
42.5,940516
42.75,902240
43,865353
43.25,829084
43.5,794763
43.75,761244
44,729712
44.25,698967
44.5,669330
44.75,640585
45,612968
45.25,586618
45.5,561098
45.75,536540
46,513452
46.25,491528
46.5,470239
46.75,449881
47,430370
47.25,411768
47.5,393751
47.75,376602
48,359689
48.25,344031
48.5,329202
48.75,314983
49,301123
49.25,288029
49.5,275485
49.75,263446
50,251689
50.25,241006
50.5,230530
50.75,220448
51,210861
51.25,201738
51.5,193101
51.75,184814
52,176942
52.25,169505
52.5,162247
52.75,155217
53,148603
53.25,142195
53.5,136433
53.75,130673
54,124909
54.25,119761
